flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,32,ARG,842,USA,05,Animal originated products; not elsewhere specified or included,N/A,0.0,13549702.01
M,32,ARG,251,FRA,05,Animal originated products; not elsewhere specified or included,N/A,0.0,293095.15
M,32,ARG,76,BRA,05,Animal originated products; not elsewhere specified or included,N/A,0.0,1495615.21
M,32,ARG,124,CAN,05,Animal originated products; not elsewhere specified or included,N/A,0.0,3575638.38
M,32,ARG,152,CHL,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",N/A,0.0,6625164.65
M,32,ARG,528,NLD,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",N/A,0.0,548904.89
M,32,ARG,0,W00,13,"Lac; gums, resins and other vegetable saps and extracts",N/A,0.0,56384017.27
M,32,ARG,724,ESP,13,"Lac; gums, resins and other vegetable saps and extracts",N/A,0.0,3028517.16
M,32,ARG,752,SWE,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,N/A,0.0,458905.08
M,32,ARG,724,ESP,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,N/A,0.0,912469.56
M,32,ARG,276,DEU,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,N/A,0.0,727327.6
M,32,ARG,251,FRA,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,N/A,0.0,236114.09
M,32,ARG,392,JPN,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,N/A,0.0,77463.1
M,32,ARG,124,CAN,17,Sugars and sugar confectionery,N/A,0.0,279759.23
M,32,ARG,251,FRA,17,Sugars and sugar confectionery,N/A,0.0,823738.18
M,32,ARG,842,USA,17,Sugars and sugar confectionery,N/A,0.0,3250181.65
M,32,ARG,757,CHE,17,Sugars and sugar confectionery,N/A,0.0,619740.05
M,32,ARG,0,W00,21,Miscellaneous edible preparations,N/A,0.0,210257249.68
M,32,ARG,76,BRA,21,Miscellaneous edible preparations,N/A,0.0,69239946.02
M,32,ARG,124,CAN,22,"Beverages, spirits and vinegar",N/A,0.0,94990.18
M,32,ARG,842,USA,22,"Beverages, spirits and vinegar",N/A,0.0,6192909.79
M,32,ARG,251,FRA,22,"Beverages, spirits and vinegar",N/A,0.0,4558039.27
M,32,ARG,842,USA,24,Tobacco and manufactured tobacco substitutes,N/A,0.0,448810.25
M,32,ARG,0,W00,24,Tobacco and manufactured tobacco substitutes,N/A,0.0,59916326.0
M,32,ARG,724,ESP,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",N/A,0.0,8898970.55
M,32,ARG,76,BRA,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",N/A,0.0,16565808.21
M,32,ARG,842,USA,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",N/A,0.0,13832758.93
M,32,ARG,484,MEX,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",N/A,0.0,1121024.19
M,32,ARG,757,CHE,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",N/A,0.0,5139.82
M,32,ARG,156,CHN,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",N/A,0.0,4277652.09
M,32,ARG,858,URY,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,0.0,91722614.67
M,32,ARG,276,DEU,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,0.0,37657269.82
M,32,ARG,392,JPN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,0.0,16477705.84
M,32,ARG,842,USA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,0.0,1219770681.05
M,32,ARG,76,BRA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,0.0,40095762.32
M,32,ARG,757,CHE,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,0.0,240804.09
M,32,ARG,124,CAN,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,0.0,3159601.24
M,32,ARG,724,ESP,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,0.0,22346675.64
M,32,ARG,410,KOR,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,0.0,5881359.38
M,32,ARG,484,MEX,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,0.0,5140628.02
M,32,ARG,699,IND,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,0.0,11359357.85
M,32,ARG,804,UKR,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,0.0,48526.7
M,32,ARG,276,DEU,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,0.0,18627546.29
M,32,ARG,792,TUR,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,0.0,10231180.01
M,32,ARG,251,FRA,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,0.0,8243392.16
M,32,ARG,842,USA,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,0.0,58696754.47
M,32,ARG,807,MKD,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,0.0,126409.55
M,32,ARG,156,CHN,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,0.0,65649488.9
M,32,ARG,208,DNK,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,0.0,41438.35
M,32,ARG,392,JPN,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,0.0,1302278.71
M,32,ARG,826,GBR,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,0.0,2066050.84
M,32,ARG,360,IDN,29,Organic chemicals,N/A,0.0,2211010.94
M,32,ARG,372,IRL,29,Organic chemicals,N/A,0.0,3268907.71
M,32,ARG,620,PRT,29,Organic chemicals,N/A,0.0,33223447.44
M,32,ARG,380,ITA,29,Organic chemicals,N/A,0.0,60297952.05
M,32,ARG,826,GBR,29,Organic chemicals,N/A,0.0,31405792.86
M,32,ARG,699,IND,29,Organic chemicals,N/A,0.0,290614050.48
M,32,ARG,616,POL,29,Organic chemicals,N/A,0.0,1205367.56
