flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,76,BRA,251,FRA,97,Works of art; collectors' pieces and antiques,N/A,0.0,1370495.0
M,76,BRA,276,DEU,17,Sugars and sugar confectionery,N/A,0.0,8538363.0
M,76,BRA,203,CZE,38,Chemical products n.e.c.,N/A,0.0,1056349.0
M,76,BRA,208,DNK,23,"Food industries, residues and wastes thereof; prepared animal fodder",N/A,0.0,726893.0
M,76,BRA,124,CAN,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,17043246.0
M,76,BRA,104,MMR,65,Headgear and parts thereof,N/A,0.0,17739.0
M,76,BRA,704,VNM,21,Miscellaneous edible preparations,N/A,0.0,691921.0
M,76,BRA,858,URY,64,Footwear; gaiters and the like; parts of such articles,N/A,0.0,33.0
M,76,BRA,340,HND,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,8.0
M,76,BRA,372,IRL,89,"Ships, boats and floating structures",N/A,0.0,47383.0
M,76,BRA,372,IRL,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",N/A,0.0,7869078.0
M,76,BRA,404,KEN,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",N/A,0.0,160.0
M,76,BRA,251,FRA,17,Sugars and sugar confectionery,N/A,0.0,1295332.0
M,76,BRA,40,AUT,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",N/A,0.0,1597138.0
M,76,BRA,32,ARG,81,"Metals; n.e.c., cermets and articles thereof",N/A,0.0,122140.0
M,76,BRA,422,LBN,08,"Fruit and nuts, edible; peel of citrus fruit or melons",N/A,0.0,2031.0
M,76,BRA,32,ARG,73,Iron or steel articles,N/A,0.0,58761308.0
M,76,BRA,446,MAC,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",N/A,0.0,145111.0
M,76,BRA,490,S19,37,Photographic or cinematographic goods,N/A,0.0,2516463.0
M,76,BRA,276,DEU,89,"Ships, boats and floating structures",N/A,0.0,91713.0
M,76,BRA,376,ISR,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",N/A,0.0,37374.0
M,76,BRA,724,ESP,21,Miscellaneous edible preparations,N/A,0.0,10530653.0
M,76,BRA,764,THA,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",N/A,0.0,2179841.0
M,76,BRA,724,ESP,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",N/A,0.0,2109188.0
M,76,BRA,100,BGR,81,"Metals; n.e.c., cermets and articles thereof",N/A,0.0,412.0
M,76,BRA,214,DOM,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,3098.0
M,76,BRA,124,CAN,17,Sugars and sugar confectionery,N/A,0.0,219249.0
M,76,BRA,0,W00,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,1146121533.0
M,76,BRA,643,RUS,40,Rubber and articles thereof,N/A,0.0,95354157.0
M,76,BRA,540,NCL,73,Iron or steel articles,N/A,0.0,820.0
M,76,BRA,591,PAN,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",N/A,0.0,28600.0
M,76,BRA,32,ARG,23,"Food industries, residues and wastes thereof; prepared animal fodder",N/A,0.0,12308662.0
M,76,BRA,352,ISL,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",N/A,0.0,554.0
M,76,BRA,417,KGZ,73,Iron or steel articles,N/A,0.0,1189.0
M,76,BRA,276,DEU,72,Iron and steel,N/A,0.0,136748893.0
M,76,BRA,484,MEX,81,"Metals; n.e.c., cermets and articles thereof",N/A,0.0,912153.0
M,76,BRA,579,NOR,29,Organic chemicals,N/A,0.0,747261.0
M,76,BRA,804,UKR,38,Chemical products n.e.c.,N/A,0.0,6933.0
M,76,BRA,826,GBR,13,"Lac; gums, resins and other vegetable saps and extracts",N/A,0.0,6350641.0
M,76,BRA,222,SLV,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",N/A,0.0,277.0
M,76,BRA,579,NOR,44,Wood and articles of wood; wood charcoal,N/A,0.0,316786.0
M,76,BRA,410,KOR,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",N/A,0.0,197142.0
M,76,BRA,784,ARE,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",N/A,0.0,144885.0
M,76,BRA,764,THA,83,Metal; miscellaneous products of base metal,N/A,0.0,18765384.0
M,76,BRA,40,AUT,83,Metal; miscellaneous products of base metal,N/A,0.0,15228651.0
M,76,BRA,32,ARG,70,Glass and glassware,N/A,0.0,23329318.0
M,76,BRA,188,CRI,83,Metal; miscellaneous products of base metal,N/A,0.0,1063615.0
M,76,BRA,826,GBR,60,Fabrics; knitted or crocheted,N/A,0.0,95219.0
M,76,BRA,642,ROU,83,Metal; miscellaneous products of base metal,N/A,0.0,6018391.0
M,76,BRA,826,GBR,70,Glass and glassware,N/A,0.0,8181611.0
M,76,BRA,643,RUS,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",N/A,0.0,29628391.0
M,76,BRA,600,PRY,70,Glass and glassware,N/A,0.0,8092641.0
M,76,BRA,392,JPN,60,Fabrics; knitted or crocheted,N/A,0.0,137739.0
M,76,BRA,858,URY,01,Animals; live,N/A,0.0,15300.0
M,76,BRA,860,UZB,83,Metal; miscellaneous products of base metal,N/A,0.0,36.0
M,76,BRA,757,CHE,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",N/A,0.0,4420237.0
M,76,BRA,251,FRA,50,Silk,N/A,0.0,24433.0
M,76,BRA,276,DEU,83,Metal; miscellaneous products of base metal,N/A,0.0,43123037.0
M,76,BRA,710,ZAF,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",N/A,0.0,9026396.0
M,76,BRA,710,ZAF,30,Pharmaceutical products,N/A,0.0,2850024.0
M,76,BRA,704,VNM,70,Glass and glassware,N/A,0.0,5754372.0
M,76,BRA,620,PRT,20,"Preparations of vegetables, fruit, nuts or other parts of plants",N/A,0.0,1407031.0
M,76,BRA,124,CAN,01,Animals; live,N/A,0.0,701542.0
M,76,BRA,0,W00,60,Fabrics; knitted or crocheted,N/A,0.0,366962660.0
M,76,BRA,702,SGP,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",N/A,0.0,188893.0
M,76,BRA,528,NLD,18,Cocoa and cocoa preparations,N/A,0.0,9463394.0
M,76,BRA,380,ITA,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",N/A,0.0,5970883.0
M,76,BRA,124,CAN,30,Pharmaceutical products,N/A,0.0,43036314.0
M,76,BRA,246,FIN,30,Pharmaceutical products,N/A,0.0,48123169.0
M,76,BRA,752,SWE,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",N/A,0.0,8655.0
M,76,BRA,380,ITA,43,Furskins and artificial fur; manufactures thereof,N/A,0.0,246506.0
M,76,BRA,784,ARE,83,Metal; miscellaneous products of base metal,N/A,0.0,653.0
M,76,BRA,716,ZWE,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",N/A,0.0,1246.0
M,76,BRA,705,SVN,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",N/A,0.0,666948.0
M,76,BRA,100,BGR,70,Glass and glassware,N/A,0.0,1476712.0
M,76,BRA,56,BEL,20,"Preparations of vegetables, fruit, nuts or other parts of plants",N/A,0.0,86532073.0
M,76,BRA,450,MDG,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",N/A,0.0,1608.0
M,76,BRA,842,USA,83,Metal; miscellaneous products of base metal,N/A,0.0,67187136.0
M,76,BRA,704,VNM,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",N/A,0.0,65619.0
M,76,BRA,752,SWE,60,Fabrics; knitted or crocheted,N/A,0.0,90233.0
M,76,BRA,757,CHE,01,Animals; live,N/A,0.0,449.0
M,76,BRA,384,CIV,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",N/A,0.0,302007.0
M,76,BRA,388,JAM,83,Metal; miscellaneous products of base metal,N/A,0.0,11.0
M,76,BRA,752,SWE,70,Glass and glassware,N/A,0.0,1207113.0
M,76,BRA,586,PAK,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",N/A,0.0,23488.0
M,76,BRA,842,USA,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",N/A,0.0,39584812.0
M,76,BRA,699,IND,35,Albuminoidal substances; modified starches; glues; enzymes,N/A,0.0,1995018.0
M,76,BRA,233,EST,35,Albuminoidal substances; modified starches; glues; enzymes,N/A,0.0,90064.0
M,76,BRA,152,CHL,30,Pharmaceutical products,N/A,0.0,256386.0
M,76,BRA,166,CCK,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",N/A,0.0,5743.0
M,76,BRA,52,BRB,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",N/A,0.0,92851.0
