flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,76,BRA,388,JAM,75,Nickel and articles thereof,N/A,0.0,212.0
X,76,BRA,384,CIV,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,0.0,189885.0
X,76,BRA,702,SGP,29,Organic chemicals,N/A,0.0,8289842.0
X,76,BRA,842,USA,73,Iron or steel articles,N/A,0.0,250757887.0
X,76,BRA,368,IRQ,29,Organic chemicals,N/A,0.0,11235.0
X,76,BRA,368,IRQ,37,Photographic or cinematographic goods,N/A,0.0,950.0
X,76,BRA,410,KOR,72,Iron and steel,N/A,0.0,464059178.0
X,76,BRA,410,KOR,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,5447124.0
X,76,BRA,430,LBR,76,Aluminium and articles thereof,N/A,0.0,26647.0
X,76,BRA,266,GAB,73,Iron or steel articles,N/A,0.0,105788.0
X,76,BRA,276,DEU,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",N/A,0.0,15775769.0
X,76,BRA,144,LKA,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,18770.0
X,76,BRA,144,LKA,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,0.0,24948.0
X,76,BRA,152,CHL,08,"Fruit and nuts, edible; peel of citrus fruit or melons",N/A,0.0,12078224.0
X,76,BRA,392,JPN,17,Sugars and sugar confectionery,N/A,0.0,1501978.0
X,76,BRA,694,SLE,02,Meat and edible meat offal,N/A,0.0,6470730.0
X,76,BRA,508,MOZ,29,Organic chemicals,N/A,0.0,283848.0
X,76,BRA,800,UGA,38,Chemical products n.e.c.,N/A,0.0,35.0
X,76,BRA,716,ZWE,72,Iron and steel,N/A,0.0,1436.0
X,76,BRA,710,ZAF,38,Chemical products n.e.c.,N/A,0.0,8978836.0
X,76,BRA,780,TTO,40,Rubber and articles thereof,N/A,0.0,633138.0
X,76,BRA,842,USA,09,"Coffee, tea, mate and spices",N/A,0.0,1178772050.0
X,76,BRA,826,GBR,13,"Lac; gums, resins and other vegetable saps and extracts",N/A,0.0,1195759.0
X,76,BRA,768,TGO,21,Miscellaneous edible preparations,N/A,0.0,49.0
X,76,BRA,604,PER,81,"Metals; n.e.c., cermets and articles thereof",N/A,0.0,510179.0
X,76,BRA,484,MEX,40,Rubber and articles thereof,N/A,0.0,148332136.0
X,76,BRA,344,HKG,29,Organic chemicals,N/A,0.0,529262.0
X,76,BRA,372,IRL,65,Headgear and parts thereof,N/A,0.0,131.0
X,76,BRA,380,ITA,69,Ceramic products,N/A,0.0,1451986.0
X,76,BRA,320,GTM,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",N/A,0.0,12923.0
X,76,BRA,84,BLZ,73,Iron or steel articles,N/A,0.0,167574.0
X,76,BRA,191,HRV,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",N/A,0.0,4807.0
