flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,124,CAN,8,ALB,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,,170.0
M,124,CAN,8,ALB,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,,30.0
M,124,CAN,8,ALB,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",N/A,,1067.0
M,124,CAN,8,ALB,07,Vegetables and certain roots and tubers; edible,N/A,,3167.0
M,124,CAN,8,ALB,08,"Fruit and nuts, edible; peel of citrus fruit or melons",N/A,,2218.0
M,124,CAN,8,ALB,09,"Coffee, tea, mate and spices",N/A,,180481.0
M,124,CAN,8,ALB,10,Cereals,N/A,,394.0
M,124,CAN,8,ALB,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",N/A,,203210.0
M,124,CAN,8,ALB,13,"Lac; gums, resins and other vegetable saps and extracts",N/A,,3350.0
M,124,CAN,8,ALB,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,N/A,,357.0
M,124,CAN,8,ALB,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",N/A,,975.0
M,124,CAN,8,ALB,17,Sugars and sugar confectionery,N/A,,18.0
M,124,CAN,8,ALB,18,Cocoa and cocoa preparations,N/A,,102.0
M,124,CAN,8,ALB,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",N/A,,2830.0
M,124,CAN,8,ALB,20,"Preparations of vegetables, fruit, nuts or other parts of plants",N/A,,419.0
M,124,CAN,8,ALB,21,Miscellaneous edible preparations,N/A,,9643.0
M,124,CAN,8,ALB,22,"Beverages, spirits and vinegar",N/A,,71.0
M,124,CAN,8,ALB,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",N/A,,14.0
M,124,CAN,8,ALB,26,"Ores, slag and ash",N/A,,1307.0
M,124,CAN,8,ALB,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,,37.0
M,124,CAN,8,ALB,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,,29.0
M,124,CAN,8,ALB,29,Organic chemicals,N/A,,838.0
M,124,CAN,8,ALB,30,Pharmaceutical products,N/A,,1227.0
M,124,CAN,8,ALB,31,Fertilizers,N/A,,19388.0
M,124,CAN,8,ALB,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",N/A,,76.0
M,124,CAN,8,ALB,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",N/A,,16918.0
M,124,CAN,8,ALB,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",N/A,,358.0
M,124,CAN,8,ALB,35,Albuminoidal substances; modified starches; glues; enzymes,N/A,,22.0
M,124,CAN,8,ALB,37,Photographic or cinematographic goods,N/A,,317.0
M,124,CAN,8,ALB,38,Chemical products n.e.c.,N/A,,4622.0
M,124,CAN,8,ALB,40,Rubber and articles thereof,N/A,,291.0
M,124,CAN,8,ALB,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",N/A,,6792.0
M,124,CAN,8,ALB,44,Wood and articles of wood; wood charcoal,N/A,,112659.0
M,124,CAN,8,ALB,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",N/A,,3107.0
M,124,CAN,8,ALB,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",N/A,,72.0
M,124,CAN,8,ALB,57,Carpets and other textile floor coverings,N/A,,38.0
M,124,CAN,8,ALB,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",N/A,,3.0
M,124,CAN,8,ALB,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,6349.0
M,124,CAN,8,ALB,91,Clocks and watches and parts thereof,N/A,,623.0
M,124,CAN,8,ALB,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",N/A,,99395.0
M,124,CAN,8,ALB,96,Miscellaneous manufactured articles,N/A,,9195.0
M,124,CAN,8,ALB,99,Commodities not specified according to kind,N/A,,8910.0
M,124,CAN,10,ATA,30,Pharmaceutical products,N/A,,7777.0
M,124,CAN,10,ATA,70,Glass and glassware,N/A,,11.0
M,124,CAN,10,ATA,83,Metal; miscellaneous products of base metal,N/A,,23.0
M,124,CAN,10,ATA,96,Miscellaneous manufactured articles,N/A,,8.0
M,124,CAN,12,DZA,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,,459.0
M,124,CAN,12,DZA,07,Vegetables and certain roots and tubers; edible,N/A,,567.0
M,124,CAN,12,DZA,08,"Fruit and nuts, edible; peel of citrus fruit or melons",N/A,,532356.0
M,124,CAN,12,DZA,09,"Coffee, tea, mate and spices",N/A,,2492.0
M,124,CAN,12,DZA,10,Cereals,N/A,,70193.0
M,124,CAN,12,DZA,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",N/A,,4027.0
M,124,CAN,12,DZA,13,"Lac; gums, resins and other vegetable saps and extracts",N/A,,324.0
M,124,CAN,12,DZA,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,N/A,,50507.0
M,124,CAN,12,DZA,18,Cocoa and cocoa preparations,N/A,,545.0
M,124,CAN,12,DZA,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",N/A,,36593.0
M,124,CAN,8,ALB,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",N/A,,7358.0
M,124,CAN,8,ALB,64,Footwear; gaiters and the like; parts of such articles,N/A,,2084348.0
M,124,CAN,8,ALB,65,Headgear and parts thereof,N/A,,2006.0
M,124,CAN,8,ALB,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",N/A,,335.0
M,124,CAN,8,ALB,72,Iron and steel,N/A,,48.0
M,124,CAN,8,ALB,74,Copper and articles thereof,N/A,,79.0
M,124,CAN,8,ALB,76,Aluminium and articles thereof,N/A,,31220.0
M,124,CAN,8,ALB,83,Metal; miscellaneous products of base metal,N/A,,171.0
M,124,CAN,12,DZA,22,"Beverages, spirits and vinegar",N/A,,312571.0
M,124,CAN,12,DZA,23,"Food industries, residues and wastes thereof; prepared animal fodder",N/A,,33.0
M,124,CAN,12,DZA,24,Tobacco and manufactured tobacco substitutes,N/A,,33290.0
M,124,CAN,12,DZA,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",N/A,,564.0
M,124,CAN,12,DZA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,,3308752493.0
M,124,CAN,12,DZA,29,Organic chemicals,N/A,,2537.0
M,124,CAN,12,DZA,30,Pharmaceutical products,N/A,,1035.0
M,124,CAN,12,DZA,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",N/A,,62.0
M,124,CAN,12,DZA,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",N/A,,1742.0
M,124,CAN,12,DZA,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",N/A,,1874.0
M,124,CAN,12,DZA,35,Albuminoidal substances; modified starches; glues; enzymes,N/A,,252.0
