flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,156,CHN,12,DZA,72,Iron and steel,N/A,,
M,156,CHN,32,ARG,35,Albuminoidal substances; modified starches; glues; enzymes,N/A,,
M,156,CHN,32,ARG,37,Photographic or cinematographic goods,N/A,,
M,156,CHN,32,ARG,38,Chemical products n.e.s.,N/A,,
M,156,CHN,4,AFG,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",N/A,,
M,156,CHN,4,AFG,43,Furskins and artificial fur; manufactures thereof,N/A,,
M,156,CHN,4,AFG,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",N/A,,
M,156,CHN,4,AFG,52,Cotton,N/A,,
M,156,CHN,8,ALB,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",N/A,,
M,156,CHN,8,ALB,61,Apparel and clothing accessories; knitted or crocheted,N/A,,
M,156,CHN,8,ALB,62,Apparel and clothing accessories; not knitted or crocheted,N/A,,
M,156,CHN,32,ARG,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,N/A,,
M,156,CHN,12,DZA,69,Ceramic products,N/A,,
M,156,CHN,12,DZA,73,Iron or steel articles,N/A,,
M,156,CHN,12,DZA,74,Copper and articles thereof,N/A,,
M,156,CHN,12,DZA,76,Aluminium and articles thereof,N/A,,
M,156,CHN,12,DZA,81,"Metals; n.e.s., cermets and articles thereof",N/A,,
M,156,CHN,12,DZA,83,Metal; miscellaneous products of base metal,N/A,,
M,156,CHN,12,DZA,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,
M,156,CHN,24,AGO,20,"Preparations of vegetables, fruit, nuts or other parts of plants",N/A,,
M,156,CHN,24,AGO,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",N/A,,
M,156,CHN,24,AGO,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,,
M,156,CHN,24,AGO,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",N/A,,
M,156,CHN,24,AGO,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",N/A,,
M,156,CHN,31,AZE,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,,
M,156,CHN,31,AZE,50,Silk,N/A,,
