flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,276,DEU,4,AFG,08,"Fruit and nuts, edible; peel of citrus fruit or melons",N/A,,1000.0
X,276,DEU,4,AFG,35,Albuminoidal substances; modified starches; glues; enzymes,N/A,,1000.0
X,276,DEU,4,AFG,52,Cotton,N/A,,1000.0
X,276,DEU,4,AFG,60,Fabrics; knitted or crocheted,N/A,,1000.0
X,276,DEU,4,AFG,45,Cork and articles of cork,N/A,,1000.0
X,276,DEU,4,AFG,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",N/A,,1000.0
X,276,DEU,4,AFG,92,Musical instruments; parts and accessories of such articles,N/A,,1000.0
X,276,DEU,8,ALB,08,"Fruit and nuts, edible; peel of citrus fruit or melons",N/A,,1000.0
X,276,DEU,12,DZA,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",N/A,,1000.0
X,276,DEU,12,DZA,50,Silk,N/A,,1000.0
X,276,DEU,20,AND,54,Man-made filaments,N/A,,1000.0
X,276,DEU,16,ASM,13,"Lac; gums, resins and other vegetable saps and extracts",N/A,,1000.0
X,276,DEU,16,ASM,31,Fertilizers,N/A,,1000.0
X,276,DEU,20,AND,05,Animal originated products; not elsewhere specified or included,N/A,,1000.0
X,276,DEU,20,AND,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,,1000.0
X,276,DEU,20,AND,78,Lead and articles thereof,N/A,,1000.0
X,276,DEU,24,AGO,64,Footwear; gaiters and the like; parts of such articles,N/A,,1000.0
X,276,DEU,28,ATG,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,,1000.0
X,276,DEU,28,ATG,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,N/A,,1000.0
X,276,DEU,28,ATG,78,Lead and articles thereof,N/A,,1000.0
X,276,DEU,28,ATG,95,"Toys, games and sports requisites; parts and accessories thereof",N/A,,1000.0
X,276,DEU,31,AZE,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,N/A,,1000.0
X,276,DEU,32,ARG,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",N/A,,1000.0
X,276,DEU,32,ARG,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,N/A,,1000.0
X,276,DEU,44,BHS,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",N/A,,1000.0
