flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,724,ESP,0,W00,01,Animals; live,N/A,0.0,790349642.082
X,724,ESP,12,DZA,01,Animals; live,N/A,0.0,29587839.325
X,724,ESP,20,AND,01,Animals; live,N/A,0.0,58550.429
X,724,ESP,24,AGO,01,Animals; live,N/A,0.0,225.936
X,724,ESP,31,AZE,01,Animals; live,N/A,0.0,4284.202
X,724,ESP,32,ARG,01,Animals; live,N/A,0.0,385455.37
X,724,ESP,36,AUS,01,Animals; live,N/A,0.0,19247.268
X,724,ESP,40,AUT,01,Animals; live,N/A,0.0,21383.156
X,724,ESP,48,BHR,01,Animals; live,N/A,0.0,348557.424
X,724,ESP,50,BGD,01,Animals; live,N/A,0.0,35481.021
X,724,ESP,56,BEL,01,Animals; live,N/A,0.0,71252.765
X,724,ESP,76,BRA,01,Animals; live,N/A,0.0,14211.895
X,724,ESP,124,CAN,01,Animals; live,N/A,0.0,193062.313
X,724,ESP,152,CHL,01,Animals; live,N/A,0.0,55123.123
X,724,ESP,156,CHN,01,Animals; live,N/A,0.0,4654404.393
X,724,ESP,170,COL,01,Animals; live,N/A,0.0,47529.261
X,724,ESP,188,CRI,01,Animals; live,N/A,0.0,69362.413
X,724,ESP,192,CUB,01,Animals; live,N/A,0.0,1694.521
X,724,ESP,203,CZE,01,Animals; live,N/A,0.0,53061.681
X,724,ESP,208,DNK,01,Animals; live,N/A,0.0,767789.544
X,724,ESP,214,DOM,01,Animals; live,N/A,0.0,37561.893
X,724,ESP,218,ECU,01,Animals; live,N/A,0.0,2993.655
X,724,ESP,222,SLV,01,Animals; live,N/A,0.0,1129.681
X,724,ESP,251,FRA,01,Animals; live,N/A,0.0,26639142.952
X,724,ESP,276,DEU,01,Animals; live,N/A,0.0,32380421.919
X,724,ESP,288,GHA,01,Animals; live,N/A,0.0,53784.451
X,724,ESP,300,GRC,01,Animals; live,N/A,0.0,326033.777
X,724,ESP,320,GTM,01,Animals; live,N/A,0.0,153919.036
X,724,ESP,344,HKG,01,Animals; live,N/A,0.0,59362.534
X,724,ESP,348,HUN,01,Animals; live,N/A,0.0,6068360.432
X,724,ESP,360,IDN,01,Animals; live,N/A,0.0,17656.914
X,724,ESP,364,IRN,01,Animals; live,N/A,0.0,589190.492
X,724,ESP,368,IRQ,01,Animals; live,N/A,0.0,116046.797
X,724,ESP,372,IRL,01,Animals; live,N/A,0.0,756.886
X,724,ESP,376,ISR,01,Animals; live,N/A,0.0,228172.155
X,724,ESP,380,ITA,01,Animals; live,N/A,0.0,67061780.843
X,724,ESP,384,CIV,01,Animals; live,N/A,0.0,219081.296
X,724,ESP,392,JPN,01,Animals; live,N/A,0.0,27855.674
X,724,ESP,400,JOR,01,Animals; live,N/A,0.0,26632.23
X,724,ESP,404,KEN,01,Animals; live,N/A,0.0,18317.1
X,724,ESP,410,KOR,01,Animals; live,N/A,0.0,2217858.718
X,724,ESP,414,KWT,01,Animals; live,N/A,0.0,199797.268
X,724,ESP,422,LBN,01,Animals; live,N/A,0.0,39377705.3
X,724,ESP,428,LVA,01,Animals; live,N/A,0.0,2441.693
X,724,ESP,434,LBY,01,Animals; live,N/A,0.0,251073279.363
X,724,ESP,458,MYS,01,Animals; live,N/A,0.0,778005.973
X,724,ESP,478,MRT,01,Animals; live,N/A,0.0,12878.363
X,724,ESP,484,MEX,01,Animals; live,N/A,0.0,2007239.546
X,724,ESP,490,S19,01,Animals; live,N/A,0.0,8359.639
X,724,ESP,499,MNE,01,Animals; live,N/A,0.0,104066.214
X,724,ESP,504,MAR,01,Animals; live,N/A,0.0,27470717.109
X,724,ESP,508,MOZ,01,Animals; live,N/A,0.0,75519.175
X,724,ESP,512,OMN,01,Animals; live,N/A,0.0,338.904
X,724,ESP,528,NLD,01,Animals; live,N/A,0.0,9318464.78
X,724,ESP,534,SXM,01,Animals; live,N/A,0.0,677.809
X,724,ESP,554,NZL,01,Animals; live,N/A,0.0,12219.759
X,724,ESP,558,NIC,01,Animals; live,N/A,0.0,8811.512
X,724,ESP,566,NGA,01,Animals; live,N/A,0.0,112.968
X,724,ESP,579,NOR,01,Animals; live,N/A,0.0,2311.542
X,724,ESP,586,PAK,01,Animals; live,N/A,0.0,59433.873
X,724,ESP,591,PAN,01,Animals; live,N/A,0.0,73074.545
X,724,ESP,600,PRY,01,Animals; live,N/A,0.0,2507.892
X,724,ESP,604,PER,01,Animals; live,N/A,0.0,785293.68
X,724,ESP,608,PHL,01,Animals; live,N/A,0.0,902569.932
X,724,ESP,616,POL,01,Animals; live,N/A,0.0,93099.835
X,724,ESP,620,PRT,01,Animals; live,N/A,0.0,196985027.998
X,724,ESP,634,QAT,01,Animals; live,N/A,0.0,387981.145
X,724,ESP,642,ROU,01,Animals; live,N/A,0.0,248648.448
X,724,ESP,643,RUS,01,Animals; live,N/A,0.0,59534.189
X,724,ESP,646,RWA,01,Animals; live,N/A,0.0,112.968
X,724,ESP,682,SAU,01,Animals; live,N/A,0.0,248325.574
X,724,ESP,686,SEN,01,Animals; live,N/A,0.0,25784.935
X,724,ESP,688,SRB,01,Animals; live,N/A,0.0,1129.681
X,724,ESP,702,SGP,01,Animals; live,N/A,0.0,64084.544
X,724,ESP,703,SVK,01,Animals; live,N/A,0.0,2478485.094
X,724,ESP,704,VNM,01,Animals; live,N/A,0.0,16465.101
X,724,ESP,710,ZAF,01,Animals; live,N/A,0.0,364627.306
X,724,ESP,716,ZWE,01,Animals; live,N/A,0.0,140254.867
X,724,ESP,757,CHE,01,Animals; live,N/A,0.0,43896.828
X,724,ESP,764,THA,01,Animals; live,N/A,0.0,424245.147
X,724,ESP,784,ARE,01,Animals; live,N/A,0.0,6524636.363
X,724,ESP,788,TUN,01,Animals; live,N/A,0.0,353557.788
X,724,ESP,792,TUR,01,Animals; live,N/A,0.0,48538665.38
X,724,ESP,800,UGA,01,Animals; live,N/A,0.0,139151.033
X,724,ESP,804,UKR,01,Animals; live,N/A,0.0,1412.101
X,724,ESP,818,EGY,01,Animals; live,N/A,0.0,24144408.458
X,724,ESP,826,GBR,01,Animals; live,N/A,0.0,2677280.019
X,724,ESP,842,USA,01,Animals; live,N/A,0.0,1476102.344
X,724,ESP,858,URY,01,Animals; live,N/A,0.0,1520.551
X,724,ESP,862,VEN,01,Animals; live,N/A,0.0,802.074
X,724,ESP,0,W00,02,Meat and edible meat offal,N/A,0.0,6333352005.561
X,724,ESP,4,AFG,02,Meat and edible meat offal,N/A,0.0,98054.085
X,724,ESP,8,ALB,02,Meat and edible meat offal,N/A,0.0,623350.226
X,724,ESP,12,DZA,02,Meat and edible meat offal,N/A,0.0,54386805.899
X,724,ESP,20,AND,02,Meat and edible meat offal,N/A,0.0,28732727.236
X,724,ESP,24,AGO,02,Meat and edible meat offal,N/A,0.0,1356114.824
X,724,ESP,28,ATG,02,Meat and edible meat offal,N/A,0.0,34400.379
X,724,ESP,31,AZE,02,Meat and edible meat offal,N/A,0.0,869696.474
X,724,ESP,32,ARG,02,Meat and edible meat offal,N/A,0.0,4349598.599
X,724,ESP,36,AUS,02,Meat and edible meat offal,N/A,0.0,9730924.711
X,724,ESP,40,AUT,02,Meat and edible meat offal,N/A,0.0,18377405.864
X,724,ESP,44,BHS,02,Meat and edible meat offal,N/A,0.0,226786.646
X,724,ESP,48,BHR,02,Meat and edible meat offal,N/A,0.0,2193005.747
X,724,ESP,51,ARM,02,Meat and edible meat offal,N/A,0.0,10894.779
X,724,ESP,56,BEL,02,Meat and edible meat offal,N/A,0.0,89216700.467
X,724,ESP,70,BIH,02,Meat and edible meat offal,N/A,0.0,637590.036
X,724,ESP,76,BRA,02,Meat and edible meat offal,N/A,0.0,5236399.89
X,724,ESP,100,BGR,02,Meat and edible meat offal,N/A,0.0,90412151.529
X,724,ESP,104,MMR,02,Meat and edible meat offal,N/A,0.0,898946.118
X,724,ESP,116,KHM,02,Meat and edible meat offal,N/A,0.0,2281.504
X,724,ESP,120,CMR,02,Meat and edible meat offal,N/A,0.0,11861.65
X,724,ESP,124,CAN,02,Meat and edible meat offal,N/A,0.0,13215734.576
X,724,ESP,132,CPV,02,Meat and edible meat offal,N/A,0.0,1793619.817
X,724,ESP,136,CYM,02,Meat and edible meat offal,N/A,0.0,4459.28
X,724,ESP,140,CAF,02,Meat and edible meat offal,N/A,0.0,992092.327
X,724,ESP,144,LKA,02,Meat and edible meat offal,N/A,0.0,492107.175
X,724,ESP,152,CHL,02,Meat and edible meat offal,N/A,0.0,9153058.458
X,724,ESP,156,CHN,02,Meat and edible meat offal,N/A,0.0,577796134.936
X,724,ESP,170,COL,02,Meat and edible meat offal,N/A,0.0,2221595.115
X,724,ESP,174,COM,02,Meat and edible meat offal,N/A,0.0,3575189.271
X,724,ESP,178,COG,02,Meat and edible meat offal,N/A,0.0,3101014.031
X,724,ESP,180,COD,02,Meat and edible meat offal,N/A,0.0,2427216.984
X,724,ESP,184,COK,02,Meat and edible meat offal,N/A,0.0,43508.161
