flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,251,FRA,4,AFG,44,Wood and articles of wood; wood charcoal,N/A,,2264.0
X,251,FRA,4,AFG,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",N/A,,2264.0
X,251,FRA,4,AFG,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",N/A,,2264.0
X,251,FRA,8,ALB,20,"Preparations of vegetables, fruit, nuts or other parts of plants",N/A,,2264.0
X,251,FRA,8,ALB,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",N/A,,2264.0
X,251,FRA,10,ATA,21,Miscellaneous edible preparations,N/A,,2264.0
X,251,FRA,16,ASM,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",N/A,,2264.0
X,251,FRA,16,ASM,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,,2264.0
X,251,FRA,16,ASM,97,Works of art; collectors' pieces and antiques,N/A,,2264.0
X,251,FRA,20,AND,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,N/A,,2264.0
X,251,FRA,20,AND,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,N/A,,2264.0
X,251,FRA,20,AND,81,"Metals; n.e.s., cermets and articles thereof",N/A,,2264.0
X,251,FRA,28,ATG,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",N/A,,2264.0
X,251,FRA,28,ATG,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",N/A,,2264.0
X,251,FRA,28,ATG,61,Apparel and clothing accessories; knitted or crocheted,N/A,,2264.0
X,251,FRA,28,ATG,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,2264.0
X,251,FRA,31,AZE,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",N/A,,2264.0
X,251,FRA,31,AZE,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",N/A,,2264.0
X,251,FRA,44,BHS,91,Clocks and watches and parts thereof,N/A,,2264.0
X,251,FRA,50,BGD,52,Cotton,N/A,,2264.0
X,251,FRA,51,ARM,05,Animal originated products; not elsewhere specified or included,N/A,,2264.0
X,251,FRA,52,BRB,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,,2264.0
X,251,FRA,52,BRB,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,,2264.0
X,251,FRA,52,BRB,35,Albuminoidal substances; modified starches; glues; enzymes,N/A,,2264.0
X,251,FRA,60,BMU,38,Chemical products n.e.s.,N/A,,2264.0
X,251,FRA,60,BMU,76,Aluminium and articles thereof,N/A,,2264.0
X,251,FRA,68,BOL,52,Cotton,N/A,,2264.0
X,251,FRA,68,BOL,97,Works of art; collectors' pieces and antiques,N/A,,2264.0
X,251,FRA,70,BIH,09,"Coffee, tea, mate and spices",N/A,,2264.0
X,251,FRA,70,BIH,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,,2264.0
X,251,FRA,70,BIH,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",N/A,,2264.0
X,251,FRA,70,BIH,65,Headgear and parts thereof,N/A,,2264.0
X,251,FRA,72,BWA,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.s.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",N/A,,2264.0
X,251,FRA,90,SLB,73,Iron or steel articles,N/A,,2264.0
X,251,FRA,92,VGB,76,Aluminium and articles thereof,N/A,,2264.0
X,251,FRA,96,BRN,01,Animals; live,N/A,,2264.0
X,251,FRA,96,BRN,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,,2264.0
X,251,FRA,92,VGB,88,"Aircraft, spacecraft and parts thereof",N/A,,2264.0
X,251,FRA,100,BGR,99,Commodities not specified according to kind,N/A,,2264.0
X,251,FRA,104,MMR,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",N/A,,2264.0
X,251,FRA,104,MMR,55,Man-made staple fibres,N/A,,2264.0
X,251,FRA,104,MMR,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",N/A,,2264.0
X,251,FRA,104,MMR,73,Iron or steel articles,N/A,,2264.0
X,251,FRA,104,MMR,95,"Toys, games and sports requisites; parts and accessories thereof",N/A,,2264.0
X,251,FRA,108,BDI,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,,2264.0
X,251,FRA,104,MMR,40,Rubber and articles thereof,N/A,,2264.0
X,251,FRA,108,BDI,88,"Aircraft, spacecraft and parts thereof",N/A,,2264.0
X,251,FRA,108,BDI,95,"Toys, games and sports requisites; parts and accessories thereof",N/A,,2264.0
X,251,FRA,116,KHM,65,Headgear and parts thereof,N/A,,2264.0
X,251,FRA,116,KHM,69,Ceramic products,N/A,,2264.0
X,251,FRA,116,KHM,74,Copper and articles thereof,N/A,,2264.0
X,251,FRA,120,CMR,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",N/A,,2264.0
X,251,FRA,132,CPV,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",N/A,,2264.0
X,251,FRA,132,CPV,20,"Preparations of vegetables, fruit, nuts or other parts of plants",N/A,,2264.0
X,251,FRA,132,CPV,57,Carpets and other textile floor coverings,N/A,,2264.0
X,251,FRA,136,CYM,96,Miscellaneous manufactured articles,N/A,,2264.0
X,251,FRA,140,CAF,74,Copper and articles thereof,N/A,,2264.0
X,251,FRA,140,CAF,57,Carpets and other textile floor coverings,N/A,,2264.0
X,251,FRA,152,CHL,02,Meat and edible meat offal,N/A,,2264.0
X,251,FRA,152,CHL,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",N/A,,2264.0
X,251,FRA,174,COM,13,"Lac; gums, resins and other vegetable saps and extracts",N/A,,2264.0
X,251,FRA,174,COM,18,Cocoa and cocoa preparations,N/A,,2264.0
X,251,FRA,174,COM,91,Clocks and watches and parts thereof,N/A,,2264.0
X,251,FRA,175,MYT,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",N/A,,2264.0
X,251,FRA,175,MYT,93,Arms and ammunition; parts and accessories thereof,N/A,,2264.0
X,251,FRA,178,COG,05,Animal originated products; not elsewhere specified or included,N/A,,2264.0
X,251,FRA,178,COG,80,Tin; articles thereof,N/A,,2264.0
X,251,FRA,188,CRI,52,Cotton,N/A,,2264.0
X,251,FRA,188,CRI,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",N/A,,2264.0
X,251,FRA,196,CYP,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",N/A,,2264.0
X,251,FRA,204,BEN,45,Cork and articles of cork,N/A,,2264.0
X,251,FRA,204,BEN,60,Fabrics; knitted or crocheted,N/A,,2264.0
X,251,FRA,212,DMA,20,"Preparations of vegetables, fruit, nuts or other parts of plants",N/A,,2264.0
X,251,FRA,212,DMA,83,Metal; miscellaneous products of base metal,N/A,,2264.0
X,251,FRA,212,DMA,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",N/A,,2264.0
X,251,FRA,214,DOM,57,Carpets and other textile floor coverings,N/A,,2264.0
X,251,FRA,218,ECU,60,Fabrics; knitted or crocheted,N/A,,2264.0
X,251,FRA,218,ECU,92,Musical instruments; parts and accessories of such articles,N/A,,2264.0
X,251,FRA,226,GNQ,18,Cocoa and cocoa preparations,N/A,,2264.0
X,251,FRA,226,GNQ,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",N/A,,2264.0
X,251,FRA,231,ETH,20,"Preparations of vegetables, fruit, nuts or other parts of plants",N/A,,2264.0
X,251,FRA,232,ERI,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,,2264.0
X,251,FRA,232,ERI,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,,2264.0
X,251,FRA,232,ERI,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",N/A,,2264.0
X,251,FRA,233,EST,74,Copper and articles thereof,N/A,,2264.0
X,251,FRA,234,FRO,30,Pharmaceutical products,N/A,,2264.0
X,251,FRA,234,FRO,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,2264.0
X,251,FRA,238,FLK,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",N/A,,2264.0
X,251,FRA,238,FLK,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",N/A,,2264.0
X,251,FRA,239,SGS,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",N/A,,2264.0
X,251,FRA,258,PYF,43,Furskins and artificial fur; manufactures thereof,N/A,,2264.0
X,251,FRA,258,PYF,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",N/A,,2264.0
X,251,FRA,258,PYF,81,"Metals; n.e.s., cermets and articles thereof",N/A,,2264.0
X,251,FRA,260,ATF,20,"Preparations of vegetables, fruit, nuts or other parts of plants",N/A,,2264.0
X,251,FRA,260,ATF,40,Rubber and articles thereof,N/A,,2264.0
X,251,FRA,262,DJI,91,Clocks and watches and parts thereof,N/A,,2264.0
X,251,FRA,268,GEO,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",N/A,,2264.0
X,251,FRA,270,GMB,62,Apparel and clothing accessories; not knitted or crocheted,N/A,,2264.0
X,251,FRA,288,GHA,26,"Ores, slag and ash",N/A,,2264.0
X,251,FRA,292,GIB,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",N/A,,2264.0
X,251,FRA,292,GIB,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",N/A,,2264.0
X,251,FRA,296,KIR,61,Apparel and clothing accessories; knitted or crocheted,N/A,,2264.0
X,251,FRA,296,KIR,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,,2264.0
X,251,FRA,308,GRD,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",N/A,,2264.0
X,251,FRA,308,GRD,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",N/A,,2264.0
X,251,FRA,308,GRD,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,,2264.0
X,251,FRA,304,GRL,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",N/A,,2264.0
X,251,FRA,304,GRL,73,Iron or steel articles,N/A,,2264.0
X,251,FRA,304,GRL,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.s.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",N/A,,2264.0
X,251,FRA,324,GIN,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",N/A,,2264.0
X,251,FRA,324,GIN,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",N/A,,2264.0
X,251,FRA,332,HTI,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,,2264.0
X,251,FRA,332,HTI,88,"Aircraft, spacecraft and parts thereof",N/A,,2264.0
X,251,FRA,332,HTI,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",N/A,,2264.0
X,251,FRA,360,IDN,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",N/A,,2264.0
X,251,FRA,352,ISL,93,Arms and ammunition; parts and accessories thereof,N/A,,2264.0
X,251,FRA,364,IRN,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",N/A,,2264.0
X,251,FRA,368,IRQ,39,Plastics and articles thereof,N/A,,2264.0
X,251,FRA,368,IRQ,83,Metal; miscellaneous products of base metal,N/A,,2264.0
X,251,FRA,368,IRQ,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",N/A,,2264.0
X,251,FRA,388,JAM,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",N/A,,2264.0
X,251,FRA,388,JAM,65,Headgear and parts thereof,N/A,,2264.0
X,251,FRA,388,JAM,95,"Toys, games and sports requisites; parts and accessories thereof",N/A,,2264.0
X,251,FRA,398,KAZ,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",N/A,,2264.0
X,251,FRA,398,KAZ,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,N/A,,2264.0
X,251,FRA,392,JPN,99,Commodities not specified according to kind,N/A,,2264.0
X,251,FRA,398,KAZ,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",N/A,,2264.0
X,251,FRA,400,JOR,41,Raw hides and skins (other than furskins) and leather,N/A,,2264.0
X,251,FRA,400,JOR,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",N/A,,2264.0
X,251,FRA,400,JOR,81,"Metals; n.e.s., cermets and articles thereof",N/A,,2264.0
X,251,FRA,400,JOR,92,Musical instruments; parts and accessories of such articles,N/A,,2264.0
X,251,FRA,404,KEN,41,Raw hides and skins (other than furskins) and leather,N/A,,2264.0
X,251,FRA,404,KEN,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,N/A,,2264.0
X,251,FRA,408,PRK,50,Silk,N/A,,2264.0
X,251,FRA,408,PRK,62,Apparel and clothing accessories; not knitted or crocheted,N/A,,2264.0
X,251,FRA,408,PRK,64,Footwear; gaiters and the like; parts of such articles,N/A,,2264.0
X,251,FRA,408,PRK,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",N/A,,2264.0
X,251,FRA,408,PRK,73,Iron or steel articles,N/A,,2264.0
