flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,826,GBR,0,W00,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,28592234862.0
X,826,GBR,4,AFG,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,81053223.0
X,826,GBR,8,ALB,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,3047390.0
X,826,GBR,10,ATA,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,99479.0
X,826,GBR,12,DZA,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,43057643.0
X,826,GBR,16,ASM,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,80758.0
X,826,GBR,20,AND,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,181486.0
X,826,GBR,24,AGO,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,18618671.0
X,826,GBR,28,ATG,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,1000638.0
X,826,GBR,31,AZE,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,13311327.0
X,826,GBR,32,ARG,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,18405967.0
X,826,GBR,36,AUS,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,452880542.0
X,826,GBR,40,AUT,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,233046065.0
X,826,GBR,44,BHS,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,374207.0
X,826,GBR,48,BHR,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,31424690.0
X,826,GBR,50,BGD,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,4614135.0
X,826,GBR,51,ARM,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,658225.0
X,826,GBR,52,BRB,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,3612901.0
X,826,GBR,56,BEL,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,2675706174.0
X,826,GBR,60,BMU,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,2478373.0
X,826,GBR,64,BTN,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,27497.0
X,826,GBR,68,BOL,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,1238460.0
X,826,GBR,70,BIH,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,2773908.0
X,826,GBR,72,BWA,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,3105262.0
X,826,GBR,76,BRA,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,152750691.0
X,826,GBR,84,BLZ,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,385054.0
X,826,GBR,90,SLB,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,250186.0
X,826,GBR,92,VGB,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,117857.0
X,826,GBR,96,BRN,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,2253777.0
X,826,GBR,100,BGR,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,20316486.0
X,826,GBR,104,MMR,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,7730.0
X,826,GBR,108,BDI,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,340474.0
X,826,GBR,112,BLR,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,28435688.0
X,826,GBR,116,KHM,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,501209.0
X,826,GBR,120,CMR,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,2132016.0
X,826,GBR,124,CAN,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,296712968.0
X,826,GBR,132,CPV,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,5104.0
X,826,GBR,136,CYM,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,4696623.0
X,826,GBR,140,CAF,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,3791.0
X,826,GBR,144,LKA,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,3060637.0
X,826,GBR,148,TCD,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,1169922.0
X,826,GBR,152,CHL,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,27537170.0
