flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,826,GBR,0,W00,01,Animals; live,N/A,0.0,711894531.588
X,826,GBR,4,AFG,01,Animals; live,N/A,0.0,23195.417
X,826,GBR,8,ALB,01,Animals; live,N/A,0.0,5949.624
X,826,GBR,12,DZA,01,Animals; live,N/A,0.0,431986.282
X,826,GBR,24,AGO,01,Animals; live,N/A,0.0,25584.544
X,826,GBR,31,AZE,01,Animals; live,N/A,0.0,190132.829
X,826,GBR,32,ARG,01,Animals; live,N/A,0.0,29326.738
X,826,GBR,36,AUS,01,Animals; live,N/A,0.0,20195597.098
X,826,GBR,40,AUT,01,Animals; live,N/A,0.0,76216.273
X,826,GBR,48,BHR,01,Animals; live,N/A,0.0,1251730.342
X,826,GBR,50,BGD,01,Animals; live,N/A,0.0,2332885.458
X,826,GBR,52,BRB,01,Animals; live,N/A,0.0,13921.116
X,826,GBR,56,BEL,01,Animals; live,N/A,0.0,3166097.034
X,826,GBR,60,BMU,01,Animals; live,N/A,0.0,9954.7
X,826,GBR,76,BRA,01,Animals; live,N/A,0.0,73876.113
X,826,GBR,100,BGR,01,Animals; live,N/A,0.0,2728.039
X,826,GBR,104,MMR,01,Animals; live,N/A,0.0,81066.692
X,826,GBR,112,BLR,01,Animals; live,N/A,0.0,2563867.992
X,826,GBR,120,CMR,01,Animals; live,N/A,0.0,79674.967
X,826,GBR,124,CAN,01,Animals; live,N/A,0.0,2939770.335
X,826,GBR,136,CYM,01,Animals; live,N/A,0.0,24292.044
X,826,GBR,156,CHN,01,Animals; live,N/A,0.0,262296.347
X,826,GBR,191,HRV,01,Animals; live,N/A,0.0,6051.426
X,826,GBR,196,CYP,01,Animals; live,N/A,0.0,199977.995
X,826,GBR,203,CZE,01,Animals; live,N/A,0.0,427919.353
X,826,GBR,208,DNK,01,Animals; live,N/A,0.0,4279456.408
X,826,GBR,222,SLV,01,Animals; live,N/A,0.0,155980.156
X,826,GBR,246,FIN,01,Animals; live,N/A,0.0,356688.806
X,826,GBR,251,FRA,01,Animals; live,N/A,0.0,75097604.169
X,826,GBR,268,GEO,01,Animals; live,N/A,0.0,2061.815
X,826,GBR,276,DEU,01,Animals; live,N/A,0.0,21319659.868
X,826,GBR,288,GHA,01,Animals; live,N/A,0.0,189386.71
X,826,GBR,300,GRC,01,Animals; live,N/A,0.0,2424199.369
X,826,GBR,344,HKG,01,Animals; live,N/A,0.0,38309307.628
X,826,GBR,348,HUN,01,Animals; live,N/A,0.0,11641632.637
X,826,GBR,352,ISL,01,Animals; live,N/A,0.0,6456.058
X,826,GBR,364,IRN,01,Animals; live,N/A,0.0,3521258.808
X,826,GBR,368,IRQ,01,Animals; live,N/A,0.0,521905.892
X,826,GBR,372,IRL,01,Animals; live,N/A,0.0,302555478.142
X,826,GBR,376,ISR,01,Animals; live,N/A,0.0,6118952.161
X,826,GBR,380,ITA,01,Animals; live,N/A,0.0,10015376.214
X,826,GBR,392,JPN,01,Animals; live,N/A,0.0,24234273.485
X,826,GBR,400,JOR,01,Animals; live,N/A,0.0,6039802.957
X,826,GBR,404,KEN,01,Animals; live,N/A,0.0,254006.563
X,826,GBR,410,KOR,01,Animals; live,N/A,0.0,745900.163
X,826,GBR,414,KWT,01,Animals; live,N/A,0.0,3533441.557
X,826,GBR,417,KGZ,01,Animals; live,N/A,0.0,82690.371
X,826,GBR,422,LBN,01,Animals; live,N/A,0.0,233778.871
