flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,340,HND,0,W00,07,Vegetables and certain roots and tubers; edible,N/A,,49284967.0
X,340,HND,0,W00,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,N/A,,635.0
X,340,HND,0,W00,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,N/A,,173042679.0
X,340,HND,0,W00,05,Animal originated products; not elsewhere specified or included,N/A,,254936.0
X,340,HND,0,W00,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",N/A,,8561475.0
X,340,HND,0,W00,26,"Ores, slag and ash",N/A,,65248051.0
X,340,HND,0,W00,08,"Fruit and nuts, edible; peel of citrus fruit or melons",N/A,,251710711.0
X,340,HND,0,W00,10,Cereals,N/A,,992802.0
X,340,HND,0,W00,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",N/A,,131255.0
X,340,HND,0,W00,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",N/A,,2466211.0
X,340,HND,0,W00,13,"Lac; gums, resins and other vegetable saps and extracts",N/A,,1373074.0
X,340,HND,0,W00,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",N/A,,635293.0
X,340,HND,0,W00,17,Sugars and sugar confectionery,N/A,,45537052.0
X,340,HND,0,W00,30,Pharmaceutical products,N/A,,3859697.0
X,340,HND,0,W00,18,Cocoa and cocoa preparations,N/A,,376354.0
X,340,HND,0,W00,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",N/A,,30993383.0
X,340,HND,0,W00,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",N/A,,13209058.0
X,340,HND,0,W00,20,"Preparations of vegetables, fruit, nuts or other parts of plants",N/A,,28996063.0
X,340,HND,0,W00,21,Miscellaneous edible preparations,N/A,,8745865.0
X,340,HND,0,W00,22,"Beverages, spirits and vinegar",N/A,,2003598.0
X,340,HND,0,W00,23,"Food industries, residues and wastes thereof; prepared animal fodder",N/A,,25633812.0
X,340,HND,0,W00,24,Tobacco and manufactured tobacco substitutes,N/A,,104803711.0
X,340,HND,0,W00,01,Animals; live,N/A,,859420.0
X,340,HND,0,W00,02,Meat and edible meat offal,N/A,,8868533.0
X,340,HND,0,W00,38,Chemical products n.e.c.,N/A,,9070228.0
X,340,HND,0,W00,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,,194246920.0
X,340,HND,0,W00,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,,29688225.0
