flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,392,JPN,580,MNP,02,Meat and edible meat offal,N/A,0.0,78118.614
X,392,JPN,634,QAT,02,Meat and edible meat offal,N/A,0.0,201271.36
X,392,JPN,704,VNM,02,Meat and edible meat offal,N/A,0.0,3095583.844
X,392,JPN,643,RUS,02,Meat and edible meat offal,N/A,0.0,246421.422
X,392,JPN,784,ARE,02,Meat and edible meat offal,N/A,0.0,1299952.593
X,392,JPN,458,MYS,02,Meat and edible meat offal,N/A,0.0,494394.516
X,392,JPN,826,GBR,02,Meat and edible meat offal,N/A,0.0,2887499.399
X,392,JPN,316,GUM,02,Meat and edible meat offal,N/A,0.0,95445.608
X,392,JPN,50,BGD,02,Meat and edible meat offal,N/A,0.0,75122.284
X,392,JPN,702,SGP,02,Meat and edible meat offal,N/A,0.0,13247918.158
X,392,JPN,76,BRA,02,Meat and edible meat offal,N/A,0.0,3656.236
X,392,JPN,496,MNG,02,Meat and edible meat offal,N/A,0.0,144902.895
X,392,JPN,56,BEL,02,Meat and edible meat offal,N/A,0.0,1569880.941
X,392,JPN,276,DEU,02,Meat and edible meat offal,N/A,0.0,1228459.793
X,392,JPN,208,DNK,02,Meat and edible meat offal,N/A,0.0,404308.416
X,392,JPN,116,KHM,02,Meat and edible meat offal,N/A,0.0,45043059.068
X,392,JPN,104,MMR,02,Meat and edible meat offal,N/A,0.0,57465.337
X,392,JPN,842,USA,02,Meat and edible meat offal,N/A,0.0,26913904.665
X,392,JPN,251,FRA,02,Meat and edible meat offal,N/A,0.0,472501.685
X,392,JPN,762,TJK,02,Meat and edible meat offal,N/A,0.0,2831594.652
X,392,JPN,360,IDN,02,Meat and edible meat offal,N/A,0.0,365382.873
X,392,JPN,48,BHR,02,Meat and edible meat offal,N/A,0.0,30560.787
X,392,JPN,608,PHL,02,Meat and edible meat offal,N/A,0.0,1085625.793
X,392,JPN,528,NLD,02,Meat and edible meat offal,N/A,0.0,4447686.855
X,392,JPN,554,NZL,02,Meat and edible meat offal,N/A,0.0,331629.568
X,392,JPN,484,MEX,02,Meat and edible meat offal,N/A,0.0,310173.702
X,392,JPN,490,S19,02,Meat and edible meat offal,N/A,0.0,12693463.269
X,392,JPN,124,CAN,02,Meat and edible meat offal,N/A,0.0,1849948.657
X,392,JPN,764,THA,02,Meat and edible meat offal,N/A,0.0,8854084.991
X,392,JPN,380,ITA,02,Meat and edible meat offal,N/A,0.0,587013.229
X,392,JPN,418,LAO,02,Meat and edible meat offal,N/A,0.0,3455803.399
X,392,JPN,757,CHE,02,Meat and edible meat offal,N/A,0.0,195180.606
X,392,JPN,446,MAC,02,Meat and edible meat offal,N/A,0.0,5753819.38
X,392,JPN,344,HKG,02,Meat and edible meat offal,N/A,0.0,57214590.117
X,392,JPN,170,COL,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,153570.851
X,392,JPN,484,MEX,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,171477.492
X,392,JPN,702,SGP,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,20856885.185
X,392,JPN,528,NLD,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,19592005.709
X,392,JPN,242,FJI,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,2495738.117
X,392,JPN,434,LBY,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,314249.068
X,392,JPN,764,THA,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,134402870.281
X,392,JPN,296,KIR,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,161819.677
X,392,JPN,204,BEN,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,1961294.435
X,392,JPN,643,RUS,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,15263637.011
X,392,JPN,768,TGO,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,1276302.986
X,392,JPN,784,ARE,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,1479384.629
X,392,JPN,490,S19,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,64411008.82
X,392,JPN,608,PHL,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,18649320.927
X,392,JPN,591,PAN,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,169667.209
X,392,JPN,262,DJI,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,11940.733
X,392,JPN,458,MYS,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,13847549.861
X,392,JPN,48,BHR,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,180163.283
X,392,JPN,251,FRA,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,2508463.604
X,392,JPN,258,PYF,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,873153.864
X,392,JPN,203,CZE,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,68121.928
X,392,JPN,316,GUM,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,8470813.311
X,392,JPN,36,AUS,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,9935519.489
X,392,JPN,800,UGA,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,166751.137
X,392,JPN,598,PNG,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,3397.625
X,392,JPN,699,IND,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,593665.796
X,392,JPN,686,SEN,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,148354.025
X,392,JPN,276,DEU,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,4533117.942
X,392,JPN,496,MNG,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,2327.507
X,392,JPN,516,NAM,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,6753077.733
X,392,JPN,480,MUS,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,4820391.119
X,392,JPN,422,LBN,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,349607.551
X,392,JPN,384,CIV,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,3259187.051
X,392,JPN,842,USA,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,213415942.411
X,392,JPN,566,NGA,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,48826202.645
X,392,JPN,682,SAU,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,181607.942
X,392,JPN,554,NZL,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,343240.349
X,392,JPN,156,CHN,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,293531806.811
X,392,JPN,620,PRT,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,173617.728
X,392,JPN,804,UKR,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,333092.063
X,392,JPN,218,ECU,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,30159.492
X,392,JPN,50,BGD,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,79188.732
X,392,JPN,116,KHM,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,38996.883
X,392,JPN,710,ZAF,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,14173721.828
X,392,JPN,144,LKA,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,1122589.453
X,392,JPN,288,GHA,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,25610937.906
