flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,484,MEX,300,GRC,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",N/A,,1240.0
M,484,MEX,300,GRC,72,Iron and steel,N/A,,101083.0
M,484,MEX,300,GRC,73,Iron or steel articles,N/A,,3121793.0
M,484,MEX,300,GRC,76,Aluminium and articles thereof,N/A,,295922.0
M,484,MEX,300,GRC,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",N/A,,1632772.0
M,484,MEX,300,GRC,83,Metal; miscellaneous products of base metal,N/A,,75552.0
M,484,MEX,300,GRC,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,,3478918.0
M,484,MEX,320,GTM,26,"Ores, slag and ash",N/A,,38200.0
M,484,MEX,320,GTM,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,,3149710.0
M,484,MEX,320,GTM,29,Organic chemicals,N/A,,658849.0
M,484,MEX,320,GTM,30,Pharmaceutical products,N/A,,1335953.0
M,484,MEX,320,GTM,31,Fertilizers,N/A,,17487.0
M,484,MEX,320,GTM,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",N/A,,166145.0
M,484,MEX,300,GRC,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,,66972.0
M,484,MEX,300,GRC,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.s.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",N/A,,10027.0
M,484,MEX,300,GRC,95,"Toys, games and sports requisites; parts and accessories thereof",N/A,,10744.0
M,484,MEX,300,GRC,96,Miscellaneous manufactured articles,N/A,,44901.0
M,484,MEX,300,GRC,97,Works of art; collectors' pieces and antiques,N/A,,4326.0
M,484,MEX,320,GTM,35,Albuminoidal substances; modified starches; glues; enzymes,N/A,,53516.0
M,484,MEX,320,GTM,38,Chemical products n.e.s.,N/A,,3841477.0
M,484,MEX,320,GTM,39,Plastics and articles thereof,N/A,,3231797.0
M,484,MEX,320,GTM,40,Rubber and articles thereof,N/A,,32307762.0
M,484,MEX,320,GTM,41,Raw hides and skins (other than furskins) and leather,N/A,,2555489.0
M,484,MEX,320,GTM,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",N/A,,863538.0
M,484,MEX,320,GTM,44,Wood and articles of wood; wood charcoal,N/A,,2776799.0
M,484,MEX,320,GTM,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,N/A,,339864.0
M,484,MEX,320,GTM,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",N/A,,650768.0
M,484,MEX,320,GTM,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",N/A,,288708.0
M,484,MEX,320,GTM,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",N/A,,636021.0
M,484,MEX,320,GTM,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",N/A,,73590.0
M,484,MEX,320,GTM,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",N/A,,1141462.0
M,484,MEX,320,GTM,64,Footwear; gaiters and the like; parts of such articles,N/A,,511836.0
M,484,MEX,320,GTM,65,Headgear and parts thereof,N/A,,520254.0
M,484,MEX,320,GTM,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",N/A,,758617.0
M,484,MEX,320,GTM,69,Ceramic products,N/A,,600032.0
M,484,MEX,320,GTM,70,Glass and glassware,N/A,,40742.0
M,484,MEX,320,GTM,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",N/A,,7590.0
M,484,MEX,320,GTM,72,Iron and steel,N/A,,690449.0
M,484,MEX,320,GTM,73,Iron or steel articles,N/A,,2532864.0
M,484,MEX,320,GTM,74,Copper and articles thereof,N/A,,79612.0
M,484,MEX,320,GTM,76,Aluminium and articles thereof,N/A,,91409.0
M,484,MEX,320,GTM,79,Zinc and articles thereof,N/A,,176806.0
M,484,MEX,320,GTM,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",N/A,,4851.0
M,484,MEX,320,GTM,52,Cotton,N/A,,6667446.0
M,484,MEX,320,GTM,55,Man-made staple fibres,N/A,,2087920.0
M,484,MEX,320,GTM,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",N/A,,769650.0
M,484,MEX,320,GTM,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",N/A,,786716.0
M,484,MEX,320,GTM,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",N/A,,10344.0
M,484,MEX,320,GTM,60,Fabrics; knitted or crocheted,N/A,,2393088.0
M,484,MEX,320,GTM,61,Apparel and clothing accessories; knitted or crocheted,N/A,,2309367.0
M,484,MEX,320,GTM,62,Apparel and clothing accessories; not knitted or crocheted,N/A,,2826778.0
