flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,484,MEX,152,CHL,99,Commodities not specified according to kind,N/A,0.0,5403655.0
X,484,MEX,152,CHL,09,"Coffee, tea, mate and spices",N/A,0.0,8995.0
X,484,MEX,152,CHL,52,Cotton,N/A,0.0,469269.0
X,484,MEX,152,CHL,55,Man-made staple fibres,N/A,0.0,111167.0
X,484,MEX,152,CHL,92,Musical instruments; parts and accessories of such articles,N/A,0.0,4660.0
X,484,MEX,152,CHL,02,Meat and edible meat offal,N/A,0.0,3221654.0
X,484,MEX,152,CHL,10,Cereals,N/A,0.0,503562.0
X,484,MEX,152,CHL,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",N/A,0.0,1214684.0
X,484,MEX,152,CHL,13,"Lac; gums, resins and other vegetable saps and extracts",N/A,0.0,1543535.0
X,484,MEX,152,CHL,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",N/A,0.0,3261884.0
X,484,MEX,152,CHL,26,"Ores, slag and ash",N/A,0.0,13270988.0
X,484,MEX,152,CHL,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,N/A,0.0,946933.0
X,484,MEX,152,CHL,37,Photographic or cinematographic goods,N/A,0.0,119784.0
X,484,MEX,152,CHL,57,Carpets and other textile floor coverings,N/A,0.0,15738.0
X,484,MEX,152,CHL,60,Fabrics; knitted or crocheted,N/A,0.0,527745.0
X,484,MEX,152,CHL,79,Zinc and articles thereof,N/A,0.0,311337.0
X,484,MEX,152,CHL,88,"Aircraft, spacecraft and parts thereof",N/A,0.0,1237745.0
X,484,MEX,152,CHL,97,Works of art; collectors' pieces and antiques,N/A,0.0,3511.0
X,484,MEX,152,CHL,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,0.0,3966340.0
X,484,MEX,152,CHL,07,Vegetables and certain roots and tubers; edible,N/A,0.0,699564.0
X,484,MEX,152,CHL,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,0.0,2666631.0
X,484,MEX,152,CHL,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",N/A,0.0,20691.0
X,484,MEX,152,CHL,18,Cocoa and cocoa preparations,N/A,0.0,1293991.0
X,484,MEX,152,CHL,41,Raw hides and skins (other than furskins) and leather,N/A,0.0,75947.0
X,484,MEX,591,PAN,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,N/A,0.0,992525.0
X,484,MEX,591,PAN,09,"Coffee, tea, mate and spices",N/A,0.0,557435.0
X,484,MEX,591,PAN,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",N/A,0.0,641336.0
X,484,MEX,591,PAN,55,Man-made staple fibres,N/A,0.0,69905.0
X,484,MEX,591,PAN,07,Vegetables and certain roots and tubers; edible,N/A,0.0,1361435.0
