flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,566,NGA,0,W00,73,Iron or steel articles,N/A,,6145530.0
X,566,NGA,0,W00,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",N/A,,2211256.0
X,566,NGA,0,W00,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,,23570728140.0
X,566,NGA,0,W00,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,,3075027.0
X,566,NGA,0,W00,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",N/A,,400627.0
X,566,NGA,0,W00,74,Copper and articles thereof,N/A,,255737.0
X,566,NGA,0,W00,75,Nickel and articles thereof,N/A,,398631.0
X,566,NGA,0,W00,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",N/A,,2236998.0
X,566,NGA,0,W00,83,Metal; miscellaneous products of base metal,N/A,,5410.0
X,566,NGA,0,W00,20,"Preparations of vegetables, fruit, nuts or other parts of plants",N/A,,59422.0
X,566,NGA,0,W00,21,Miscellaneous edible preparations,N/A,,31605.0
X,566,NGA,0,W00,22,"Beverages, spirits and vinegar",N/A,,10629.0
X,566,NGA,0,W00,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,,64389642.0
X,566,NGA,0,W00,29,Organic chemicals,N/A,,52150.0
X,566,NGA,0,W00,30,Pharmaceutical products,N/A,,13574.0
X,566,NGA,0,W00,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",N/A,,208452.0
X,566,NGA,0,W00,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, 'dental waxes' and dental preparations with a basis of plaster",N/A,,636906.0
X,566,NGA,0,W00,35,Albuminoidal substances; modified starches; glues; enzymes,N/A,,328296.0
X,566,NGA,0,W00,37,Photographic or cinematographic goods,N/A,,6392.0
X,566,NGA,0,W00,38,Chemical products n.e.s.,N/A,,4279699.0
X,566,NGA,0,W00,39,Plastics and articles thereof,N/A,,4709139.0
X,566,NGA,24,AGO,38,Chemical products n.e.s.,N/A,,106431.0
X,566,NGA,0,W00,40,Rubber and articles thereof,N/A,,16392741.0
X,566,NGA,0,W00,41,Raw hides and skins (other than furskins) and leather,N/A,,5990848.0
X,566,NGA,0,W00,44,Wood and articles of wood; wood charcoal,N/A,,77729.0
X,566,NGA,0,W00,45,Cork and articles of cork,N/A,,4957.0
X,566,NGA,0,W00,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",N/A,,2479.0
X,566,NGA,0,W00,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,N/A,,289611.0
X,566,NGA,0,W00,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",N/A,,333620.0
X,566,NGA,0,W00,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",N/A,,154402.0
X,566,NGA,0,W00,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",N/A,,58004.0
X,566,NGA,0,W00,52,Cotton,N/A,,1358262.0
X,566,NGA,0,W00,54,Man-made filaments,N/A,,178427.0
X,566,NGA,0,W00,55,Man-made staple fibres,N/A,,3254602.0
X,566,NGA,0,W00,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",N/A,,5320181.0
X,566,NGA,0,W00,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",N/A,,178933.0
X,566,NGA,0,W00,61,Apparel and clothing accessories; knitted or crocheted,N/A,,8853.0
X,566,NGA,0,W00,62,Apparel and clothing accessories; not knitted or crocheted,N/A,,4891.0
X,566,NGA,0,W00,64,Footwear; gaiters and the like; parts of such articles,N/A,,3153209.0
X,566,NGA,0,W00,69,Ceramic products,N/A,,233662.0
X,566,NGA,0,W00,70,Glass and glassware,N/A,,85.0
X,566,NGA,0,W00,72,Iron and steel,N/A,,252680.0
X,566,NGA,0,W00,02,Meat and edible meat offal,N/A,,17425.0
X,566,NGA,0,W00,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,,52040.0
X,566,NGA,0,W00,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,,1113370.0
X,566,NGA,0,W00,05,Animal originated products; not elsewhere specified or included,N/A,,85609.0
X,566,NGA,0,W00,07,Vegetables and certain roots and tubers; edible,N/A,,13017.0
X,566,NGA,0,W00,08,"Fruit and nuts, edible; peel of citrus fruit or melons",N/A,,52116.0
X,566,NGA,0,W00,09,"Coffee, tea, mate and spices",N/A,,276521.0
X,566,NGA,0,W00,10,Cereals,N/A,,465206.0
X,566,NGA,0,W00,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",N/A,,136410.0
X,566,NGA,0,W00,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",N/A,,505695.0
X,566,NGA,0,W00,13,"Lac; gums, resins and other vegetable saps and extracts",N/A,,20908.0
X,566,NGA,0,W00,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,N/A,,1561226.0
X,566,NGA,0,W00,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",N/A,,84938.0
X,566,NGA,0,W00,17,Sugars and sugar confectionery,N/A,,2104132.0
X,566,NGA,0,W00,18,Cocoa and cocoa preparations,N/A,,421447.0
X,566,NGA,0,W00,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",N/A,,336140.0
X,566,NGA,148,TCD,39,Plastics and articles thereof,N/A,,858811.0
X,566,NGA,148,TCD,40,Rubber and articles thereof,N/A,,38906.0
X,566,NGA,0,W00,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",N/A,,4826564.0
X,566,NGA,0,W00,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",N/A,,141168.0
X,566,NGA,0,W00,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,2245217.0
X,566,NGA,0,W00,88,"Aircraft, spacecraft and parts thereof",N/A,,108925.0
X,566,NGA,0,W00,89,"Ships, boats and floating structures",N/A,,358186628.0
X,566,NGA,0,W00,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,,5068026.0
X,566,NGA,0,W00,91,Clocks and watches and parts thereof,N/A,,32972.0
X,566,NGA,0,W00,92,Musical instruments; parts and accessories of such articles,N/A,,6276.0
X,566,NGA,0,W00,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.s.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",N/A,,1852272.0
X,566,NGA,0,W00,99,Commodities not specified according to kind,N/A,,2379.0
X,566,NGA,12,DZA,40,Rubber and articles thereof,N/A,,470629.0
X,566,NGA,12,DZA,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,,3871.0
X,566,NGA,24,AGO,40,Rubber and articles thereof,N/A,,107561.0
X,566,NGA,24,AGO,70,Glass and glassware,N/A,,85.0
X,566,NGA,24,AGO,73,Iron or steel articles,N/A,,5322.0
X,566,NGA,24,AGO,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,,92750.0
X,566,NGA,24,AGO,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",N/A,,106653.0
X,566,NGA,24,AGO,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,1560.0
X,566,NGA,24,AGO,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,,3534.0
X,566,NGA,32,ARG,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,,33241080.0
X,566,NGA,32,ARG,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,,337.0
X,566,NGA,36,AUS,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,,26976235.0
X,566,NGA,48,BHR,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",N/A,,2479.0
X,566,NGA,50,BGD,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",N/A,,90495.0
X,566,NGA,52,BRB,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,,37580.0
X,566,NGA,56,BEL,40,Rubber and articles thereof,N/A,,83445.0
X,566,NGA,56,BEL,44,Wood and articles of wood; wood charcoal,N/A,,2267.0
X,566,NGA,56,BEL,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",N/A,,193.0
X,566,NGA,56,BEL,61,Apparel and clothing accessories; knitted or crocheted,N/A,,3251.0
X,566,NGA,56,BEL,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,,219827.0
X,566,NGA,56,BEL,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",N/A,,3074.0
X,566,NGA,56,BEL,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,43319.0
X,566,NGA,56,BEL,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,,35411.0
X,566,NGA,56,BEL,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.s.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",N/A,,30824.0
X,566,NGA,72,BWA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,,8790.0
X,566,NGA,76,BRA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,,1636714233.0
X,566,NGA,120,CMR,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",N/A,,2555.0
X,566,NGA,120,CMR,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,,293654576.0
X,566,NGA,120,CMR,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, 'dental waxes' and dental preparations with a basis of plaster",N/A,,9447.0
X,566,NGA,120,CMR,39,Plastics and articles thereof,N/A,,100396.0
X,566,NGA,120,CMR,40,Rubber and articles thereof,N/A,,4802033.0
X,566,NGA,120,CMR,52,Cotton,N/A,,118341.0
X,566,NGA,204,BEN,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,,3900.0
X,566,NGA,120,CMR,64,Footwear; gaiters and the like; parts of such articles,N/A,,1936.0
X,566,NGA,120,CMR,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,,29388.0
X,566,NGA,120,CMR,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,18089.0
X,566,NGA,120,CMR,89,"Ships, boats and floating structures",N/A,,14391741.0
X,566,NGA,124,CAN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,,753711653.0
X,566,NGA,132,CPV,40,Rubber and articles thereof,N/A,,16301.0
X,566,NGA,140,CAF,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",N/A,,2401.0
X,566,NGA,140,CAF,64,Footwear; gaiters and the like; parts of such articles,N/A,,413608.0
X,566,NGA,148,TCD,02,Meat and edible meat offal,N/A,,17425.0
X,566,NGA,148,TCD,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,,2479.0
X,566,NGA,148,TCD,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,,2710.0
X,566,NGA,148,TCD,07,Vegetables and certain roots and tubers; edible,N/A,,13017.0
X,566,NGA,148,TCD,09,"Coffee, tea, mate and spices",N/A,,274039.0
X,566,NGA,148,TCD,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, 'dental waxes' and dental preparations with a basis of plaster",N/A,,57082.0
X,566,NGA,148,TCD,37,Photographic or cinematographic goods,N/A,,6195.0
X,566,NGA,148,TCD,45,Cork and articles of cork,N/A,,4957.0
X,566,NGA,148,TCD,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",N/A,,2479.0
X,566,NGA,148,TCD,52,Cotton,N/A,,17297.0
X,566,NGA,148,TCD,61,Apparel and clothing accessories; knitted or crocheted,N/A,,2479.0
X,566,NGA,148,TCD,64,Footwear; gaiters and the like; parts of such articles,N/A,,1671175.0
X,566,NGA,148,TCD,72,Iron and steel,N/A,,2639.0
X,566,NGA,148,TCD,73,Iron or steel articles,N/A,,41184.0
X,566,NGA,148,TCD,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",N/A,,11868.0
X,566,NGA,152,CHL,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,,86064690.0
X,566,NGA,156,CHN,09,"Coffee, tea, mate and spices",N/A,,3.0
X,566,NGA,156,CHN,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",N/A,,6442.0
X,566,NGA,156,CHN,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,,109800286.0
X,566,NGA,156,CHN,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,,116333.0
X,566,NGA,156,CHN,38,Chemical products n.e.s.,N/A,,253627.0
X,566,NGA,156,CHN,40,Rubber and articles thereof,N/A,,543792.0
X,566,NGA,156,CHN,41,Raw hides and skins (other than furskins) and leather,N/A,,24674.0
X,566,NGA,156,CHN,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",N/A,,5953.0
X,566,NGA,288,GHA,21,Miscellaneous edible preparations,N/A,,31605.0
X,566,NGA,288,GHA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,,451296909.0
X,566,NGA,156,CHN,73,Iron or steel articles,N/A,,2605614.0
X,566,NGA,156,CHN,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",N/A,,1398861.0
X,566,NGA,156,CHN,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,,1881409.0
X,566,NGA,156,CHN,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",N/A,,105835.0
X,566,NGA,156,CHN,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",N/A,,183.0
X,566,NGA,156,CHN,89,"Ships, boats and floating structures",N/A,,6784960.0
X,566,NGA,156,CHN,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,,4250.0
X,566,NGA,156,CHN,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.s.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",N/A,,11112.0
X,566,NGA,178,COG,40,Rubber and articles thereof,N/A,,33568.0
X,566,NGA,178,COG,55,Man-made staple fibres,N/A,,83807.0
X,566,NGA,180,COD,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",N/A,,198734.0
X,566,NGA,184,COK,40,Rubber and articles thereof,N/A,,69688.0
X,566,NGA,204,BEN,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,,10490.0
X,566,NGA,204,BEN,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,,1074949.0
X,566,NGA,204,BEN,05,Animal originated products; not elsewhere specified or included,N/A,,85609.0
X,566,NGA,204,BEN,08,"Fruit and nuts, edible; peel of citrus fruit or melons",N/A,,30881.0
X,566,NGA,204,BEN,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,N/A,,2713.0
X,566,NGA,204,BEN,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",N/A,,84938.0
