flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,554,NZL,0,W00,08,"Fruit and nuts, edible; peel of citrus fruit or melons",N/A,,581723451.0
X,554,NZL,0,W00,05,Animal originated products; not elsewhere specified or included,N/A,,148649006.0
X,554,NZL,0,W00,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",N/A,,48801265.0
X,554,NZL,0,W00,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",N/A,,87199431.0
X,554,NZL,0,W00,07,Vegetables and certain roots and tubers; edible,N/A,,244372117.0
X,554,NZL,0,W00,09,"Coffee, tea, mate and spices",N/A,,1807652.0
X,554,NZL,0,W00,10,Cereals,N/A,,1123300.0
X,554,NZL,0,W00,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",N/A,,3274775.0
X,554,NZL,0,W00,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",N/A,,55555139.0
X,554,NZL,0,W00,13,"Lac; gums, resins and other vegetable saps and extracts",N/A,,4652241.0
X,554,NZL,0,W00,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,N/A,,3008.0
X,554,NZL,0,W00,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,N/A,,89183022.0
X,554,NZL,0,W00,17,Sugars and sugar confectionery,N/A,,43454032.0
X,554,NZL,0,W00,18,Cocoa and cocoa preparations,N/A,,43915297.0
X,554,NZL,0,W00,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",N/A,,90688679.0
X,554,NZL,0,W00,20,"Preparations of vegetables, fruit, nuts or other parts of plants",N/A,,99030156.0
X,554,NZL,0,W00,21,Miscellaneous edible preparations,N/A,,258151353.0
X,554,NZL,0,W00,22,"Beverages, spirits and vinegar",N/A,,241818171.0
X,554,NZL,0,W00,23,"Food industries, residues and wastes thereof; prepared animal fodder",N/A,,103744232.0
X,554,NZL,0,W00,01,Animals; live,N/A,,89448707.0
X,554,NZL,0,W00,02,Meat and edible meat offal,N/A,,2421291842.0
X,554,NZL,0,W00,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,,621568393.0
X,554,NZL,0,W00,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",N/A,,26146323.0
X,554,NZL,0,W00,26,"Ores, slag and ash",N/A,,12784745.0
X,554,NZL,0,W00,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,,305300646.0
X,554,NZL,0,W00,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,,11549822.0
X,554,NZL,0,W00,37,Photographic or cinematographic goods,N/A,,10182416.0
X,554,NZL,0,W00,29,Organic chemicals,N/A,,210114221.0
X,554,NZL,0,W00,24,Tobacco and manufactured tobacco substitutes,N/A,,9589870.0
X,554,NZL,0,W00,30,Pharmaceutical products,N/A,,117402487.0
X,554,NZL,0,W00,31,Fertilizers,N/A,,4799018.0
X,554,NZL,0,W00,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",N/A,,27464633.0
X,554,NZL,0,W00,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",N/A,,44077335.0
X,554,NZL,0,W00,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",N/A,,49880236.0
X,554,NZL,0,W00,35,Albuminoidal substances; modified starches; glues; enzymes,N/A,,591607757.0
X,554,NZL,0,W00,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,N/A,,4321405.0
X,554,NZL,0,W00,38,Chemical products n.e.s.,N/A,,68821812.0
X,554,NZL,0,W00,39,Plastics and articles thereof,N/A,,225375528.0
X,554,NZL,0,W00,40,Rubber and articles thereof,N/A,,72166379.0
X,554,NZL,0,W00,41,Raw hides and skins (other than furskins) and leather,N/A,,349532281.0
X,554,NZL,0,W00,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",N/A,,9463899.0
X,554,NZL,0,W00,43,Furskins and artificial fur; manufactures thereof,N/A,,59506827.0
X,554,NZL,0,W00,44,Wood and articles of wood; wood charcoal,N/A,,1210850980.0
X,554,NZL,0,W00,45,Cork and articles of cork,N/A,,3769212.0
X,554,NZL,0,W00,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",N/A,,122919.0
X,554,NZL,0,W00,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,N/A,,253851241.0
X,554,NZL,0,W00,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",N/A,,328402875.0
X,554,NZL,0,W00,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",N/A,,38181377.0
X,554,NZL,0,W00,50,Silk,N/A,,285389.0
X,554,NZL,0,W00,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",N/A,,521351044.0
X,554,NZL,0,W00,52,Cotton,N/A,,4090006.0
X,554,NZL,0,W00,61,Apparel and clothing accessories; knitted or crocheted,N/A,,58055666.0
X,554,NZL,0,W00,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,N/A,,291765.0
