flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,608,PHL,4,AFG,39,Plastics and articles thereof,N/A,0.0,65.0
M,608,PHL,32,ARG,40,Rubber and articles thereof,N/A,0.0,438.0
M,608,PHL,32,ARG,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",N/A,0.0,60.0
M,608,PHL,32,ARG,96,Miscellaneous manufactured articles,N/A,0.0,376.0
M,608,PHL,36,AUS,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",N/A,0.0,13191483.0
M,608,PHL,36,AUS,17,Sugars and sugar confectionery,N/A,0.0,121494.0
M,608,PHL,36,AUS,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",N/A,0.0,11830862.0
M,608,PHL,36,AUS,23,"Food industries, residues and wastes thereof; prepared animal fodder",N/A,0.0,24683862.0
M,608,PHL,36,AUS,26,"Ores, slag and ash",N/A,0.0,74838931.0
M,608,PHL,36,AUS,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",N/A,0.0,36880320.0
M,608,PHL,40,AUT,45,Cork and articles of cork,N/A,0.0,3015.0
M,608,PHL,40,AUT,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",N/A,0.0,8310.0
M,608,PHL,40,AUT,72,Iron and steel,N/A,0.0,141416.0
M,608,PHL,40,AUT,75,Nickel and articles thereof,N/A,0.0,69886.0
M,608,PHL,50,BGD,72,Iron and steel,N/A,0.0,248.0
M,608,PHL,50,BGD,74,Copper and articles thereof,N/A,0.0,1199152.0
M,608,PHL,51,ARM,40,Rubber and articles thereof,N/A,0.0,1609.0
M,608,PHL,56,BEL,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,N/A,0.0,2127972.0
M,608,PHL,56,BEL,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",N/A,0.0,1710.0
M,608,PHL,56,BEL,17,Sugars and sugar confectionery,N/A,0.0,590214.0
M,608,PHL,56,BEL,21,Miscellaneous edible preparations,N/A,0.0,3209693.0
M,608,PHL,56,BEL,23,"Food industries, residues and wastes thereof; prepared animal fodder",N/A,0.0,5950329.0
M,608,PHL,56,BEL,24,Tobacco and manufactured tobacco substitutes,N/A,0.0,42672401.0
M,608,PHL,56,BEL,26,"Ores, slag and ash",N/A,0.0,13320.0
M,608,PHL,60,BMU,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",N/A,0.0,30.0
M,608,PHL,60,BMU,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",N/A,0.0,114.0
M,608,PHL,60,BMU,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",N/A,0.0,62.0
M,608,PHL,70,BIH,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,N/A,0.0,6655979.0
M,608,PHL,70,BIH,39,Plastics and articles thereof,N/A,0.0,63.0
M,608,PHL,76,BRA,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,N/A,0.0,782914.0
M,608,PHL,76,BRA,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",N/A,0.0,257386.0
M,608,PHL,76,BRA,17,Sugars and sugar confectionery,N/A,0.0,388167.0
M,608,PHL,76,BRA,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",N/A,0.0,51.0
M,608,PHL,76,BRA,21,Miscellaneous edible preparations,N/A,0.0,902017.0
M,608,PHL,76,BRA,23,"Food industries, residues and wastes thereof; prepared animal fodder",N/A,0.0,7389393.0
M,608,PHL,76,BRA,24,Tobacco and manufactured tobacco substitutes,N/A,0.0,17238921.0
M,608,PHL,76,BRA,26,"Ores, slag and ash",N/A,0.0,649373408.0
M,608,PHL,76,BRA,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",N/A,0.0,297227.0
M,608,PHL,76,BRA,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",N/A,0.0,442009.0
M,608,PHL,76,BRA,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",N/A,0.0,31826.0
M,608,PHL,76,BRA,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",N/A,0.0,74573.0
M,608,PHL,100,BGR,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",N/A,0.0,1183.0
M,608,PHL,100,BGR,17,Sugars and sugar confectionery,N/A,0.0,102147.0
M,608,PHL,100,BGR,21,Miscellaneous edible preparations,N/A,0.0,2335.0
M,608,PHL,100,BGR,23,"Food industries, residues and wastes thereof; prepared animal fodder",N/A,0.0,700106.0
M,608,PHL,100,BGR,24,Tobacco and manufactured tobacco substitutes,N/A,0.0,248938.0
M,608,PHL,100,BGR,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",N/A,0.0,8425.0
M,608,PHL,100,BGR,38,Chemical products n.e.c.,N/A,0.0,558884.0
M,608,PHL,100,BGR,39,Plastics and articles thereof,N/A,0.0,237548.0
M,608,PHL,100,BGR,40,Rubber and articles thereof,N/A,0.0,34878.0
M,608,PHL,100,BGR,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",N/A,0.0,442422.0
M,608,PHL,100,BGR,74,Copper and articles thereof,N/A,0.0,155446.0
M,608,PHL,100,BGR,76,Aluminium and articles thereof,N/A,0.0,59.0
M,608,PHL,104,MMR,21,Miscellaneous edible preparations,N/A,0.0,3709.0
M,608,PHL,104,MMR,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",N/A,0.0,15901.0
M,608,PHL,104,MMR,37,Photographic or cinematographic goods,N/A,0.0,41203.0
M,608,PHL,104,MMR,38,Chemical products n.e.c.,N/A,0.0,1514.0
M,608,PHL,104,MMR,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",N/A,0.0,92.0
M,608,PHL,120,CMR,76,Aluminium and articles thereof,N/A,0.0,100358.0
M,608,PHL,124,CAN,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,N/A,0.0,640047.0
M,608,PHL,124,CAN,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",N/A,0.0,16134.0
M,608,PHL,124,CAN,17,Sugars and sugar confectionery,N/A,0.0,412535.0
M,608,PHL,124,CAN,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",N/A,0.0,966009.0
M,608,PHL,124,CAN,21,Miscellaneous edible preparations,N/A,0.0,20125896.0
M,608,PHL,124,CAN,23,"Food industries, residues and wastes thereof; prepared animal fodder",N/A,0.0,16294105.0
M,608,PHL,124,CAN,26,"Ores, slag and ash",N/A,0.0,39292384.0
M,608,PHL,124,CAN,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",N/A,0.0,1033537.0
M,608,PHL,132,CPV,39,Plastics and articles thereof,N/A,0.0,1000.0
M,608,PHL,140,CAF,39,Plastics and articles thereof,N/A,0.0,67.0
M,608,PHL,144,LKA,17,Sugars and sugar confectionery,N/A,0.0,1775.0
M,608,PHL,144,LKA,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",N/A,0.0,320.0
M,608,PHL,144,LKA,21,Miscellaneous edible preparations,N/A,0.0,102946.0
M,608,PHL,144,LKA,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",N/A,0.0,162593.0
M,608,PHL,144,LKA,38,Chemical products n.e.c.,N/A,0.0,10000.0
M,608,PHL,144,LKA,39,Plastics and articles thereof,N/A,0.0,94073.0
M,608,PHL,144,LKA,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",N/A,0.0,22270.0
M,608,PHL,156,CHN,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",N/A,0.0,59431006.0
M,608,PHL,156,CHN,21,Miscellaneous edible preparations,N/A,0.0,192704077.0
M,608,PHL,156,CHN,23,"Food industries, residues and wastes thereof; prepared animal fodder",N/A,0.0,72407776.0
M,608,PHL,156,CHN,24,Tobacco and manufactured tobacco substitutes,N/A,0.0,17284743.0
M,608,PHL,156,CHN,26,"Ores, slag and ash",N/A,0.0,13503800.0
M,608,PHL,156,CHN,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",N/A,0.0,75028715.0
M,608,PHL,162,CXR,21,Miscellaneous edible preparations,N/A,0.0,1032.0
M,608,PHL,162,CXR,40,Rubber and articles thereof,N/A,0.0,535.0
M,608,PHL,166,CCK,39,Plastics and articles thereof,N/A,0.0,21171.0
M,608,PHL,170,COL,17,Sugars and sugar confectionery,N/A,0.0,155758.0
M,608,PHL,170,COL,21,Miscellaneous edible preparations,N/A,0.0,15879.0
M,608,PHL,170,COL,23,"Food industries, residues and wastes thereof; prepared animal fodder",N/A,0.0,264994.0
M,608,PHL,170,COL,24,Tobacco and manufactured tobacco substitutes,N/A,0.0,4318.0
M,608,PHL,170,COL,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",N/A,0.0,97000.0
M,608,PHL,170,COL,38,Chemical products n.e.c.,N/A,0.0,4975981.0
M,608,PHL,170,COL,39,Plastics and articles thereof,N/A,0.0,68459.0
M,608,PHL,170,COL,40,Rubber and articles thereof,N/A,0.0,2800.0
M,608,PHL,170,COL,72,Iron and steel,N/A,0.0,1364.0
M,608,PHL,170,COL,96,Miscellaneous manufactured articles,N/A,0.0,171490.0
M,608,PHL,178,COG,38,Chemical products n.e.c.,N/A,0.0,63.0
M,608,PHL,188,CRI,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",N/A,0.0,1160975.0
M,608,PHL,188,CRI,21,Miscellaneous edible preparations,N/A,0.0,31075.0
M,608,PHL,188,CRI,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",N/A,0.0,2446.0
M,608,PHL,188,CRI,38,Chemical products n.e.c.,N/A,0.0,2400480.0
M,608,PHL,188,CRI,39,Plastics and articles thereof,N/A,0.0,118241.0
M,608,PHL,188,CRI,74,Copper and articles thereof,N/A,0.0,967.0
M,608,PHL,191,HRV,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,N/A,0.0,223284.0
M,608,PHL,191,HRV,21,Miscellaneous edible preparations,N/A,0.0,863100.0
M,608,PHL,191,HRV,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",N/A,0.0,45511.0
M,608,PHL,191,HRV,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",N/A,0.0,86.0
M,608,PHL,208,DNK,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,N/A,0.0,315941.0
M,608,PHL,208,DNK,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",N/A,0.0,1415588.0
M,608,PHL,208,DNK,17,Sugars and sugar confectionery,N/A,0.0,2007930.0
M,608,PHL,208,DNK,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",N/A,0.0,371085.0
M,608,PHL,208,DNK,21,Miscellaneous edible preparations,N/A,0.0,829891.0
