flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,608,PHL,0,W00,05,Animal originated products; not elsewhere specified or included,N/A,,3650010.0
X,608,PHL,0,W00,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",N/A,,2381613.0
X,608,PHL,0,W00,07,Vegetables and certain roots and tubers; edible,N/A,,30511909.0
X,608,PHL,0,W00,08,"Fruit and nuts, edible; peel of citrus fruit or melons",N/A,,518637482.0
X,608,PHL,0,W00,09,"Coffee, tea, mate and spices",N/A,,912170.0
X,608,PHL,0,W00,10,Cereals,N/A,,9914914.0
X,608,PHL,0,W00,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",N/A,,922627.0
X,608,PHL,0,W00,13,"Lac; gums, resins and other vegetable saps and extracts",N/A,,47737868.0
X,608,PHL,0,W00,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",N/A,,137281383.0
X,608,PHL,0,W00,17,Sugars and sugar confectionery,N/A,,89619400.0
X,608,PHL,0,W00,18,Cocoa and cocoa preparations,N/A,,12915567.0
X,608,PHL,0,W00,01,Animals; live,N/A,,1950154.0
X,608,PHL,0,W00,02,Meat and edible meat offal,N/A,,44993.0
X,608,PHL,0,W00,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,,291217143.0
X,608,PHL,0,W00,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,,57934116.0
X,608,PHL,0,W00,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",N/A,,58688460.0
X,608,PHL,0,W00,20,"Preparations of vegetables, fruit, nuts or other parts of plants",N/A,,222220250.0
X,608,PHL,0,W00,21,Miscellaneous edible preparations,N/A,,53120043.0
X,608,PHL,0,W00,22,"Beverages, spirits and vinegar",N/A,,59749321.0
X,608,PHL,0,W00,23,"Food industries, residues and wastes thereof; prepared animal fodder",N/A,,41793909.0
X,608,PHL,0,W00,24,Tobacco and manufactured tobacco substitutes,N/A,,59220218.0
X,608,PHL,0,W00,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",N/A,,36813049.0
X,608,PHL,0,W00,26,"Ores, slag and ash",N/A,,124857873.0
X,608,PHL,0,W00,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,N/A,,459608.0
X,608,PHL,0,W00,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,N/A,,506604445.0
X,608,PHL,0,W00,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,,28969270.0
X,608,PHL,0,W00,29,Organic chemicals,N/A,,37528242.0
X,608,PHL,0,W00,30,Pharmaceutical products,N/A,,21465956.0
X,608,PHL,0,W00,31,Fertilizers,N/A,,49762400.0
X,608,PHL,0,W00,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",N/A,,21389476.0
X,608,PHL,0,W00,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",N/A,,43221597.0
X,608,PHL,0,W00,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",N/A,,36701548.0
X,608,PHL,0,W00,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, 'dental waxes' and dental preparations with a basis of plaster",N/A,,36786468.0
X,608,PHL,0,W00,35,Albuminoidal substances; modified starches; glues; enzymes,N/A,,5561824.0
X,608,PHL,0,W00,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,,564798766.0
X,608,PHL,0,W00,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,N/A,,37570564.0
X,608,PHL,0,W00,37,Photographic or cinematographic goods,N/A,,213219.0
X,608,PHL,0,W00,38,Chemical products n.e.s.,N/A,,89083203.0
X,608,PHL,0,W00,39,Plastics and articles thereof,N/A,,239780359.0
X,608,PHL,0,W00,40,Rubber and articles thereof,N/A,,101112746.0
X,608,PHL,0,W00,41,Raw hides and skins (other than furskins) and leather,N/A,,4762376.0
X,608,PHL,0,W00,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",N/A,,177385565.0
X,608,PHL,0,W00,43,Furskins and artificial fur; manufactures thereof,N/A,,302337.0
X,608,PHL,0,W00,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,N/A,,2640522.0
X,608,PHL,0,W00,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",N/A,,75187600.0
X,608,PHL,0,W00,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",N/A,,19828693.0
X,608,PHL,0,W00,50,Silk,N/A,,647701.0
X,608,PHL,0,W00,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",N/A,,3084791.0
X,608,PHL,0,W00,52,Cotton,N/A,,36246311.0
X,608,PHL,0,W00,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,N/A,,12176200.0
X,608,PHL,0,W00,54,Man-made filaments,N/A,,40275598.0
X,608,PHL,0,W00,55,Man-made staple fibres,N/A,,41599122.0
X,608,PHL,0,W00,44,Wood and articles of wood; wood charcoal,N/A,,165380150.0
X,608,PHL,0,W00,45,Cork and articles of cork,N/A,,60032.0
X,608,PHL,0,W00,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",N/A,,77411756.0
X,608,PHL,0,W00,57,Carpets and other textile floor coverings,N/A,,4798323.0
X,608,PHL,0,W00,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",N/A,,33218759.0
X,608,PHL,0,W00,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",N/A,,407419.0
X,608,PHL,0,W00,60,Fabrics; knitted or crocheted,N/A,,13733595.0
X,608,PHL,0,W00,61,Apparel and clothing accessories; knitted or crocheted,N/A,,764270423.0
X,608,PHL,0,W00,62,Apparel and clothing accessories; not knitted or crocheted,N/A,,1446941401.0
X,608,PHL,0,W00,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",N/A,,46726549.0
X,608,PHL,0,W00,64,Footwear; gaiters and the like; parts of such articles,N/A,,46376675.0
X,608,PHL,0,W00,65,Headgear and parts thereof,N/A,,17129224.0
X,608,PHL,0,W00,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",N/A,,279746.0
X,608,PHL,0,W00,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",N/A,,20357829.0
X,608,PHL,0,W00,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",N/A,,22080164.0
X,608,PHL,0,W00,69,Ceramic products,N/A,,53790035.0
X,608,PHL,0,W00,70,Glass and glassware,N/A,,90344001.0
X,608,PHL,0,W00,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",N/A,,200594556.0
X,608,PHL,0,W00,72,Iron and steel,N/A,,74494098.0
X,608,PHL,0,W00,73,Iron or steel articles,N/A,,69942048.0
X,608,PHL,0,W00,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",N/A,,56027911.0
X,608,PHL,0,W00,74,Copper and articles thereof,N/A,,348295672.0
X,608,PHL,0,W00,75,Nickel and articles thereof,N/A,,53286.0
X,608,PHL,0,W00,76,Aluminium and articles thereof,N/A,,36831467.0
X,608,PHL,0,W00,78,Lead and articles thereof,N/A,,1448632.0
X,608,PHL,0,W00,79,Zinc and articles thereof,N/A,,1328458.0
X,608,PHL,0,W00,80,Tin; articles thereof,N/A,,4951878.0
X,608,PHL,0,W00,81,"Metals; n.e.s., cermets and articles thereof",N/A,,35930755.0
X,608,PHL,0,W00,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",N/A,,18171031.0
X,608,PHL,0,W00,83,Metal; miscellaneous products of base metal,N/A,,38586614.0
X,608,PHL,0,W00,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",N/A,,30057535.0
X,608,PHL,0,W00,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,1166979731.0
X,608,PHL,0,W00,88,"Aircraft, spacecraft and parts thereof",N/A,,85274376.0
X,608,PHL,0,W00,89,"Ships, boats and floating structures",N/A,,35789796.0
X,608,PHL,0,W00,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,,730724383.0
X,608,PHL,0,W00,91,Clocks and watches and parts thereof,N/A,,145701382.0
X,608,PHL,16,ASM,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",N/A,,798.0
X,608,PHL,16,ASM,17,Sugars and sugar confectionery,N/A,,6276.0
X,608,PHL,0,W00,92,Musical instruments; parts and accessories of such articles,N/A,,550597.0
X,608,PHL,0,W00,93,Arms and ammunition; parts and accessories thereof,N/A,,7365759.0
X,608,PHL,0,W00,95,"Toys, games and sports requisites; parts and accessories thereof",N/A,,112758153.0
X,608,PHL,0,W00,96,Miscellaneous manufactured articles,N/A,,35552877.0
