flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,608,PHL,4,AFG,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,128437.0
X,608,PHL,12,DZA,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,414.0
X,608,PHL,16,ASM,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1680.0
X,608,PHL,8,ALB,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,5100.0
X,608,PHL,24,AGO,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,990.0
X,608,PHL,28,ATG,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,12319.0
X,608,PHL,32,ARG,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,250758.0
X,608,PHL,36,AUS,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1738481.0
X,608,PHL,40,AUT,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,17731.0
X,608,PHL,50,BGD,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,8359.0
X,608,PHL,44,BHS,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,2975.0
X,608,PHL,48,BHR,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,20530.0
X,608,PHL,51,ARM,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1000.0
X,608,PHL,52,BRB,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,50.0
X,608,PHL,56,BEL,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,26127.0
X,608,PHL,72,BWA,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,10117.0
X,608,PHL,68,BOL,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,40.0
X,608,PHL,64,BTN,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1020.0
X,608,PHL,60,BMU,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1534.0
X,608,PHL,76,BRA,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,4611.0
X,608,PHL,92,VGB,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,800.0
X,608,PHL,96,BRN,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,43477.0
X,608,PHL,100,BGR,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1000.0
X,608,PHL,104,MMR,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,117547.0
X,608,PHL,116,KHM,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,42611.0
X,608,PHL,120,CMR,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,200.0
X,608,PHL,124,CAN,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,8387744.0
X,608,PHL,136,CYM,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1616.0
X,608,PHL,140,CAF,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,420.0
X,608,PHL,144,LKA,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1277.0
X,608,PHL,152,CHL,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,57514.0
X,608,PHL,156,CHN,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1953039.0
X,608,PHL,170,COL,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,12748.0
X,608,PHL,196,CYP,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,6130.0
X,608,PHL,203,CZE,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,51264.0
X,608,PHL,178,COG,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,3350.0
X,608,PHL,188,CRI,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,8735.0
X,608,PHL,191,HRV,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,58.0
X,608,PHL,184,COK,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,926.0
X,608,PHL,208,DNK,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,23542.0
X,608,PHL,214,DOM,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,477.0
X,608,PHL,218,ECU,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,25.0
X,608,PHL,226,GNQ,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,30.0
X,608,PHL,233,EST,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,140.0
X,608,PHL,242,FJI,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,27969.0
X,608,PHL,246,FIN,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,50149.0
X,608,PHL,251,FRA,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,8550112.0
X,608,PHL,258,PYF,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,8767.0
X,608,PHL,262,DJI,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1845.0
X,608,PHL,266,GAB,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1749.0
X,608,PHL,268,GEO,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1465.0
X,608,PHL,270,GMB,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,140.0
X,608,PHL,276,DEU,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,14440034.0
X,608,PHL,288,GHA,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,12438.0
X,608,PHL,296,KIR,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,2501.0
X,608,PHL,300,GRC,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1391.0
X,608,PHL,316,GUM,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,304649.0
X,608,PHL,320,GTM,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,95.0
X,608,PHL,328,GUY,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1315.0
X,608,PHL,340,HND,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,161.0
X,608,PHL,344,HKG,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,8364802.0
X,608,PHL,348,HUN,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,17884.0
X,608,PHL,352,ISL,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,1169.0
X,608,PHL,360,IDN,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,115550.0
X,608,PHL,364,IRN,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,14441.0
X,608,PHL,368,IRQ,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,350.0
X,608,PHL,372,IRL,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,3911.0
