flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,682,SAU,480,MUS,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,748,SWZ,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,320,GTM,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,372,IRL,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,300,GRC,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,414,KWT,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,710,ZAF,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,634,QAT,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,646,RWA,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,807,MKD,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,344,HKG,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,90,SLB,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,490,S19,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,498,MDA,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,659,KNA,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,251,FRA,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,608,PHL,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,76,BRA,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,524,NPL,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,332,HTI,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,340,HND,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,899,_X ,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,660,AIA,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,568,E19,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,404,KEN,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,792,TUR,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,540,NCL,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,96,BRN,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,222,SLV,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,548,VUT,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,854,BFA,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,86,IOT,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,191,HRV,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,336,VAT,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,388,JAM,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,800,UGA,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,600,PRY,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,324,GIN,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,834,TZA,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,760,SYR,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,275,PSE,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,826,GBR,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,454,MWI,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,446,MAC,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,180,COD,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,56,BEL,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,0,W00,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,688,SRB,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,50,BGD,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,368,IRQ,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,702,SGP,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,242,FJI,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,496,MNG,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,148,TCD,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,268,GEO,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,804,UKR,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,466,MLI,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,616,POL,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,60,BMU,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,328,GUY,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,384,CIV,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,170,COL,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,586,PAK,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,44,BHS,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,417,KGZ,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,894,ZMB,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,204,BEN,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,728,SSD,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,764,THA,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,788,TUN,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,528,NLD,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,72,BWA,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,70,BIH,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,214,DOM,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,192,CUB,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,48,BHR,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,392,JPN,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,604,PER,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,422,LBN,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,470,MLT,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,620,PRT,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,430,LBR,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,512,OMN,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,654,SHN,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,380,ITA,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,699,IND,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,178,COG,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,8,ALB,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,858,URY,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,462,MDV,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,288,GHA,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,591,PAN,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,400,JOR,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,442,LUX,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,757,CHE,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,450,MDG,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,334,HMD,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,116,KHM,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,499,MNE,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,566,NGA,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,516,NAM,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,752,SWE,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,579,NOR,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,484,MEX,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,434,LBY,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,690,SYC,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,348,HUN,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,68,BOL,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,16,ASM,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,706,SOM,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,776,TON,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,508,MOZ,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,112,BLR,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,795,TKM,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,316,GUM,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,642,ROU,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,108,BDI,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,24,AGO,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,270,GMB,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,124,CAN,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,31,AZE,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,266,GAB,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,276,DEU,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,188,CRI,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,882,WSM,99,Commodities not specified according to kind,N/A,0.0,
M,682,SAU,768,TGO,99,Commodities not specified according to kind,N/A,0.0,
