flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,682,SAU,4,AFG,99,Commodities not specified according to kind,N/A,0.0,124975.23
X,682,SAU,0,W00,99,Commodities not specified according to kind,N/A,0.0,348690949.214
X,682,SAU,32,ARG,99,Commodities not specified according to kind,N/A,0.0,130417.898
X,682,SAU,8,ALB,99,Commodities not specified according to kind,N/A,0.0,192350.446
X,682,SAU,40,AUT,99,Commodities not specified according to kind,N/A,0.0,132313.631
X,682,SAU,12,DZA,99,Commodities not specified according to kind,N/A,0.0,822642.062
X,682,SAU,24,AGO,99,Commodities not specified according to kind,N/A,0.0,120640.829
X,682,SAU,31,AZE,99,Commodities not specified according to kind,N/A,0.0,57212.547
X,682,SAU,36,AUS,99,Commodities not specified according to kind,N/A,0.0,1509093.958
X,682,SAU,48,BHR,99,Commodities not specified according to kind,N/A,0.0,16974933.365
X,682,SAU,50,BGD,99,Commodities not specified according to kind,N/A,0.0,2661465.699
X,682,SAU,51,ARM,99,Commodities not specified according to kind,N/A,0.0,29194.94
X,682,SAU,52,BRB,99,Commodities not specified according to kind,N/A,0.0,1466.667
X,682,SAU,56,BEL,99,Commodities not specified according to kind,N/A,0.0,3572524.048
X,682,SAU,64,BTN,99,Commodities not specified according to kind,N/A,0.0,3040.001
X,682,SAU,68,BOL,99,Commodities not specified according to kind,N/A,0.0,60944.281
X,682,SAU,70,BIH,99,Commodities not specified according to kind,N/A,0.0,151638.436
X,682,SAU,72,BWA,99,Commodities not specified according to kind,N/A,0.0,54119.48
X,682,SAU,74,BVT,99,Commodities not specified according to kind,N/A,0.0,533.333
X,682,SAU,76,BRA,99,Commodities not specified according to kind,N/A,0.0,837816.732
X,682,SAU,86,IOT,99,Commodities not specified according to kind,N/A,0.0,266.667
X,682,SAU,90,SLB,99,Commodities not specified according to kind,N/A,0.0,11666.669
X,682,SAU,96,BRN,99,Commodities not specified according to kind,N/A,0.0,189968.845
X,682,SAU,100,BGR,99,Commodities not specified according to kind,N/A,0.0,123325.896
X,682,SAU,104,MMR,99,Commodities not specified according to kind,N/A,0.0,103581.891
X,682,SAU,108,BDI,99,Commodities not specified according to kind,N/A,0.0,109348.026
X,682,SAU,112,BLR,99,Commodities not specified according to kind,N/A,0.0,40872.01
X,682,SAU,116,KHM,99,Commodities not specified according to kind,N/A,0.0,40615.476
X,682,SAU,120,CMR,99,Commodities not specified according to kind,N/A,0.0,804073.258
X,682,SAU,124,CAN,99,Commodities not specified according to kind,N/A,0.0,1267321.901
X,682,SAU,140,CAF,99,Commodities not specified according to kind,N/A,0.0,3466.667
X,682,SAU,144,LKA,99,Commodities not specified according to kind,N/A,0.0,3843730.78
X,682,SAU,148,TCD,99,Commodities not specified according to kind,N/A,0.0,613853.479
X,682,SAU,152,CHL,99,Commodities not specified according to kind,N/A,0.0,55676.013
X,682,SAU,156,CHN,99,Commodities not specified according to kind,N/A,0.0,2044518.352
X,682,SAU,170,COL,99,Commodities not specified according to kind,N/A,0.0,216613.918
X,682,SAU,174,COM,99,Commodities not specified according to kind,N/A,0.0,353580.351
X,682,SAU,178,COG,99,Commodities not specified according to kind,N/A,0.0,14288.003
X,682,SAU,180,COD,99,Commodities not specified according to kind,N/A,0.0,190210.179
X,682,SAU,188,CRI,99,Commodities not specified according to kind,N/A,0.0,40797.343
X,682,SAU,191,HRV,99,Commodities not specified according to kind,N/A,0.0,37765.076
X,682,SAU,192,CUB,99,Commodities not specified according to kind,N/A,0.0,65373.882
X,682,SAU,196,CYP,99,Commodities not specified according to kind,N/A,0.0,346351.282
X,682,SAU,203,CZE,99,Commodities not specified according to kind,N/A,0.0,175261.375
X,682,SAU,204,BEN,99,Commodities not specified according to kind,N/A,0.0,526392.925
X,682,SAU,208,DNK,99,Commodities not specified according to kind,N/A,0.0,432390.769
X,682,SAU,212,DMA,99,Commodities not specified according to kind,N/A,0.0,35405.875
X,682,SAU,214,DOM,99,Commodities not specified according to kind,N/A,0.0,9344.802
