flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,702,SGP,4,AFG,09,"Coffee, tea, mate and spices",N/A,,
M,702,SGP,4,AFG,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",N/A,,
M,702,SGP,4,AFG,22,"Beverages, spirits and vinegar",N/A,,
M,702,SGP,4,AFG,57,Carpets and other textile floor coverings,N/A,,
M,702,SGP,4,AFG,72,Iron and steel,N/A,,
M,702,SGP,4,AFG,73,Iron or steel articles,N/A,,
M,702,SGP,4,AFG,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,,
M,702,SGP,4,AFG,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",N/A,,
M,702,SGP,4,AFG,96,Miscellaneous manufactured articles,N/A,,
M,702,SGP,12,DZA,22,"Beverages, spirits and vinegar",N/A,,
M,702,SGP,12,DZA,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,,
M,702,SGP,12,DZA,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,,
M,702,SGP,24,AGO,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",N/A,,
M,702,SGP,24,AGO,73,Iron or steel articles,N/A,,
M,702,SGP,24,AGO,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",N/A,,
M,702,SGP,24,AGO,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,,
M,702,SGP,24,AGO,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,,
M,702,SGP,28,ATG,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",N/A,,
M,702,SGP,28,ATG,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",N/A,,
M,702,SGP,28,ATG,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",N/A,,
M,702,SGP,32,ARG,01,Animals; live,N/A,,
M,702,SGP,32,ARG,02,Meat and edible meat offal,N/A,,
M,702,SGP,32,ARG,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,,
M,702,SGP,32,ARG,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,,
M,702,SGP,32,ARG,08,"Fruit and nuts, edible; peel of citrus fruit or melons",N/A,,
M,702,SGP,32,ARG,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,N/A,,
M,702,SGP,32,ARG,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",N/A,,
M,702,SGP,32,ARG,91,Clocks and watches and parts thereof,N/A,,
M,702,SGP,32,ARG,24,Tobacco and manufactured tobacco substitutes,N/A,,
M,702,SGP,32,ARG,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,,
M,702,SGP,32,ARG,29,Organic chemicals,N/A,,
M,702,SGP,32,ARG,30,Pharmaceutical products,N/A,,
M,702,SGP,32,ARG,31,Fertilizers,N/A,,
M,702,SGP,32,ARG,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",N/A,,
M,702,SGP,32,ARG,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",N/A,,
M,702,SGP,32,ARG,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",N/A,,
M,702,SGP,32,ARG,35,Albuminoidal substances; modified starches; glues; enzymes,N/A,,
M,702,SGP,32,ARG,37,Photographic or cinematographic goods,N/A,,
M,702,SGP,32,ARG,38,Chemical products n.e.s.,N/A,,
M,702,SGP,32,ARG,39,Plastics and articles thereof,N/A,,
M,702,SGP,32,ARG,40,Rubber and articles thereof,N/A,,
M,702,SGP,32,ARG,41,Raw hides and skins (other than furskins) and leather,N/A,,
M,702,SGP,32,ARG,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",N/A,,
M,702,SGP,32,ARG,44,Wood and articles of wood; wood charcoal,N/A,,
M,702,SGP,32,ARG,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",N/A,,
M,702,SGP,32,ARG,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",N/A,,
M,702,SGP,32,ARG,54,Man-made filaments,N/A,,
M,702,SGP,32,ARG,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",N/A,,
M,702,SGP,32,ARG,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",N/A,,
M,702,SGP,32,ARG,61,Apparel and clothing accessories; knitted or crocheted,N/A,,
M,702,SGP,32,ARG,62,Apparel and clothing accessories; not knitted or crocheted,N/A,,
M,702,SGP,32,ARG,64,Footwear; gaiters and the like; parts of such articles,N/A,,
M,702,SGP,32,ARG,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",N/A,,
M,702,SGP,32,ARG,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",N/A,,
M,702,SGP,32,ARG,69,Ceramic products,N/A,,
M,702,SGP,32,ARG,70,Glass and glassware,N/A,,
M,702,SGP,32,ARG,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",N/A,,
M,702,SGP,32,ARG,72,Iron and steel,N/A,,
M,702,SGP,32,ARG,73,Iron or steel articles,N/A,,
M,702,SGP,32,ARG,76,Aluminium and articles thereof,N/A,,
M,702,SGP,32,ARG,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",N/A,,
M,702,SGP,32,ARG,83,Metal; miscellaneous products of base metal,N/A,,
M,702,SGP,32,ARG,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,,
M,702,SGP,32,ARG,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",N/A,,
M,702,SGP,32,ARG,88,"Aircraft, spacecraft and parts thereof",N/A,,
M,702,SGP,32,ARG,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,,
M,702,SGP,32,ARG,17,Sugars and sugar confectionery,N/A,,
M,702,SGP,32,ARG,18,Cocoa and cocoa preparations,N/A,,
M,702,SGP,32,ARG,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",N/A,,
M,702,SGP,32,ARG,22,"Beverages, spirits and vinegar",N/A,,
M,702,SGP,32,ARG,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.s.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",N/A,,
M,702,SGP,32,ARG,95,"Toys, games and sports requisites; parts and accessories thereof",N/A,,
M,702,SGP,32,ARG,96,Miscellaneous manufactured articles,N/A,,
M,702,SGP,32,ARG,97,Works of art; collectors' pieces and antiques,N/A,,
M,702,SGP,32,ARG,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,,
M,702,SGP,40,AUT,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,,
M,702,SGP,40,AUT,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,,
M,702,SGP,40,AUT,09,"Coffee, tea, mate and spices",N/A,,
M,702,SGP,40,AUT,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",N/A,,
M,702,SGP,40,AUT,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",N/A,,
M,702,SGP,40,AUT,13,"Lac; gums, resins and other vegetable saps and extracts",N/A,,
