flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,222,SLV,380,ITA,01,Animals; live,N/A,0.0,57102.0
X,222,SLV,528,NLD,01,Animals; live,N/A,0.0,12000.0
X,222,SLV,826,GBR,01,Animals; live,N/A,0.0,30714.45
X,222,SLV,392,JPN,01,Animals; live,N/A,0.0,11200.0
X,222,SLV,558,NIC,01,Animals; live,N/A,0.0,480735.0
X,222,SLV,344,HKG,01,Animals; live,N/A,0.0,85301.0
X,222,SLV,340,HND,01,Animals; live,N/A,0.0,1316212.0
X,222,SLV,320,GTM,01,Animals; live,N/A,0.0,3546686.28
X,222,SLV,360,IDN,01,Animals; live,N/A,0.0,8000.0
X,222,SLV,620,PRT,01,Animals; live,N/A,0.0,11250.0
X,222,SLV,792,TUR,01,Animals; live,N/A,0.0,22300.0
X,222,SLV,0,W00,01,Animals; live,N/A,0.0,7270835.33
X,222,SLV,276,DEU,01,Animals; live,N/A,0.0,18200.0
X,222,SLV,124,CAN,01,Animals; live,N/A,0.0,42349.03
X,222,SLV,490,S19,01,Animals; live,N/A,0.0,6050.0
X,222,SLV,724,ESP,01,Animals; live,N/A,0.0,87300.0
X,222,SLV,784,ARE,01,Animals; live,N/A,0.0,4500.0
X,222,SLV,458,MYS,01,Animals; live,N/A,0.0,13550.0
X,222,SLV,300,GRC,01,Animals; live,N/A,0.0,33557.5
X,222,SLV,410,KOR,01,Animals; live,N/A,0.0,61053.0
X,222,SLV,752,SWE,01,Animals; live,N/A,0.0,3500.0
X,222,SLV,842,USA,01,Animals; live,N/A,0.0,903063.57
X,222,SLV,251,FRA,01,Animals; live,N/A,0.0,8700.0
X,222,SLV,400,JOR,01,Animals; live,N/A,0.0,2250.0
X,222,SLV,643,RUS,01,Animals; live,N/A,0.0,10000.0
X,222,SLV,616,POL,01,Animals; live,N/A,0.0,2500.0
X,222,SLV,203,CZE,01,Animals; live,N/A,0.0,4500.0
X,222,SLV,484,MEX,01,Animals; live,N/A,0.0,488261.5
X,222,SLV,704,VNM,02,Meat and edible meat offal,N/A,0.0,89942.4
X,222,SLV,842,USA,02,Meat and edible meat offal,N/A,0.0,200.0
X,222,SLV,344,HKG,02,Meat and edible meat offal,N/A,0.0,348407.18
X,222,SLV,0,W00,02,Meat and edible meat offal,N/A,0.0,6183978.0
X,222,SLV,340,HND,02,Meat and edible meat offal,N/A,0.0,899682.92
X,222,SLV,591,PAN,02,Meat and edible meat offal,N/A,0.0,3341.85
X,222,SLV,320,GTM,02,Meat and edible meat offal,N/A,0.0,4842403.65
X,222,SLV,56,BEL,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,42530.0
X,222,SLV,320,GTM,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,45224.21
X,222,SLV,0,W00,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,17917573.56
X,222,SLV,591,PAN,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,2116.53
X,222,SLV,842,USA,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,13634614.52
X,222,SLV,340,HND,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,77425.2
X,222,SLV,124,CAN,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,1357.46
X,222,SLV,764,THA,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,2842577.43
X,222,SLV,344,HKG,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,1271728.21
X,222,SLV,558,NIC,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,0.0,120122.59
X,222,SLV,591,PAN,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,0.0,560.85
X,222,SLV,842,USA,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,0.0,995632.02
