flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,740,SUR,528,NLD,72,Iron and steel,N/A,0.0,
M,740,SUR,528,NLD,99,Commodities not specified according to kind,N/A,0.0,
M,740,SUR,780,TTO,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,N/A,0.0,
M,740,SUR,842,USA,55,Man-made staple fibres,N/A,0.0,
M,740,SUR,826,GBR,99,Commodities not specified according to kind,N/A,0.0,
M,740,SUR,76,BRA,72,Iron and steel,N/A,0.0,
M,740,SUR,710,ZAF,35,Albuminoidal substances; modified starches; glues; enzymes,N/A,0.0,
M,740,SUR,328,GUY,09,"Coffee, tea, mate and spices",N/A,0.0,
M,740,SUR,826,GBR,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",N/A,0.0,
M,740,SUR,36,AUS,99,Commodities not specified according to kind,N/A,0.0,
M,740,SUR,702,SGP,38,Chemical products n.e.c.,N/A,0.0,
M,740,SUR,842,USA,61,Apparel and clothing accessories; knitted or crocheted,N/A,0.0,
M,740,SUR,56,BEL,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,
M,740,SUR,440,LTU,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,
M,740,SUR,360,IDN,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,
M,740,SUR,300,GRC,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,
M,740,SUR,0,W00,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,
M,740,SUR,392,JPN,38,Chemical products n.e.c.,N/A,0.0,
M,740,SUR,344,HKG,38,Chemical products n.e.c.,N/A,0.0,
M,740,SUR,76,BRA,64,Footwear; gaiters and the like; parts of such articles,N/A,0.0,
M,740,SUR,531,CUW,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,
M,740,SUR,484,MEX,21,Miscellaneous edible preparations,N/A,0.0,
M,740,SUR,188,CRI,21,Miscellaneous edible preparations,N/A,0.0,
M,740,SUR,328,GUY,21,Miscellaneous edible preparations,N/A,0.0,
M,740,SUR,764,THA,61,Apparel and clothing accessories; knitted or crocheted,N/A,0.0,
M,740,SUR,188,CRI,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",N/A,0.0,
M,740,SUR,36,AUS,38,Chemical products n.e.c.,N/A,0.0,
M,740,SUR,56,BEL,18,Cocoa and cocoa preparations,N/A,0.0,
M,740,SUR,410,KOR,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,
M,740,SUR,380,ITA,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,
M,740,SUR,724,ESP,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,
M,740,SUR,699,IND,21,Miscellaneous edible preparations,N/A,0.0,
M,740,SUR,591,PAN,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,
M,740,SUR,842,USA,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,
M,740,SUR,152,CHL,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,
M,740,SUR,608,PHL,38,Chemical products n.e.c.,N/A,0.0,
M,740,SUR,251,FRA,21,Miscellaneous edible preparations,N/A,0.0,
M,740,SUR,796,TCA,61,Apparel and clothing accessories; knitted or crocheted,N/A,0.0,
M,740,SUR,748,SWZ,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,
M,740,SUR,528,NLD,61,Apparel and clothing accessories; knitted or crocheted,N/A,0.0,
M,740,SUR,579,NOR,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,
M,740,SUR,344,HKG,44,Wood and articles of wood; wood charcoal,N/A,0.0,
M,740,SUR,344,HKG,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,
M,740,SUR,458,MYS,21,Miscellaneous edible preparations,N/A,0.0,
M,740,SUR,408,PRK,21,Miscellaneous edible preparations,N/A,0.0,
M,740,SUR,251,FRA,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,
M,740,SUR,842,USA,21,Miscellaneous edible preparations,N/A,0.0,
M,740,SUR,156,CHN,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",N/A,0.0,
M,740,SUR,208,DNK,21,Miscellaneous edible preparations,N/A,0.0,
M,740,SUR,616,POL,21,Miscellaneous edible preparations,N/A,0.0,
M,740,SUR,208,DNK,38,Chemical products n.e.c.,N/A,0.0,
M,740,SUR,208,DNK,30,Pharmaceutical products,N/A,0.0,
M,740,SUR,76,BRA,07,Vegetables and certain roots and tubers; edible,N/A,0.0,
M,740,SUR,0,W00,07,Vegetables and certain roots and tubers; edible,N/A,0.0,
M,740,SUR,276,DEU,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,0.0,
M,740,SUR,36,AUS,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,
M,740,SUR,124,CAN,10,Cereals,N/A,0.0,
M,740,SUR,212,DMA,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,0.0,
M,740,SUR,392,JPN,70,Glass and glassware,N/A,0.0,
M,740,SUR,752,SWE,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,0.0,
M,740,SUR,616,POL,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,0.0,
M,740,SUR,842,USA,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,0.0,
M,740,SUR,591,PAN,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,
M,740,SUR,724,ESP,30,Pharmaceutical products,N/A,0.0,
M,740,SUR,724,ESP,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,0.0,
M,740,SUR,702,SGP,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,0.0,
M,740,SUR,826,GBR,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,0.0,
M,740,SUR,276,DEU,70,Glass and glassware,N/A,0.0,
M,740,SUR,591,PAN,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,0.0,
M,740,SUR,156,CHN,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",N/A,0.0,
M,740,SUR,251,FRA,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,
M,740,SUR,344,HKG,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,0.0,
M,740,SUR,724,ESP,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,0.0,
M,740,SUR,699,IND,07,Vegetables and certain roots and tubers; edible,N/A,0.0,
M,740,SUR,408,PRK,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,
M,740,SUR,156,CHN,30,Pharmaceutical products,N/A,0.0,
M,740,SUR,251,FRA,10,Cereals,N/A,0.0,
M,740,SUR,36,AUS,30,Pharmaceutical products,N/A,0.0,
M,740,SUR,170,COL,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,0.0,
M,740,SUR,214,DOM,24,Tobacco and manufactured tobacco substitutes,N/A,0.0,
M,740,SUR,826,GBR,30,Pharmaceutical products,N/A,0.0,
M,740,SUR,826,GBR,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,
M,740,SUR,710,ZAF,70,Glass and glassware,N/A,0.0,
M,740,SUR,699,IND,70,Glass and glassware,N/A,0.0,
M,740,SUR,410,KOR,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,
M,740,SUR,170,COL,30,Pharmaceutical products,N/A,0.0,
M,740,SUR,32,ARG,10,Cereals,N/A,0.0,
M,740,SUR,804,UKR,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,0.0,
M,740,SUR,784,ARE,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,
M,740,SUR,792,TUR,07,Vegetables and certain roots and tubers; edible,N/A,0.0,
M,740,SUR,780,TTO,10,Cereals,N/A,0.0,
M,740,SUR,276,DEU,30,Pharmaceutical products,N/A,0.0,
M,740,SUR,136,CYM,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,0.0,
M,740,SUR,490,S19,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,
M,740,SUR,780,TTO,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,0.0,
M,740,SUR,372,IRL,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,
M,740,SUR,76,BRA,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,0.0,
M,740,SUR,528,NLD,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,
M,740,SUR,620,PRT,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,
M,740,SUR,724,ESP,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,
M,740,SUR,533,ABW,38,Chemical products n.e.c.,N/A,0.0,
M,740,SUR,716,ZWE,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,
M,740,SUR,724,ESP,44,Wood and articles of wood; wood charcoal,N/A,0.0,
M,740,SUR,208,DNK,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,
M,740,SUR,360,IDN,44,Wood and articles of wood; wood charcoal,N/A,0.0,
M,740,SUR,442,LUX,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,
M,740,SUR,764,THA,21,Miscellaneous edible preparations,N/A,0.0,
M,740,SUR,124,CAN,61,Apparel and clothing accessories; knitted or crocheted,N/A,0.0,
M,740,SUR,214,DOM,21,Miscellaneous edible preparations,N/A,0.0,
M,740,SUR,136,CYM,38,Chemical products n.e.c.,N/A,0.0,
