flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,792,TUR,344,HKG,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,0.0
M,792,TUR,344,HKG,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",N/A,0.0,0.0
M,792,TUR,344,HKG,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,0.0,0.0
M,792,TUR,348,HUN,62,Apparel and clothing accessories; not knitted or crocheted,N/A,0.0,0.0
M,792,TUR,608,PHL,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",N/A,0.0,0.0
M,792,TUR,608,PHL,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,0.0
M,792,TUR,724,ESP,60,Fabrics; knitted or crocheted,N/A,0.0,0.0
M,792,TUR,752,SWE,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,0.0
M,792,TUR,752,SWE,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,0.0,0.0
M,792,TUR,752,SWE,96,Miscellaneous manufactured articles,N/A,0.0,0.0
M,792,TUR,752,SWE,73,Iron or steel articles,N/A,0.0,0.0
M,792,TUR,752,SWE,40,Rubber and articles thereof,N/A,0.0,0.0
M,792,TUR,752,SWE,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",N/A,0.0,0.0
M,792,TUR,752,SWE,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",N/A,0.0,0.0
M,792,TUR,704,VNM,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",N/A,0.0,0.0
M,792,TUR,724,ESP,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,0.0
M,792,TUR,724,ESP,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",N/A,0.0,0.0
M,792,TUR,724,ESP,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",N/A,0.0,0.0
M,792,TUR,724,ESP,40,Rubber and articles thereof,N/A,0.0,0.0
M,792,TUR,724,ESP,83,Metal; miscellaneous products of base metal,N/A,0.0,0.0
M,792,TUR,724,ESP,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",N/A,0.0,0.0
M,792,TUR,724,ESP,39,Plastics and articles thereof,N/A,0.0,0.0
M,792,TUR,348,HUN,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,0.0
M,792,TUR,348,HUN,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,0.0,0.0
M,792,TUR,348,HUN,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",N/A,0.0,0.0
M,792,TUR,348,HUN,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",N/A,0.0,0.0
M,792,TUR,360,IDN,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",N/A,0.0,0.0
M,792,TUR,440,LTU,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",N/A,0.0,0.0
M,792,TUR,442,LUX,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",N/A,0.0,0.0
M,792,TUR,442,LUX,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,0.0
M,792,TUR,340,HND,89,"Ships, boats and floating structures",N/A,0.0,0.0
M,792,TUR,344,HKG,95,"Toys, games and sports requisites; parts and accessories thereof",N/A,0.0,0.0
M,792,TUR,344,HKG,97,Works of art; collectors' pieces and antiques,N/A,0.0,0.0
M,792,TUR,344,HKG,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",N/A,0.0,0.0
M,792,TUR,348,HUN,95,"Toys, games and sports requisites; parts and accessories thereof",N/A,0.0,0.0
M,792,TUR,554,NZL,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.s.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",N/A,0.0,0.0
M,792,TUR,554,NZL,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",N/A,0.0,0.0
M,792,TUR,554,NZL,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,0.0,0.0
M,792,TUR,558,NIC,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",N/A,0.0,0.0
M,792,TUR,580,MNP,95,"Toys, games and sports requisites; parts and accessories thereof",N/A,0.0,0.0
M,792,TUR,586,PAK,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,0.0,0.0
M,792,TUR,586,PAK,95,"Toys, games and sports requisites; parts and accessories thereof",N/A,0.0,0.0
M,792,TUR,586,PAK,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",N/A,0.0,0.0
M,792,TUR,591,PAN,89,"Ships, boats and floating structures",N/A,0.0,0.0
M,792,TUR,608,PHL,97,Works of art; collectors' pieces and antiques,N/A,0.0,0.0
M,792,TUR,608,PHL,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,0.0,0.0
M,792,TUR,608,PHL,95,"Toys, games and sports requisites; parts and accessories thereof",N/A,0.0,0.0
M,792,TUR,608,PHL,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",N/A,0.0,0.0
M,792,TUR,608,PHL,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",N/A,0.0,0.0
M,792,TUR,8,ALB,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,0.0
M,792,TUR,8,ALB,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",N/A,0.0,0.0
M,792,TUR,8,ALB,89,"Ships, boats and floating structures",N/A,0.0,0.0
M,792,TUR,12,DZA,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,0.0
M,792,TUR,31,AZE,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,0.0,0.0
M,792,TUR,724,ESP,88,"Aircraft, spacecraft and parts thereof",N/A,0.0,0.0
M,792,TUR,724,ESP,95,"Toys, games and sports requisites; parts and accessories thereof",N/A,0.0,0.0
M,792,TUR,724,ESP,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",N/A,0.0,0.0
M,792,TUR,748,SWZ,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,0.0
M,792,TUR,704,VNM,95,"Toys, games and sports requisites; parts and accessories thereof",N/A,0.0,0.0
M,792,TUR,704,VNM,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",N/A,0.0,0.0
M,792,TUR,705,SVN,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,0.0,0.0
M,792,TUR,705,SVN,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",N/A,0.0,0.0
M,792,TUR,705,SVN,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,0.0
M,792,TUR,710,ZAF,97,Works of art; collectors' pieces and antiques,N/A,0.0,0.0
M,792,TUR,710,ZAF,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,0.0
M,792,TUR,710,ZAF,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",N/A,0.0,0.0
M,792,TUR,724,ESP,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,0.0,0.0
M,792,TUR,724,ESP,97,Works of art; collectors' pieces and antiques,N/A,0.0,0.0
M,792,TUR,724,ESP,96,Miscellaneous manufactured articles,N/A,0.0,0.0
M,792,TUR,262,DJI,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,0.0
M,792,TUR,348,HUN,89,"Ships, boats and floating structures",N/A,0.0,0.0
M,792,TUR,352,ISL,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,0.0
M,792,TUR,352,ISL,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",N/A,0.0,0.0
M,792,TUR,352,ISL,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,0.0,0.0
M,792,TUR,360,IDN,92,Musical instruments; parts and accessories of such articles,N/A,0.0,0.0
M,792,TUR,360,IDN,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,0.0
M,792,TUR,360,IDN,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",N/A,0.0,0.0
M,792,TUR,360,IDN,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.s.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",N/A,0.0,0.0
M,792,TUR,364,IRN,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,0.0
M,792,TUR,364,IRN,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",N/A,0.0,0.0
M,792,TUR,422,LBN,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,0.0,0.0
M,792,TUR,422,LBN,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",N/A,0.0,0.0
M,792,TUR,422,LBN,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,0.0
M,792,TUR,422,LBN,89,"Ships, boats and floating structures",N/A,0.0,0.0
M,792,TUR,428,LVA,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",N/A,0.0,0.0
M,792,TUR,430,LBR,89,"Ships, boats and floating structures",N/A,0.0,0.0
M,792,TUR,434,LBY,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",N/A,0.0,0.0
M,792,TUR,440,LTU,97,Works of art; collectors' pieces and antiques,N/A,0.0,0.0
M,792,TUR,440,LTU,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",N/A,0.0,0.0
M,792,TUR,442,LUX,95,"Toys, games and sports requisites; parts and accessories thereof",N/A,0.0,0.0
M,792,TUR,300,GRC,26,"Ores, slag and ash",N/A,0.0,0.0
M,792,TUR,300,GRC,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",N/A,0.0,0.0
M,792,TUR,300,GRC,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",N/A,0.0,0.0
M,792,TUR,300,GRC,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",N/A,0.0,0.0
M,792,TUR,300,GRC,45,Cork and articles of cork,N/A,0.0,0.0
M,792,TUR,300,GRC,64,Footwear; gaiters and the like; parts of such articles,N/A,0.0,0.0
M,792,TUR,304,GRL,40,Rubber and articles thereof,N/A,0.0,0.0
M,792,TUR,304,GRL,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",N/A,0.0,0.0
M,792,TUR,304,GRL,43,Furskins and artificial fur; manufactures thereof,N/A,0.0,0.0
