flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,716,ZWE,0,W00,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",N/A,0.0,7851755.23
X,716,ZWE,0,W00,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",N/A,0.0,633561.03
X,716,ZWE,0,W00,05,Animal originated products; not elsewhere specified or included,N/A,0.0,38252.75
X,716,ZWE,0,W00,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",N/A,0.0,2775781.28
X,716,ZWE,0,W00,07,Vegetables and certain roots and tubers; edible,N/A,0.0,3967189.85
X,716,ZWE,0,W00,30,Pharmaceutical products,N/A,0.0,1967590.74
X,716,ZWE,0,W00,08,"Fruit and nuts, edible; peel of citrus fruit or melons",N/A,0.0,23154536.42
X,716,ZWE,0,W00,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",N/A,0.0,565321.26
X,716,ZWE,0,W00,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",N/A,0.0,192154.49
X,716,ZWE,0,W00,09,"Coffee, tea, mate and spices",N/A,0.0,24152058.41
X,716,ZWE,0,W00,10,Cereals,N/A,0.0,10167525.1
X,716,ZWE,0,W00,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,N/A,0.0,223551.41
X,716,ZWE,0,W00,37,Photographic or cinematographic goods,N/A,0.0,2314.89
X,716,ZWE,0,W00,38,Chemical products n.e.c.,N/A,0.0,2207346.84
X,716,ZWE,0,W00,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",N/A,0.0,802928.59
X,716,ZWE,0,W00,41,Raw hides and skins (other than furskins) and leather,N/A,0.0,23622585.45
X,716,ZWE,0,W00,44,Wood and articles of wood; wood charcoal,N/A,0.0,13828671.74
X,716,ZWE,0,W00,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",N/A,0.0,31709.03
X,716,ZWE,0,W00,17,Sugars and sugar confectionery,N/A,0.0,53981401.8
X,716,ZWE,0,W00,18,Cocoa and cocoa preparations,N/A,0.0,388536.84
X,716,ZWE,0,W00,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",N/A,0.0,2790466.75
X,716,ZWE,0,W00,20,"Preparations of vegetables, fruit, nuts or other parts of plants",N/A,0.0,3431646.22
X,716,ZWE,0,W00,21,Miscellaneous edible preparations,N/A,0.0,1246150.8
X,716,ZWE,0,W00,22,"Beverages, spirits and vinegar",N/A,0.0,3178329.68
X,716,ZWE,0,W00,23,"Food industries, residues and wastes thereof; prepared animal fodder",N/A,0.0,1405855.27
X,716,ZWE,0,W00,24,Tobacco and manufactured tobacco substitutes,N/A,0.0,837638517.33
X,716,ZWE,0,W00,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",N/A,0.0,48685177.94
X,716,ZWE,0,W00,01,Animals; live,N/A,0.0,2230449.67
X,716,ZWE,0,W00,02,Meat and edible meat offal,N/A,0.0,726923.86
X,716,ZWE,0,W00,26,"Ores, slag and ash",N/A,0.0,469622636.79
X,716,ZWE,0,W00,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",N/A,0.0,25379044.53
X,716,ZWE,0,W00,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",N/A,0.0,1536936.1
X,716,ZWE,0,W00,29,Organic chemicals,N/A,0.0,191395.34
X,716,ZWE,0,W00,31,Fertilizers,N/A,0.0,1966930.0
X,716,ZWE,0,W00,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",N/A,0.0,1829456.31
X,716,ZWE,0,W00,35,Albuminoidal substances; modified starches; glues; enzymes,N/A,0.0,36322.57
X,716,ZWE,0,W00,39,Plastics and articles thereof,N/A,0.0,3891035.21
X,716,ZWE,0,W00,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",N/A,0.0,6266447.37
X,716,ZWE,0,W00,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,N/A,0.0,2474790.66
X,716,ZWE,0,W00,40,Rubber and articles thereof,N/A,0.0,309137.38
X,716,ZWE,0,W00,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",N/A,0.0,192818.82
X,716,ZWE,0,W00,45,Cork and articles of cork,N/A,0.0,19242.0
X,716,ZWE,0,W00,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",N/A,0.0,7978.89
X,716,ZWE,0,W00,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,N/A,0.0,1300996.22
X,716,ZWE,0,W00,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",N/A,0.0,6467930.65
X,716,ZWE,0,W00,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",N/A,0.0,300204.39
X,716,ZWE,0,W00,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",N/A,0.0,2800.35
X,716,ZWE,0,W00,52,Cotton,N/A,0.0,34344263.34
X,716,ZWE,0,W00,54,Man-made filaments; strip and the like of man-made textile materials,N/A,0.0,137478.15
X,716,ZWE,0,W00,55,Man-made staple fibres,N/A,0.0,399081.43
X,716,ZWE,0,W00,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",N/A,0.0,1161983.38
X,716,ZWE,0,W00,57,Carpets and other textile floor coverings,N/A,0.0,5026.72
