flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,32,ARG,484,MEX,1001,Wheat and meslin,kg,80.0,
M,32,ARG,276,DEU,1002,Rye,kg,3.0,
M,32,ARG,554,NZL,1003,Barley,kg,3.0,
M,32,ARG,858,URY,1004,Oats,kg,54002.0,
M,32,ARG,604,PER,1005,Maize (corn),kg,2.0,
M,32,ARG,380,ITA,1006,Rice,kg,53776.0,
M,32,ARG,484,MEX,1007,Grain sorghum,kg,271.0,
M,32,ARG,68,BOL,1008,"Buckwheat, millet and canary seed; other cereals",kg,108377.0,
M,32,ARG,458,MYS,1401,"Vegetable materials of a kind used primarily for plaiting; (egg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,630.0,
M,32,ARG,484,MEX,1404,Vegetable products not elsewhere specified or included,kg,5500.0,
M,32,ARG,410,KOR,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,950.0,
M,32,ARG,152,CHL,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,4518774.0,
M,32,ARG,156,CHN,2003,"Mushrooms and truffles, prepared or preserved other than by vinegar or acetic acid",kg,3600583.0,
M,32,ARG,251,FRA,2004,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading no. 2006",kg,9.0,
M,32,ARG,422,LBN,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,22746.0,
M,32,ARG,484,MEX,2006,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glace or crystallised)",kg,3068.0,
M,32,ARG,764,THA,2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",kg,967.0,
M,32,ARG,422,LBN,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.c., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,13788.0,
M,32,ARG,392,JPN,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,659.0,
M,32,ARG,56,BEL,2501,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water,kg,256.0,
M,32,ARG,76,BRA,2502,Iron pyrites; unroasted,kg,33000.0,
M,32,ARG,276,DEU,2503,"Sulphur of all kinds; other than sublimed, precipitated and colloidal sulphur",kg,11000000.0,
M,32,ARG,251,FRA,2504,Graphite; natural,kg,1100.0,
M,32,ARG,757,CHE,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",kg,5.0,
M,32,ARG,724,ESP,2506,"Quartz; (other than natural sands), quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",kg,4.0,
M,32,ARG,251,FRA,2507,Kaolin and other kaolinic clays; whether or not calcined,kg,175450.0,
M,32,ARG,156,CHN,2508,"Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth",kg,208000.0,
M,32,ARG,842,USA,2509,Chalk,kg,1416317.0,
M,32,ARG,699,IND,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,kg,8.0,
M,32,ARG,156,CHN,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",kg,82021.0,
M,32,ARG,251,FRA,2512,"Siliceous fossil meals (egg kieselguhr, tripolite and diatomite) and similar siliceous earths; whether or not calcined, of an apparent specific gravity of 1 or less",kg,50.0,
M,32,ARG,380,ITA,2513,"Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat treated",kg,324.0,
