flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,76,BRA,0,W00,1001,Wheat and meslin,kg,6022230920.057,1149305760.0
M,76,BRA,32,ARG,1001,Wheat and meslin,kg,5043367500.0,957244845.0
M,76,BRA,124,CAN,1001,Wheat and meslin,kg,185320050.0,39874860.0
M,76,BRA,156,CHN,1001,Wheat and meslin,kg,400.0,2920.0
M,76,BRA,251,FRA,1001,Wheat and meslin,kg,8453420.0,1962688.0
M,76,BRA,422,LBN,1001,Wheat and meslin,kg,31732.0,36064.0
M,76,BRA,600,PRY,1001,Wheat and meslin,kg,416957740.0,70856503.0
M,76,BRA,842,USA,1001,Wheat and meslin,kg,340098778.057,74059721.0
M,76,BRA,858,URY,1001,Wheat and meslin,kg,28001300.0,5268159.0
M,76,BRA,0,W00,1002,Rye,kg,52000.0,20800.0
M,76,BRA,32,ARG,1002,Rye,kg,52000.0,20800.0
M,76,BRA,0,W00,1003,Barley,kg,602121060.0,146347020.0
M,76,BRA,32,ARG,1003,Barley,kg,525071850.0,126026180.0
M,76,BRA,156,CHN,1003,Barley,kg,1720.0,1534.0
M,76,BRA,842,USA,1003,Barley,kg,680.0,16316.0
M,76,BRA,858,URY,1003,Barley,kg,77046810.0,20302990.0
M,76,BRA,0,W00,1004,Oats,kg,505470.0,79594.0
M,76,BRA,600,PRY,1004,Oats,kg,483000.0,65205.0
M,76,BRA,724,ESP,1004,Oats,kg,350.0,141.0
M,76,BRA,842,USA,1004,Oats,kg,40.0,1022.0
M,76,BRA,858,URY,1004,Oats,kg,22080.0,13226.0
M,76,BRA,0,W00,1005,Maize (corn),kg,1324673320.819,211455916.0
M,76,BRA,32,ARG,1005,Maize (corn),kg,548441339.0,103544200.0
M,76,BRA,68,BOL,1005,Maize (corn),kg,698827.0,1571764.0
M,76,BRA,76,BRA,1005,Maize (corn),kg,80.0,1956.0
M,76,BRA,484,MEX,1005,Maize (corn),kg,295.0,7952.0
M,76,BRA,600,PRY,1005,Maize (corn),kg,774664920.0,98353013.0
M,76,BRA,724,ESP,1005,Maize (corn),kg,21500.0,59333.0
M,76,BRA,842,USA,1005,Maize (corn),kg,846359.819,7917698.0
M,76,BRA,0,W00,1006,Rice,kg,835008739.0,320278593.0
M,76,BRA,32,ARG,1006,Rice,kg,111302232.0,48181167.0
M,76,BRA,152,CHL,1006,Rice,kg,224000.0,168000.0
M,76,BRA,251,FRA,1006,Rice,kg,3906.0,8011.0
M,76,BRA,328,GUY,1006,Rice,kg,13788740.0,5278772.0
M,76,BRA,380,ITA,1006,Rice,kg,5082481.0,6491879.0
M,76,BRA,422,LBN,1006,Rice,kg,1000.0,1267.0
M,76,BRA,586,PAK,1006,Rice,kg,93854.0,171298.0
M,76,BRA,600,PRY,1006,Rice,kg,472426900.0,163813961.0
M,76,BRA,620,PRT,1006,Rice,kg,10026.0,9224.0
M,76,BRA,642,ROU,1006,Rice,kg,420.0,1009.0
M,76,BRA,699,IND,1006,Rice,kg,164400.0,103727.0
M,76,BRA,704,VNM,1006,Rice,kg,553340.0,262793.0
M,76,BRA,724,ESP,1006,Rice,kg,21240.0,45860.0
M,76,BRA,740,SUR,1006,Rice,kg,13164220.0,5327619.0
M,76,BRA,764,THA,1006,Rice,kg,590861.0,214453.0
M,76,BRA,842,USA,1006,Rice,kg,63842.0,225490.0
M,76,BRA,858,URY,1006,Rice,kg,217517277.0,89974063.0
M,76,BRA,0,W00,1007,Grain sorghum,kg,123800.0,235848.0
M,76,BRA,32,ARG,1007,Grain sorghum,kg,115300.0,143798.0
M,76,BRA,36,AUS,1007,Grain sorghum,kg,500.0,59510.0
M,76,BRA,68,BOL,1007,Grain sorghum,kg,8000.0,32540.0
M,76,BRA,0,W00,1008,"Buckwheat, millet and canary seeds; other cereals",kg,37666456.0,20883916.0
M,76,BRA,32,ARG,1008,"Buckwheat, millet and canary seeds; other cereals",kg,23105764.0,12257658.0
M,76,BRA,68,BOL,1008,"Buckwheat, millet and canary seeds; other cereals",kg,212140.0,540272.0
M,76,BRA,100,BGR,1008,"Buckwheat, millet and canary seeds; other cereals",kg,1426075.0,450050.0
M,76,BRA,124,CAN,1008,"Buckwheat, millet and canary seeds; other cereals",kg,8229344.0,3764220.0
M,76,BRA,156,CHN,1008,"Buckwheat, millet and canary seeds; other cereals",kg,1255075.0,737793.0
M,76,BRA,380,ITA,1008,"Buckwheat, millet and canary seeds; other cereals",kg,292.0,1599.0
M,76,BRA,528,NLD,1008,"Buckwheat, millet and canary seeds; other cereals",kg,37890.0,22803.0
M,76,BRA,604,PER,1008,"Buckwheat, millet and canary seeds; other cereals",kg,1092916.0,2108636.0
M,76,BRA,643,RUS,1008,"Buckwheat, millet and canary seeds; other cereals",kg,690000.0,185921.0
M,76,BRA,699,IND,1008,"Buckwheat, millet and canary seeds; other cereals",kg,250.0,633.0
M,76,BRA,792,TUR,1008,"Buckwheat, millet and canary seeds; other cereals",kg,276000.0,76901.0
M,76,BRA,804,UKR,1008,"Buckwheat, millet and canary seeds; other cereals",kg,611500.0,156736.0
M,76,BRA,842,USA,1008,"Buckwheat, millet and canary seeds; other cereals",kg,729210.0,580694.0
M,76,BRA,0,W00,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,224239.173,462986.0
M,76,BRA,40,AUT,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,12.058,79.0
M,76,BRA,76,BRA,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,103.429,12254.0
M,76,BRA,156,CHN,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,213181.0,395824.0
M,76,BRA,251,FRA,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,132.058,2379.0
M,76,BRA,344,HKG,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,1400.0,3104.0
M,76,BRA,360,IDN,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,165.0,1099.0
M,76,BRA,380,ITA,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,8.235,778.0
M,76,BRA,450,MDG,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,8500.0,13199.0
M,76,BRA,702,SGP,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,610.0,20740.0
M,76,BRA,826,GBR,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,7.687,50.0
