flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,124,CAN,0,W00,1001,Wheat and meslin,kg,105710847.0,16600079.0
M,124,CAN,12,DZA,1001,Wheat and meslin,kg,133000.0,70193.0
M,124,CAN,32,ARG,1001,Wheat and meslin,kg,1829.0,265.0
M,124,CAN,36,AUS,1001,Wheat and meslin,kg,22.0,14.0
M,124,CAN,40,AUT,1001,Wheat and meslin,kg,43.0,28.0
M,124,CAN,76,BRA,1001,Wheat and meslin,kg,1209.0,261.0
M,124,CAN,124,CAN,1001,Wheat and meslin,kg,295277.0,166829.0
M,124,CAN,156,CHN,1001,Wheat and meslin,kg,3000.0,240.0
M,124,CAN,251,FRA,1001,Wheat and meslin,kg,70000.0,10825.0
M,124,CAN,276,DEU,1001,Wheat and meslin,kg,1000.0,72.0
M,124,CAN,344,HKG,1001,Wheat and meslin,kg,1000.0,95.0
M,124,CAN,376,ISR,1001,Wheat and meslin,kg,1000.0,319.0
M,124,CAN,380,ITA,1001,Wheat and meslin,kg,4.0,3.0
M,124,CAN,422,LBN,1001,Wheat and meslin,kg,12000.0,6849.0
M,124,CAN,484,MEX,1001,Wheat and meslin,kg,36.0,5.0
M,124,CAN,554,NZL,1001,Wheat and meslin,kg,131240.0,90244.0
M,124,CAN,604,PER,1001,Wheat and meslin,kg,161.0,105.0
M,124,CAN,643,RUS,1001,Wheat and meslin,kg,12000.0,4072.0
M,124,CAN,710,ZAF,1001,Wheat and meslin,kg,8.0,5.0
M,124,CAN,752,SWE,1001,Wheat and meslin,kg,18.0,3.0
M,124,CAN,760,SYR,1001,Wheat and meslin,kg,1000.0,5.0
M,124,CAN,804,UKR,1001,Wheat and meslin,kg,3000.0,283.0
M,124,CAN,826,GBR,1001,Wheat and meslin,kg,1000.0,4.0
M,124,CAN,842,USA,1001,Wheat and meslin,kg,105043000.0,16249360.0
M,124,CAN,0,W00,1002,Rye,kg,583125.0,86398.0
M,124,CAN,276,DEU,1002,Rye,kg,125.0,18.0
M,124,CAN,842,USA,1002,Rye,kg,583000.0,86380.0
M,124,CAN,0,W00,1003,Barley,kg,38309128.0,8096392.0
M,124,CAN,32,ARG,1003,Barley,kg,17.0,4.0
M,124,CAN,76,BRA,1003,Barley,kg,1000.0,178.0
M,124,CAN,124,CAN,1003,Barley,kg,3000.0,634.0
M,124,CAN,156,CHN,1003,Barley,kg,24000.0,26996.0
M,124,CAN,191,HRV,1003,Barley,kg,478.0,101.0
M,124,CAN,222,SLV,1003,Barley,kg,766.0,162.0
M,124,CAN,231,ETH,1003,Barley,kg,566.0,120.0
M,124,CAN,251,FRA,1003,Barley,kg,4.0,1.0
M,124,CAN,276,DEU,1003,Barley,kg,129.0,27.0
M,124,CAN,364,IRN,1003,Barley,kg,1000.0,360.0
M,124,CAN,380,ITA,1003,Barley,kg,3266.0,523.0
M,124,CAN,392,JPN,1003,Barley,kg,3546.0,646.0
M,124,CAN,410,KOR,1003,Barley,kg,71000.0,11463.0
M,124,CAN,458,MYS,1003,Barley,kg,1000.0,407.0
M,124,CAN,490,S19,1003,Barley,kg,1079.0,344.0
M,124,CAN,554,NZL,1003,Barley,kg,270.0,57.0
M,124,CAN,604,PER,1003,Barley,kg,1776.0,375.0
M,124,CAN,616,POL,1003,Barley,kg,1535.0,324.0
M,124,CAN,643,RUS,1003,Barley,kg,2000.0,773.0
M,124,CAN,699,IND,1003,Barley,kg,2686.0,1810.0
M,124,CAN,826,GBR,1003,Barley,kg,2000.0,499.0
M,124,CAN,842,USA,1003,Barley,kg,38188000.0,8050586.0
M,124,CAN,858,URY,1003,Barley,kg,8.0,2.0
M,124,CAN,0,W00,1004,Oats,kg,16081447.0,2178743.0
M,124,CAN,76,BRA,1004,Oats,kg,532.0,72.0
M,124,CAN,124,CAN,1004,Oats,kg,174000.0,28850.0
M,124,CAN,152,CHL,1004,Oats,kg,6000.0,1005.0
M,124,CAN,156,CHN,1004,Oats,kg,172000.0,24300.0
M,124,CAN,372,IRL,1004,Oats,kg,466000.0,64841.0
M,124,CAN,388,JAM,1004,Oats,kg,49000.0,4220.0
M,124,CAN,490,S19,1004,Oats,kg,5000.0,12272.0
M,124,CAN,554,NZL,1004,Oats,kg,422.0,57.0
M,124,CAN,752,SWE,1004,Oats,kg,52.0,7.0
M,124,CAN,826,GBR,1004,Oats,kg,441.0,60.0
M,124,CAN,842,USA,1004,Oats,kg,15208000.0,2043057.0
M,124,CAN,0,W00,1005,Maize (corn),kg,1948724492.0,392166388.0
M,124,CAN,8,ALB,1005,Maize (corn),kg,28.0,4.0
M,124,CAN,16,ASM,1005,Maize (corn),kg,5000.0,65.0
M,124,CAN,32,ARG,1005,Maize (corn),kg,242000.0,123914.0
M,124,CAN,40,AUT,1005,Maize (corn),kg,35000.0,107723.0
M,124,CAN,76,BRA,1005,Maize (corn),kg,20153.0,3014.0
M,124,CAN,84,BLZ,1005,Maize (corn),kg,6.0,1.0
M,124,CAN,124,CAN,1005,Maize (corn),kg,423000.0,1007391.0
M,124,CAN,152,CHL,1005,Maize (corn),kg,2695000.0,8513109.0
M,124,CAN,156,CHN,1005,Maize (corn),kg,197000.0,28276.0
M,124,CAN,170,COL,1005,Maize (corn),kg,27000.0,4625.0
M,124,CAN,222,SLV,1005,Maize (corn),kg,4000.0,943.0
M,124,CAN,251,FRA,1005,Maize (corn),kg,96336.0,360286.0
M,124,CAN,276,DEU,1005,Maize (corn),kg,6669.0,19608.0
M,124,CAN,288,GHA,1005,Maize (corn),kg,789.0,122.0
M,124,CAN,316,GUM,1005,Maize (corn),kg,13000.0,1774.0
M,124,CAN,348,HUN,1005,Maize (corn),kg,1023.0,361.0
M,124,CAN,376,ISR,1005,Maize (corn),kg,767.0,119.0
M,124,CAN,410,KOR,1005,Maize (corn),kg,24000.0,3761.0
M,124,CAN,484,MEX,1005,Maize (corn),kg,50000.0,17222.0
M,124,CAN,528,NLD,1005,Maize (corn),kg,2000.0,536.0
M,124,CAN,554,NZL,1005,Maize (corn),kg,13000.0,41582.0
M,124,CAN,604,PER,1005,Maize (corn),kg,58000.0,25723.0
M,124,CAN,608,PHL,1005,Maize (corn),kg,1000.0,3116.0
M,124,CAN,642,ROU,1005,Maize (corn),kg,2000.0,1021.0
M,124,CAN,643,RUS,1005,Maize (corn),kg,104000.0,38690.0
M,124,CAN,699,IND,1005,Maize (corn),kg,39455.0,10742.0
M,124,CAN,704,VNM,1005,Maize (corn),kg,1000.0,1680.0
M,124,CAN,764,THA,1005,Maize (corn),kg,9000.0,4592.0
M,124,CAN,800,UGA,1005,Maize (corn),kg,398.0,62.0
M,124,CAN,807,MKD,1005,Maize (corn),kg,4000.0,12784.0
M,124,CAN,818,EGY,1005,Maize (corn),kg,2851.0,441.0
M,124,CAN,826,GBR,1005,Maize (corn),kg,1.0,4.0
M,124,CAN,842,USA,1005,Maize (corn),kg,1944635016.0,381830951.0
M,124,CAN,862,VEN,1005,Maize (corn),kg,12000.0,2145.0
M,124,CAN,0,W00,1006,Rice,kg,383124409.0,301108136.0
M,124,CAN,8,ALB,1006,Rice,kg,590.0,390.0
M,124,CAN,32,ARG,1006,Rice,kg,646000.0,424804.0
M,124,CAN,36,AUS,1006,Rice,kg,1000000.0,1028832.0
M,124,CAN,48,BHR,1006,Rice,kg,288.0,234.0
M,124,CAN,50,BGD,1006,Rice,kg,44279.0,62440.0
M,124,CAN,56,BEL,1006,Rice,kg,26000.0,25929.0
M,124,CAN,64,BTN,1006,Rice,kg,1001.0,3019.0
M,124,CAN,76,BRA,1006,Rice,kg,226235.0,174301.0
M,124,CAN,124,CAN,1006,Rice,kg,84992.0,13638.0
M,124,CAN,144,LKA,1006,Rice,kg,902000.0,871173.0
M,124,CAN,152,CHL,1006,Rice,kg,1108.0,165.0
M,124,CAN,156,CHN,1006,Rice,kg,2863522.0,810042.0
M,124,CAN,242,FJI,1006,Rice,kg,75.0,61.0
M,124,CAN,251,FRA,1006,Rice,kg,9368.0,17539.0
M,124,CAN,276,DEU,1006,Rice,kg,7009.0,14406.0
M,124,CAN,288,GHA,1006,Rice,kg,5.0,4.0
M,124,CAN,300,GRC,1006,Rice,kg,1000.0,1617.0
M,124,CAN,344,HKG,1006,Rice,kg,20000.0,26630.0
M,124,CAN,360,IDN,1006,Rice,kg,490.0,398.0
M,124,CAN,364,IRN,1006,Rice,kg,27054.0,37599.0
M,124,CAN,376,ISR,1006,Rice,kg,341718.0,3029.0
M,124,CAN,380,ITA,1006,Rice,kg,1463719.0,2352670.0
M,124,CAN,392,JPN,1006,Rice,kg,48145.0,123898.0
M,124,CAN,400,JOR,1006,Rice,kg,1000.0,785.0
M,124,CAN,410,KOR,1006,Rice,kg,22251572.0,203752.0
M,124,CAN,418,LAO,1006,Rice,kg,1174.0,955.0
M,124,CAN,422,LBN,1006,Rice,kg,10133.0,9862.0
M,124,CAN,450,MDG,1006,Rice,kg,510.0,415.0
M,124,CAN,458,MYS,1006,Rice,kg,1842.0,2374.0
M,124,CAN,484,MEX,1006,Rice,kg,92156.0,34855.0
M,124,CAN,490,S19,1006,Rice,kg,80082.0,166318.0
M,124,CAN,528,NLD,1006,Rice,kg,1069.0,70.0
M,124,CAN,566,NGA,1006,Rice,kg,12.0,10.0
M,124,CAN,586,PAK,1006,Rice,kg,8775004.0,9944433.0
M,124,CAN,608,PHL,1006,Rice,kg,2050.0,3727.0
M,124,CAN,616,POL,1006,Rice,kg,13931.0,6016.0
M,124,CAN,620,PRT,1006,Rice,kg,14000.0,17626.0
M,124,CAN,643,RUS,1006,Rice,kg,7423.0,6243.0
M,124,CAN,682,SAU,1006,Rice,kg,3155.0,917.0
M,124,CAN,699,IND,1006,Rice,kg,35754000.0,40040702.0
M,124,CAN,702,SGP,1006,Rice,kg,25000.0,26842.0
M,124,CAN,704,VNM,1006,Rice,kg,1367000.0,946119.0
M,124,CAN,710,ZAF,1006,Rice,kg,1840.0,1496.0
M,124,CAN,724,ESP,1006,Rice,kg,16122.0,31893.0
M,124,CAN,752,SWE,1006,Rice,kg,25783.0,30245.0
M,124,CAN,760,SYR,1006,Rice,kg,18.0,15.0
M,124,CAN,764,THA,1006,Rice,kg,79849000.0,72273909.0
M,124,CAN,784,ARE,1006,Rice,kg,65290.0,81266.0
M,124,CAN,792,TUR,1006,Rice,kg,33514.0,14784.0
M,124,CAN,804,UKR,1006,Rice,kg,539.0,438.0
M,124,CAN,818,EGY,1006,Rice,kg,100000.0,92429.0
M,124,CAN,826,GBR,1006,Rice,kg,2594.0,1346.0
M,124,CAN,842,USA,1006,Rice,kg,226914000.0,171175477.0
M,124,CAN,0,W00,1007,Grain sorghum,kg,4717191.0,1084523.0
M,124,CAN,156,CHN,1007,Grain sorghum,kg,2000.0,462.0
M,124,CAN,231,ETH,1007,Grain sorghum,kg,277000.0,68229.0
M,124,CAN,566,NGA,1007,Grain sorghum,kg,191.0,44.0
M,124,CAN,699,IND,1007,Grain sorghum,kg,70000.0,19508.0
M,124,CAN,842,USA,1007,Grain sorghum,kg,4368000.0,996281.0
M,124,CAN,0,W00,1008,"Buckwheat, millet and canary seed; other cereals",kg,14633271.0,9716844.0
M,124,CAN,36,AUS,1008,"Buckwheat, millet and canary seed; other cereals",kg,16860.0,18652.0
M,124,CAN,68,BOL,1008,"Buckwheat, millet and canary seed; other cereals",kg,517672.0,1879119.0
M,124,CAN,76,BRA,1008,"Buckwheat, millet and canary seed; other cereals",kg,862.0,572.0
M,124,CAN,124,CAN,1008,"Buckwheat, millet and canary seed; other cereals",kg,27370.0,21020.0
M,124,CAN,152,CHL,1008,"Buckwheat, millet and canary seed; other cereals",kg,20.0,37.0
M,124,CAN,156,CHN,1008,"Buckwheat, millet and canary seed; other cereals",kg,887077.0,473883.0
M,124,CAN,170,COL,1008,"Buckwheat, millet and canary seed; other cereals",kg,7939.0,22835.0
