flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,156,CHN,0,W00,1001,Wheat and meslin,kg,893709828.0,
M,156,CHN,36,AUS,1001,Wheat and meslin,kg,324834024.0,
M,156,CHN,124,CAN,1001,Wheat and meslin,kg,122325000.0,
M,156,CHN,398,KAZ,1001,Wheat and meslin,kg,24000.0,
M,156,CHN,484,MEX,1001,Wheat and meslin,kg,11.0,
M,156,CHN,524,NPL,1001,Wheat and meslin,kg,1.0,
M,156,CHN,826,GBR,1001,Wheat and meslin,kg,50746392.0,
M,156,CHN,842,USA,1001,Wheat and meslin,kg,395780400.0,
M,156,CHN,0,W00,1002,Rye,kg,9.0,
M,156,CHN,276,DEU,1002,Rye,kg,9.0,
M,156,CHN,0,W00,1003,Barley,kg,1738485624.0,
M,156,CHN,36,AUS,1003,Barley,kg,826245504.0,
M,156,CHN,56,BEL,1003,Barley,kg,2426354.0,
M,156,CHN,124,CAN,1003,Barley,kg,490658304.0,
M,156,CHN,208,DNK,1003,Barley,kg,2816560.0,
M,156,CHN,251,FRA,1003,Barley,kg,416338752.0,
M,156,CHN,276,DEU,1003,Barley,kg,30.0,
M,156,CHN,842,USA,1003,Barley,kg,120.0,
M,156,CHN,0,W00,1004,Oats,kg,42888081.0,
M,156,CHN,36,AUS,1004,Oats,kg,42888056.0,
M,156,CHN,490,S19,1004,Oats,kg,25.0,
M,156,CHN,0,W00,1005,Maize (corn),kg,83581768.0,
M,156,CHN,32,ARG,1005,Maize (corn),kg,3150.0,
M,156,CHN,36,AUS,1005,Maize (corn),kg,6000.0,
M,156,CHN,104,MMR,1005,Maize (corn),kg,26992800.0,
M,156,CHN,124,CAN,1005,Maize (corn),kg,1.0,
M,156,CHN,152,CHL,1005,Maize (corn),kg,22708.0,
M,156,CHN,251,FRA,1005,Maize (corn),kg,718.0,
M,156,CHN,276,DEU,1005,Maize (corn),kg,50114.0,
M,156,CHN,348,HUN,1005,Maize (corn),kg,2.0,
M,156,CHN,392,JPN,1005,Maize (corn),kg,1878.0,
M,156,CHN,408,PRK,1005,Maize (corn),kg,60000.0,
M,156,CHN,418,LAO,1005,Maize (corn),kg,39244112.0,
M,156,CHN,490,S19,1005,Maize (corn),kg,9.0,
M,156,CHN,604,PER,1005,Maize (corn),kg,194000.0,
M,156,CHN,608,PHL,1005,Maize (corn),kg,6459.0,
M,156,CHN,699,IND,1005,Maize (corn),kg,22640.0,
M,156,CHN,710,ZAF,1005,Maize (corn),kg,38.0,
M,156,CHN,716,ZWE,1005,Maize (corn),kg,182.0,
M,156,CHN,724,ESP,1005,Maize (corn),kg,45.0,
M,156,CHN,764,THA,1005,Maize (corn),kg,10850000.0,
M,156,CHN,792,TUR,1005,Maize (corn),kg,2.0,
M,156,CHN,842,USA,1005,Maize (corn),kg,6126910.0,
M,156,CHN,0,W00,1006,Rice,kg,337536706.0,
M,156,CHN,104,MMR,1006,Rice,kg,284000.0,
M,156,CHN,116,KHM,1006,Rice,kg,4950.0,
M,156,CHN,392,JPN,1006,Rice,kg,30020.0,
M,156,CHN,418,LAO,1006,Rice,kg,17049081.0,
M,156,CHN,490,S19,1006,Rice,kg,22813.0,
M,156,CHN,586,PAK,1006,Rice,kg,363886.0,
M,156,CHN,699,IND,1006,Rice,kg,4.0,
M,156,CHN,704,VNM,1006,Rice,kg,2899372.0,
M,156,CHN,764,THA,1006,Rice,kg,316882580.0,
M,156,CHN,0,W00,1007,Grain sorghum,kg,17112112.0,
M,156,CHN,36,AUS,1007,Grain sorghum,kg,575160.0,
M,156,CHN,104,MMR,1007,Grain sorghum,kg,16536000.0,
M,156,CHN,392,JPN,1007,Grain sorghum,kg,952.0,
M,156,CHN,0,W00,1008,"Buckwheat, millet and canary seed; other cereals",kg,6422864.0,
M,156,CHN,68,BOL,1008,"Buckwheat, millet and canary seed; other cereals",kg,500.0,
M,156,CHN,104,MMR,1008,"Buckwheat, millet and canary seed; other cereals",kg,22464.0,
M,156,CHN,152,CHL,1008,"Buckwheat, millet and canary seed; other cereals",kg,2.0,
M,156,CHN,276,DEU,1008,"Buckwheat, millet and canary seed; other cereals",kg,166.0,
M,156,CHN,418,LAO,1008,"Buckwheat, millet and canary seed; other cereals",kg,6279634.0,
M,156,CHN,490,S19,1008,"Buckwheat, millet and canary seed; other cereals",kg,98.0,
M,156,CHN,643,RUS,1008,"Buckwheat, millet and canary seed; other cereals",kg,120000.0,
M,156,CHN,0,W00,1401,"Vegetable materials of a kind used primarily for plaiting; (egg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,38100107.0,
