flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,724,ESP,156,CHN,2508,"Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth",kg,1449773.309,
M,724,ESP,826,GBR,2512,"Siliceous fossil meals (eg kieselguhr, tripolite and diatomite) and similar siliceous earths; whether or not calcined, of an apparent specific gravity of 1 or less",kg,12233.045,
M,724,ESP,56,BEL,2519,"Natural magnesium carbonate (magnesite); fused magnesia; dead-burned (sintered) magnesia, whether or not containing small quantities of other oxides added before sintering; magnesium oxide, pure or not",kg,1734091.548,
M,724,ESP,528,NLD,2523,"Portland cement, aluminous cement (ciment fondu), slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers",kg,21374852.34,
M,724,ESP,710,ZAF,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",kg,8836331191.862,
M,724,ESP,276,DEU,2523,"Portland cement, aluminous cement (ciment fondu), slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers",kg,36853409.178,
M,724,ESP,784,ARE,2508,"Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth",N/A,0.0,
M,724,ESP,36,AUS,2516,"Granite, porphyry, basalt, sandstone, other monumental and building stone, whether or not roughly trimmed, cut, by sawing etc, into blocks or slabs of a rectangular (including square) shape",N/A,0.0,
M,724,ESP,792,TUR,2517,"Pebbles, gravel, crushed stone for concrete aggregates for road or railway ballast, shingle or flint; macadam of slag, dross etc tarred granules, chippings, powder of stones of heading no. 2515 and 2516",N/A,0.0,
M,724,ESP,292,GIB,2524,Asbestos,N/A,0.0,
M,724,ESP,380,ITA,2528,"Natural borates and concentrates thereof (whether calcined), but not including borates separated from natural brine; natural boric acid containing not less than 85% of H3Bo3, calculated on the dry weight",N/A,0.0,
M,724,ESP,392,JPN,2529,Felspar; leucite; nepheline and nepheline syenite; fluorspar,N/A,0.0,
M,724,ESP,208,DNK,2530,Mineral substances not elsewhere specified or included,N/A,0.0,
M,724,ESP,36,AUS,2530,Mineral substances not elsewhere specified or included,N/A,0.0,
M,724,ESP,504,MAR,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",N/A,0.0,
M,724,ESP,842,USA,2528,"Natural borates and concentrates thereof (whether calcined), but not including borates separated from natural brine; natural boric acid containing not less than 85% of H3Bo3, calculated on the dry weight",N/A,0.0,
M,724,ESP,842,USA,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",N/A,0.0,
M,724,ESP,757,CHE,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",N/A,0.0,
M,724,ESP,251,FRA,2528,"Natural borates and concentrates thereof (whether calcined), but not including borates separated from natural brine; natural boric acid containing not less than 85% of H3Bo3, calculated on the dry weight",kg,996.905,
M,724,ESP,0,W00,2508,"Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth",N/A,0.0,
M,724,ESP,0,W00,2516,"Granite, porphyry, basalt, sandstone, other monumental and building stone, whether or not roughly trimmed, cut, by sawing etc, into blocks or slabs of a rectangular (including square) shape",N/A,0.0,
M,724,ESP,0,W00,2517,"Pebbles, gravel, crushed stone for concrete aggregates for road or railway ballast, shingle or flint; macadam of slag, dross etc tarred granules, chippings, powder of stones of heading no. 2515 and 2516",N/A,0.0,
M,724,ESP,0,W00,2524,Asbestos,N/A,0.0,
M,724,ESP,0,W00,2528,"Natural borates and concentrates thereof (whether calcined), but not including borates separated from natural brine; natural boric acid containing not less than 85% of H3Bo3, calculated on the dry weight",N/A,0.0,
M,724,ESP,0,W00,2529,Felspar; leucite; nepheline and nepheline syenite; fluorspar,N/A,0.0,
M,724,ESP,0,W00,2530,Mineral substances not elsewhere specified or included,N/A,0.0,
M,724,ESP,0,W00,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",N/A,0.0,
M,724,ESP,0,W00,2512,"Siliceous fossil meals (eg kieselguhr, tripolite and diatomite) and similar siliceous earths; whether or not calcined, of an apparent specific gravity of 1 or less",kg,10575208.245,
M,724,ESP,0,W00,2519,"Natural magnesium carbonate (magnesite); fused magnesia; dead-burned (sintered) magnesia, whether or not containing small quantities of other oxides added before sintering; magnesium oxide, pure or not",kg,370556036.248,
M,724,ESP,0,W00,2523,"Portland cement, aluminous cement (ciment fondu), slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers",kg,8457398929.418,
M,724,ESP,0,W00,1001,Wheat and meslin,kg,3883546000.4,
M,724,ESP,0,W00,1002,Rye,kg,185988642.0,
M,724,ESP,0,W00,1003,Barley,kg,598334157.7,
M,724,ESP,0,W00,1004,Oats,kg,108979395.848,
M,724,ESP,0,W00,1005,Maize (corn),kg,3936594076.15,
M,724,ESP,0,W00,1006,Rice,kg,121607408.64,
M,724,ESP,0,W00,1007,Grain sorghum,kg,677451106.0,
M,724,ESP,0,W00,1008,"Buckwheat, millet and canary seed; other cereals",kg,28836151.42,
M,724,ESP,0,W00,1401,"Vegetable materials of a kind used primarily for plaiting; (eg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,4960273.06,
M,724,ESP,0,W00,1404,Vegetable products not elsewhere specified or included,kg,13475264.331,
