flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,251,FRA,643,RUS,2506,"Quartz; (other than natural sands), quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",kg,100.0,
M,251,FRA,251,FRA,2513,"Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat treated",kg,100.0,
M,251,FRA,208,DNK,1404,Vegetable products not elsewhere specified or included,kg,100.0,
M,251,FRA,562,NER,2526,"Natural steatite; whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; talc",kg,100.0,
M,251,FRA,380,ITA,2525,"Mica, including splittings; mica waste",kg,100.0,
M,251,FRA,392,JPN,1005,Maize (corn),kg,100.0,
M,251,FRA,392,JPN,2512,"Siliceous fossil meals (eg kieselguhr, tripolite and diatomite) and similar siliceous earths; whether or not calcined, of an apparent specific gravity of 1 or less",kg,100.0,
M,251,FRA,842,USA,1401,"Vegetable materials of a kind used primarily for plaiting; (eg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,100.0,
M,251,FRA,124,CAN,2515,"Marble, travertine, ecaussine and other calcareous stone; of an apparent specific gravity of less than 2.5, alabaster, whether cut by sawing etc, into blocks, slabs of a rectangular (square) shape",kg,100.0,
M,251,FRA,372,IRL,2006,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glace or crystallised)",kg,100.0,
M,251,FRA,376,ISR,2512,"Siliceous fossil meals (eg kieselguhr, tripolite and diatomite) and similar siliceous earths; whether or not calcined, of an apparent specific gravity of 1 or less",kg,100.0,
M,251,FRA,410,KOR,2520,"Gypsum; anhydrite; plasters (consisting of calcined gypsum or calcium sulphate), coloured or not, with or without small quantities of accelerators or retarders",kg,100.0,
M,251,FRA,568,E19,2006,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glace or crystallised)",kg,100.0,
M,251,FRA,757,CHE,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,100.0,
M,251,FRA,842,USA,2515,"Marble, travertine, ecaussine and other calcareous stone; of an apparent specific gravity of less than 2.5, alabaster, whether cut by sawing etc, into blocks, slabs of a rectangular (square) shape",kg,100.0,
M,251,FRA,484,MEX,2003,"Mushrooms and truffles, prepared or preserved other than by vinegar or acetic acid",kg,184.0,
M,251,FRA,208,DNK,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,216205.0,
M,251,FRA,40,AUT,2504,Graphite; natural,kg,50227.0,
M,251,FRA,56,BEL,1401,"Vegetable materials of a kind used primarily for plaiting; (eg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,437904.0,
M,251,FRA,392,JPN,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.s., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,10478.0,
M,251,FRA,842,USA,2504,Graphite; natural,kg,50663.0,
M,251,FRA,842,USA,2513,"Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat treated",kg,78355.0,
M,251,FRA,372,IRL,2003,"Mushrooms and truffles, prepared or preserved other than by vinegar or acetic acid",kg,4966.0,
M,251,FRA,392,JPN,2513,"Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat treated",kg,12872.0,
M,251,FRA,392,JPN,2529,Felspar; leucite; nepheline and nepheline syenite; fluorspar,kg,109298.0,
M,251,FRA,120,CMR,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,7282.0,
M,251,FRA,152,CHL,1001,Wheat and meslin,kg,20196.0,
M,251,FRA,40,AUT,2003,"Mushrooms and truffles, prepared or preserved other than by vinegar or acetic acid",kg,1968.0,
M,251,FRA,376,ISR,1401,"Vegetable materials of a kind used primarily for plaiting; (eg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,1992.0,
M,251,FRA,392,JPN,1401,"Vegetable materials of a kind used primarily for plaiting; (eg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,3128.0,
M,251,FRA,579,NOR,2501,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water,kg,34961.0,
M,251,FRA,899,_X ,2513,"Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat treated",kg,1722.0,
M,251,FRA,0,W00,1001,Wheat and meslin,kg,222970196.0,
M,251,FRA,0,W00,1005,Maize (corn),kg,218596478.0,
M,251,FRA,0,W00,1401,"Vegetable materials of a kind used primarily for plaiting; (eg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,10227724.0,
M,251,FRA,0,W00,2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",kg,58145620.0,
M,251,FRA,0,W00,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.s., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,317794078.0,
M,251,FRA,0,W00,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,895526987.0,
M,251,FRA,0,W00,2501,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water,kg,753940915.0,
M,251,FRA,0,W00,2504,Graphite; natural,kg,11159490.0,
M,251,FRA,0,W00,2513,"Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat treated",kg,9034249.0,
M,251,FRA,0,W00,2529,Felspar; leucite; nepheline and nepheline syenite; fluorspar,kg,90358198.0,
M,251,FRA,0,W00,2003,"Mushrooms and truffles, prepared or preserved other than by vinegar or acetic acid",kg,33536730.0,
M,251,FRA,124,CAN,2501,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water,kg,11654.0,
M,251,FRA,348,HUN,2003,"Mushrooms and truffles, prepared or preserved other than by vinegar or acetic acid",kg,13.0,
M,251,FRA,586,PAK,2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",kg,620.0,
M,251,FRA,604,PER,1005,Maize (corn),kg,478.0,
M,251,FRA,8,ALB,2530,Mineral substances not elsewhere specified or included,kg,2836200.0,
M,251,FRA,20,AND,2520,"Gypsum; anhydrite; plasters (consisting of calcined gypsum or calcium sulphate), coloured or not, with or without small quantities of accelerators or retarders",kg,7100.0,
M,251,FRA,28,ATG,1005,Maize (corn),kg,40000.0,
M,251,FRA,28,ATG,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,238800.0,
M,251,FRA,28,ATG,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",kg,350000.0,
M,251,FRA,31,AZE,2516,"Granite, porphyry, basalt, sandstone, other monumental and building stone, whether or not roughly trimmed, cut, by sawing etc, into blocks or slabs of a rectangular (including square) shape",kg,13100.0,
M,251,FRA,51,ARM,2005,"Vegetables preparations n.e.s.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,22600.0,
M,251,FRA,51,ARM,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.s., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,11400.0,
M,251,FRA,52,BRB,2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",kg,14600.0,
M,251,FRA,51,ARM,2516,"Granite, porphyry, basalt, sandstone, other monumental and building stone, whether or not roughly trimmed, cut, by sawing etc, into blocks or slabs of a rectangular (including square) shape",kg,18600.0,
M,251,FRA,64,BTN,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,13000.0,
M,251,FRA,68,BOL,1008,"Buckwheat, millet and canary seed; other cereals",kg,747200.0,
M,251,FRA,68,BOL,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,31500.0,
M,251,FRA,68,BOL,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.s., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,179800.0,
M,251,FRA,70,BIH,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.s., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,20000.0,
M,251,FRA,84,BLZ,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.s., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,64800.0,
M,251,FRA,84,BLZ,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,372600.0,
M,251,FRA,116,KHM,1006,Rice,kg,279500.0,
