flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,251,FRA,0,W00,1001,Wheat and meslin,kg,16090200759.886,4535307210.741
X,251,FRA,8,ALB,1001,Wheat and meslin,kg,2750153.0,978329.668
X,251,FRA,12,DZA,1001,Wheat and meslin,kg,2297472330.0,651214045.891
X,251,FRA,24,AGO,1001,Wheat and meslin,kg,293796000.0,89778562.031
X,251,FRA,32,ARG,1001,Wheat and meslin,kg,3221.0,6889.462
X,251,FRA,40,AUT,1001,Wheat and meslin,kg,72872.0,75993.43
X,251,FRA,56,BEL,1001,Wheat and meslin,kg,2338105307.0,623475096.654
X,251,FRA,76,BRA,1001,Wheat and meslin,kg,319671.0,181223.019
X,251,FRA,100,BGR,1001,Wheat and meslin,kg,620625.0,995743.153
X,251,FRA,112,BLR,1001,Wheat and meslin,kg,21317.0,45910.431
X,251,FRA,120,CMR,1001,Wheat and meslin,kg,211400000.0,57866726.387
X,251,FRA,124,CAN,1001,Wheat and meslin,kg,17731.886,7007.736
X,251,FRA,132,CPV,1001,Wheat and meslin,kg,4590000.0,1487771.401
X,251,FRA,140,CAF,1001,Wheat and meslin,kg,120.0,55.589
X,251,FRA,152,CHL,1001,Wheat and meslin,kg,25925.0,17627.562
X,251,FRA,156,CHN,1001,Wheat and meslin,kg,1818910062.0,500567558.668
X,251,FRA,174,COM,1001,Wheat and meslin,kg,136.0,520.406
X,251,FRA,178,COG,1001,Wheat and meslin,kg,47870000.0,12571075.907
X,251,FRA,180,COD,1001,Wheat and meslin,kg,21130000.0,5906480.92
X,251,FRA,191,HRV,1001,Wheat and meslin,kg,13797.0,12978.209
X,251,FRA,192,CUB,1001,Wheat and meslin,kg,393412000.0,111992287.869
X,251,FRA,196,CYP,1001,Wheat and meslin,kg,3200150.0,1080849.598
X,251,FRA,203,CZE,1001,Wheat and meslin,kg,437587.0,825187.27
X,251,FRA,208,DNK,1001,Wheat and meslin,kg,3490215.0,2216296.854
X,251,FRA,214,DOM,1001,Wheat and meslin,kg,8.0,20.107
X,251,FRA,226,GNQ,1001,Wheat and meslin,kg,50.0,27.203
X,251,FRA,233,EST,1001,Wheat and meslin,kg,208200.0,56893.357
X,251,FRA,246,FIN,1001,Wheat and meslin,kg,4473.0,1371.979
X,251,FRA,258,PYF,1001,Wheat and meslin,kg,3761.0,1421.654
X,251,FRA,266,GAB,1001,Wheat and meslin,kg,87800000.0,24372378.294
X,251,FRA,268,GEO,1001,Wheat and meslin,kg,2600.0,2555.902
X,251,FRA,270,GMB,1001,Wheat and meslin,kg,24497500.0,7412146.0
X,251,FRA,276,DEU,1001,Wheat and meslin,kg,305685401.0,83376902.042
X,251,FRA,288,GHA,1001,Wheat and meslin,kg,39000000.0,10493567.715
