flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,826,GBR,251,FRA,1006,Rice,kg,33257399.0,
M,826,GBR,251,FRA,2502,Iron pyrites; unroasted,kg,29.0,
M,826,GBR,276,DEU,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,184975775.0,
M,826,GBR,372,IRL,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,165879830.0,
M,826,GBR,724,ESP,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,61904026.0,
M,826,GBR,842,USA,2528,"Natural borates and concentrates thereof (whether calcined), but not including borates separated from natural brine; natural boric acid containing not less than 85% of H3Bo3, calculated on the dry weight",kg,1487.0,
M,826,GBR,0,W00,1006,Rice,kg,763583382.0,
M,826,GBR,0,W00,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,795127909.0,
M,826,GBR,0,W00,2502,Iron pyrites; unroasted,kg,10703.0,
M,826,GBR,0,W00,2528,"Natural borates and concentrates thereof (whether calcined), but not including borates separated from natural brine; natural boric acid containing not less than 85% of H3Bo3, calculated on the dry weight",kg,4939286.0,
M,826,GBR,28,ATG,2516,"Granite, porphyry, basalt, sandstone, other monumental and building stone, whether or not roughly trimmed, cut, by sawing etc, into blocks or slabs of a rectangular (including square) shape",kg,53410.0,
M,826,GBR,70,BIH,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,7500.0,
M,826,GBR,70,BIH,2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",kg,1000.0,
M,826,GBR,72,BWA,2513,"Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat treated",kg,3210.0,
M,826,GBR,68,BOL,1008,"Buckwheat, millet and canary seed; other cereals",kg,9405.0,
M,826,GBR,96,BRN,2520,"Gypsum; anhydrite; plasters (consisting of calcined gypsum or calcium sulphate), coloured or not, with or without small quantities of accelerators or retarders",kg,662.0,
M,826,GBR,116,KHM,1006,Rice,kg,17000.0,
M,826,GBR,178,COG,2506,"Quartz; (other than natural sands), quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",kg,3150.0,
M,826,GBR,192,CUB,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,2615700.0,
M,826,GBR,212,DMA,2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",kg,19958.0,
M,826,GBR,212,DMA,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",kg,7485361.0,
M,826,GBR,231,ETH,1404,Vegetable products not elsewhere specified or included,kg,21330.0,
M,826,GBR,242,FJI,2006,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glace or crystallised)",kg,4800.0,
M,826,GBR,242,FJI,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.s., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,23840.0,
M,826,GBR,258,PYF,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,6205.0,
M,826,GBR,270,GMB,1404,Vegetable products not elsewhere specified or included,kg,2142.0,
M,826,GBR,316,GUM,1006,Rice,kg,485280.0,
M,826,GBR,328,GUY,1006,Rice,kg,9090046.0,
M,826,GBR,332,HTI,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.s., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,62483.0,
M,826,GBR,340,HND,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.s., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,577020.0,
M,826,GBR,384,CIV,2005,"Vegetables preparations n.e.s.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,17880.0,
M,826,GBR,384,CIV,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,416590.0,
M,826,GBR,418,LAO,2005,"Vegetables preparations n.e.s.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,835123.0,
M,826,GBR,418,LAO,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.s., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,122680.0,
M,826,GBR,450,MDG,1401,"Vegetable materials of a kind used primarily for plaiting; (eg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,100079.0,
M,826,GBR,450,MDG,2005,"Vegetables preparations n.e.s.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,2450.0,
M,826,GBR,450,MDG,2504,Graphite; natural,kg,3501460.0,
M,826,GBR,450,MDG,2506,"Quartz; (other than natural sands), quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",kg,9993.0,
M,826,GBR,454,MWI,1006,Rice,kg,37500.0,
M,826,GBR,454,MWI,2005,"Vegetables preparations n.e.s.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,59400.0,
M,826,GBR,478,MRT,2005,"Vegetables preparations n.e.s.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,406.0,
M,826,GBR,508,MOZ,2508,"Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth",kg,4460.0,
M,826,GBR,516,NAM,2516,"Granite, porphyry, basalt, sandstone, other monumental and building stone, whether or not roughly trimmed, cut, by sawing etc, into blocks or slabs of a rectangular (including square) shape",kg,1601.0,
M,826,GBR,533,ABW,1006,Rice,kg,668000.0,
M,826,GBR,591,PAN,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.s., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,36804.0,
M,826,GBR,598,PNG,1404,Vegetable products not elsewhere specified or included,kg,212.0,
M,826,GBR,598,PNG,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,63.0,
M,826,GBR,591,PAN,1006,Rice,kg,104284.0,
M,826,GBR,686,SEN,2508,"Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth",kg,12102333.0,
M,826,GBR,690,SYC,2501,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water,kg,80.0,
M,826,GBR,694,SLE,1404,Vegetable products not elsewhere specified or included,kg,604.0,
M,826,GBR,736,SDN,1007,Grain sorghum,kg,727320.0,
M,826,GBR,748,SWZ,2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",kg,997.0,
M,826,GBR,748,SWZ,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.s., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,11310040.0,
M,826,GBR,796,TCA,1006,Rice,kg,1024130.0,
M,826,GBR,807,MKD,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.s., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,3055.0,
M,826,GBR,834,TZA,1005,Maize (corn),kg,127000.0,
M,826,GBR,834,TZA,2506,"Quartz; (other than natural sands), quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",kg,6800.0,
M,826,GBR,887,YEM,1404,Vegetable products not elsewhere specified or included,kg,5025.0,
M,826,GBR,887,YEM,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,168167.0,
M,826,GBR,780,TTO,2005,"Vegetables preparations n.e.s.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,759.0,
M,826,GBR,780,TTO,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,12250.0,
M,826,GBR,780,TTO,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,865.0,
M,826,GBR,780,TTO,2517,"Pebbles, gravel, crushed stone for concrete aggregates for road or railway ballast, shingle or flint; macadam of slag, dross etc tarred granules, chippings, powder of stones of heading no. 2515 and 2516",kg,15.0,
M,826,GBR,188,CRI,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,48120.0,
M,826,GBR,188,CRI,2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",kg,258717.0,
M,826,GBR,188,CRI,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.s., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,1286447.0,
M,826,GBR,188,CRI,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,1914333.0,
M,826,GBR,214,DOM,2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",kg,109454.0,
M,826,GBR,218,ECU,1008,"Buckwheat, millet and canary seed; other cereals",kg,80000.0,
M,826,GBR,218,ECU,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,20536.0,
M,826,GBR,218,ECU,2005,"Vegetables preparations n.e.s.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,1406.0,
M,826,GBR,218,ECU,2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",kg,293611.0,
M,826,GBR,218,ECU,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.s., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,818157.0,
M,826,GBR,218,ECU,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,435000.0,
M,826,GBR,862,VEN,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.s., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,1445.0,
M,826,GBR,862,VEN,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",kg,41128190.0,
M,826,GBR,388,JAM,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,145184.0,
M,826,GBR,388,JAM,2005,"Vegetables preparations n.e.s.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,576701.0,
M,826,GBR,388,JAM,2006,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glace or crystallised)",kg,398.0,
M,826,GBR,388,JAM,2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",kg,12381.0,
M,826,GBR,388,JAM,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.s., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,114927.0,
M,826,GBR,388,JAM,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,28114.0,
M,826,GBR,480,MUS,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,4270.0,
M,826,GBR,480,MUS,2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",kg,959.0,
M,826,GBR,400,JOR,2004,"Vegetables preparations n.e.s.; prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading no. 2006",kg,1528.0,
M,826,GBR,400,JOR,2501,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water,kg,370.0,
M,826,GBR,400,JOR,2508,"Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth",kg,200110.0,
M,826,GBR,891,SCG,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,57011.0,
M,826,GBR,891,SCG,2004,"Vegetables preparations n.e.s.; prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading no. 2006",kg,22000.0,
M,826,GBR,891,SCG,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,30185.0,
