flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,340,HND,0,W00,1001,Wheat and meslin,kg,190544308.0,
M,340,HND,320,GTM,1001,Wheat and meslin,kg,2.0,
M,340,HND,842,USA,1001,Wheat and meslin,kg,190544306.0,
M,340,HND,0,W00,1002,Rye,kg,1.0,
M,340,HND,842,USA,1002,Rye,kg,1.0,
M,340,HND,0,W00,1003,Barley,kg,39.0,
M,340,HND,124,CAN,1003,Barley,kg,32.0,
M,340,HND,842,USA,1003,Barley,kg,7.0,
M,340,HND,0,W00,1004,Oats,kg,77686.0,
M,340,HND,152,CHL,1004,Oats,kg,64780.0,
M,340,HND,842,USA,1004,Oats,kg,12906.0,
M,340,HND,0,W00,1005,Maize (corn),kg,296208019.0,
M,340,HND,32,ARG,1005,Maize (corn),kg,272662.0,
M,340,HND,76,BRA,1005,Maize (corn),kg,1536.0,
M,340,HND,170,COL,1005,Maize (corn),kg,26959.0,
M,340,HND,188,CRI,1005,Maize (corn),kg,96.0,
M,340,HND,222,SLV,1005,Maize (corn),kg,2627.0,
M,340,HND,320,GTM,1005,Maize (corn),kg,400058.0,
M,340,HND,484,MEX,1005,Maize (corn),kg,6108.0,
M,340,HND,558,NIC,1005,Maize (corn),kg,272789.0,
M,340,HND,826,GBR,1005,Maize (corn),kg,1.0,
M,340,HND,842,USA,1005,Maize (corn),kg,295225183.0,
M,340,HND,0,W00,1006,Rice,kg,148396956.0,
M,340,HND,32,ARG,1006,Rice,kg,1002200.0,
M,340,HND,76,BRA,1006,Rice,kg,10000000.0,
M,340,HND,156,CHN,1006,Rice,kg,6407.0,
M,340,HND,170,COL,1006,Rice,kg,18.0,
M,340,HND,188,CRI,1006,Rice,kg,1091580.0,
M,340,HND,222,SLV,1006,Rice,kg,4620922.0,
M,340,HND,320,GTM,1006,Rice,kg,464293.0,
M,340,HND,392,JPN,1006,Rice,kg,450.0,
M,340,HND,558,NIC,1006,Rice,kg,175410.0,
M,340,HND,724,ESP,1006,Rice,kg,15621.0,
M,340,HND,826,GBR,1006,Rice,kg,25.0,
M,340,HND,842,USA,1006,Rice,kg,130061960.0,
M,340,HND,858,URY,1006,Rice,kg,958070.0,
M,340,HND,0,W00,1007,Grain sorghum,kg,119711.0,
M,340,HND,484,MEX,1007,Grain sorghum,kg,74630.0,
M,340,HND,558,NIC,1007,Grain sorghum,kg,1000.0,
M,340,HND,842,USA,1007,Grain sorghum,kg,44081.0,
M,340,HND,0,W00,1008,"Buckwheat, millet and canary seed; other cereals",kg,156052.0,
M,340,HND,124,CAN,1008,"Buckwheat, millet and canary seed; other cereals",kg,65726.0,
M,340,HND,188,CRI,1008,"Buckwheat, millet and canary seed; other cereals",kg,2300.0,
M,340,HND,320,GTM,1008,"Buckwheat, millet and canary seed; other cereals",kg,17611.0,
M,340,HND,484,MEX,1008,"Buckwheat, millet and canary seed; other cereals",kg,10.0,
M,340,HND,842,USA,1008,"Buckwheat, millet and canary seed; other cereals",kg,70405.0,
