flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,340,HND,0,W00,1005,Maize (corn),kg,6122631.0,1038159.0
X,340,HND,0,W00,1006,Rice,kg,1624340.0,183294.0
X,340,HND,0,W00,1007,Grain sorghum,kg,73750.0,26735.0
X,340,HND,0,W00,1008,"Buckwheat, millet and canary seed; other cereals",kg,25000.0,3100.0
X,340,HND,0,W00,1401,"Vegetable materials of a kind used primarily for plaiting; (eg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,4726.0,3311.0
X,340,HND,0,W00,1404,Vegetable products not elsewhere specified or included,kg,3992.0,6446.0
X,340,HND,0,W00,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,11100.0,10080.0
X,340,HND,0,W00,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,1449028.0,1242720.0
X,340,HND,0,W00,2003,"Mushrooms and truffles, prepared or preserved other than by vinegar or acetic acid",kg,36241.0,28381.0
X,340,HND,0,W00,2005,"Vegetables preparations n.e.s.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,514797.0,450090.0
X,340,HND,0,W00,2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",kg,69601.0,37758.0
X,340,HND,0,W00,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.s., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,3391726.0,3552478.0
X,340,HND,0,W00,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,18823801.0,10662784.0
X,340,HND,0,W00,2501,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water,kg,344783.0,25821.0
X,340,HND,0,W00,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",kg,6392.0,2481.0
