flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,340,HND,0,W00,1001,Wheat and meslin,kg,460000.0,147466.8
X,340,HND,558,NIC,1001,Wheat and meslin,kg,460000.0,147466.8
X,340,HND,0,W00,1004,Oats,kg,21.0,77.0
X,340,HND,136,CYM,1004,Oats,kg,21.0,77.0
X,340,HND,0,W00,1005,Maize (corn),kg,3590740.65,3531758.98
X,340,HND,32,ARG,1005,Maize (corn),kg,17636.8,74920.93
X,340,HND,136,CYM,1005,Maize (corn),kg,11.0,41.03
X,340,HND,170,COL,1005,Maize (corn),kg,806225.0,3054604.34
X,340,HND,320,GTM,1005,Maize (corn),kg,1395600.0,240167.83
X,340,HND,558,NIC,1005,Maize (corn),kg,1371230.0,161720.2
X,340,HND,842,USA,1005,Maize (corn),kg,37.85,304.65
X,340,HND,0,W00,1006,Rice,kg,3816053.0,1939983.0
X,340,HND,222,SLV,1006,Rice,kg,1269600.0,600900.0
X,340,HND,320,GTM,1006,Rice,kg,1310763.0,648663.0
X,340,HND,558,NIC,1006,Rice,kg,1235690.0,690420.0
X,340,HND,0,W00,1007,Grain sorghum,kg,199088.0,38788.0
X,340,HND,222,SLV,1007,Grain sorghum,kg,195048.0,30100.0
X,340,HND,558,NIC,1007,Grain sorghum,kg,4040.0,8688.0
X,340,HND,0,W00,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,50.0,10.0
X,340,HND,222,SLV,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,50.0,10.0
X,340,HND,0,W00,1404,Vegetable products not elsewhere specified or included,kg,9134.3,55549.64
X,340,HND,188,CRI,1404,Vegetable products not elsewhere specified or included,kg,1156.0,24505.6
X,340,HND,392,JPN,1404,Vegetable products not elsewhere specified or included,kg,25.5,944.0
X,340,HND,558,NIC,1404,Vegetable products not elsewhere specified or included,kg,430.0,758.54
X,340,HND,842,USA,1404,Vegetable products not elsewhere specified or included,kg,7522.8,29341.5
X,340,HND,0,W00,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,95.7,169.57
X,340,HND,136,CYM,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,67.31,129.07
X,340,HND,842,USA,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,28.39,40.5
X,340,HND,0,W00,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,145515.63,252721.57
X,340,HND,188,CRI,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,18651.03,34567.9
X,340,HND,222,SLV,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,7255.1,15821.67
X,340,HND,320,GTM,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,49222.2,85370.7
X,340,HND,558,NIC,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,42881.7,69934.92
X,340,HND,591,PAN,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,24835.3,44545.23
X,340,HND,842,USA,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,2670.3,2481.15
X,340,HND,0,W00,2004,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading no. 2006",kg,37794.27,86060.16
X,340,HND,136,CYM,2004,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading no. 2006",kg,217.07,248.84
X,340,HND,842,USA,2004,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading no. 2006",kg,37577.2,85811.32
X,340,HND,0,W00,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,4829444.09,16277998.51
X,340,HND,84,BLZ,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,5088.93,22565.09
X,340,HND,136,CYM,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,8441.04,21230.01
X,340,HND,188,CRI,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,476639.48,2468853.65
X,340,HND,214,DOM,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,536028.63,1935572.25
X,340,HND,222,SLV,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,1137651.9,4197699.38
X,340,HND,320,GTM,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,691278.0,2216107.34
X,340,HND,376,ISR,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,5.27,18.0
X,340,HND,558,NIC,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,961704.5,3307324.17
X,340,HND,724,ESP,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,66427.54,136939.46
X,340,HND,842,USA,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,946178.8,1971689.16
X,340,HND,0,W00,2006,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glace or crystallised)",kg,338.0,2700.0
X,340,HND,724,ESP,2006,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glace or crystallised)",kg,338.0,2700.0
X,340,HND,0,W00,2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",kg,12129.09,81020.48
X,340,HND,222,SLV,2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",kg,561.49,2981.94
X,340,HND,842,USA,2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",kg,11567.6,78038.54
X,340,HND,0,W00,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.c., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,7919975.23,28548930.08
X,340,HND,84,BLZ,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.c., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,3917.16,17395.9
X,340,HND,136,CYM,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.c., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,30354.01,82359.11
X,340,HND,188,CRI,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.c., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,174748.38,637097.11
X,340,HND,214,DOM,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.c., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,2168767.7,7869477.19
X,340,HND,222,SLV,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.c., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,919726.6,3380768.57
X,340,HND,320,GTM,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.c., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,734961.0,2712160.08
X,340,HND,376,ISR,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.c., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,21.52,73.44
X,340,HND,558,NIC,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.c., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,739163.2,1275106.72
