flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,380,ITA,0,W00,1001,Wheat and meslin,kg,579566009.0,169269938.103
X,380,ITA,8,ALB,1001,Wheat and meslin,kg,861550.0,247360.6
X,380,ITA,12,DZA,1001,Wheat and meslin,kg,106500.0,120260.191
X,380,ITA,36,AUS,1001,Wheat and meslin,kg,21042.0,46501.059
X,380,ITA,40,AUT,1001,Wheat and meslin,kg,1379790.0,400764.502
X,380,ITA,56,BEL,1001,Wheat and meslin,kg,5271364.0,1331411.525
X,380,ITA,70,BIH,1001,Wheat and meslin,kg,2550.0,3601.423
X,380,ITA,100,BGR,1001,Wheat and meslin,kg,165199.0,88568.12
X,380,ITA,191,HRV,1001,Wheat and meslin,kg,51765.0,27113.474
X,380,ITA,196,CYP,1001,Wheat and meslin,kg,60134.0,26983.56
X,380,ITA,203,CZE,1001,Wheat and meslin,kg,40.0,143.469
X,380,ITA,208,DNK,1001,Wheat and meslin,kg,14412758.0,4858259.792
X,380,ITA,233,EST,1001,Wheat and meslin,kg,21.0,184.138
X,380,ITA,246,FIN,1001,Wheat and meslin,kg,260.0,572.748
X,380,ITA,251,FRA,1001,Wheat and meslin,kg,30240694.0,12047422.022
X,380,ITA,268,GEO,1001,Wheat and meslin,kg,96000.0,46723.606
X,380,ITA,276,DEU,1001,Wheat and meslin,kg,18170693.0,8390155.473
X,380,ITA,300,GRC,1001,Wheat and meslin,kg,6101098.0,1952368.929
X,380,ITA,348,HUN,1001,Wheat and meslin,kg,367109.0,205043.88
X,380,ITA,392,JPN,1001,Wheat and meslin,kg,9448.0,34753.506
X,380,ITA,398,KAZ,1001,Wheat and meslin,kg,10000.0,6174.836
X,380,ITA,422,LBN,1001,Wheat and meslin,kg,5010.0,2093.299
X,380,ITA,434,LBY,1001,Wheat and meslin,kg,20199600.0,5590680.56
X,380,ITA,440,LTU,1001,Wheat and meslin,kg,135425.0,73651.812
X,380,ITA,470,MLT,1001,Wheat and meslin,kg,11064095.0,2546091.983
X,380,ITA,498,MDA,1001,Wheat and meslin,kg,7200.0,1863.974
X,380,ITA,528,NLD,1001,Wheat and meslin,kg,1297564.0,434483.22
X,380,ITA,579,NOR,1001,Wheat and meslin,kg,4020.0,8925.61
X,380,ITA,604,PER,1001,Wheat and meslin,kg,4200.0,4697.214
X,380,ITA,616,POL,1001,Wheat and meslin,kg,1990.0,926.338
X,380,ITA,620,PRT,1001,Wheat and meslin,kg,20010.0,10850.586
X,380,ITA,642,ROU,1001,Wheat and meslin,kg,943709.0,552487.438
X,380,ITA,643,RUS,1001,Wheat and meslin,kg,60300.0,34774.97
X,380,ITA,688,SRB,1001,Wheat and meslin,kg,13230.0,6279.897
X,380,ITA,703,SVK,1001,Wheat and meslin,kg,396075.0,170605.554
X,380,ITA,704,VNM,1001,Wheat and meslin,kg,203000.0,100059.235
X,380,ITA,705,SVN,1001,Wheat and meslin,kg,1097551.0,407697.354
X,380,ITA,724,ESP,1001,Wheat and meslin,kg,135902.0,123778.017
X,380,ITA,752,SWE,1001,Wheat and meslin,kg,10671.0,34517.403
X,380,ITA,757,CHE,1001,Wheat and meslin,kg,9399300.0,5394781.448
