flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,392,JPN,0,W00,1001,Wheat and meslin,kg,4702564936.0,
M,392,JPN,36,AUS,1001,Wheat and meslin,kg,878042992.0,
M,392,JPN,124,CAN,1001,Wheat and meslin,kg,942448992.0,
M,392,JPN,251,FRA,1001,Wheat and meslin,kg,3107000.0,
M,392,JPN,276,DEU,1001,Wheat and meslin,kg,24000.0,
M,392,JPN,380,ITA,1001,Wheat and meslin,kg,2000.0,
M,392,JPN,643,RUS,1001,Wheat and meslin,kg,1463000.0,
M,392,JPN,792,TUR,1001,Wheat and meslin,kg,40000.0,
M,392,JPN,804,UKR,1001,Wheat and meslin,kg,37540000.0,
M,392,JPN,842,USA,1001,Wheat and meslin,kg,2839896952.0,
M,392,JPN,0,W00,1002,Rye,kg,64689000.0,
M,392,JPN,124,CAN,1002,Rye,kg,13761000.0,
M,392,JPN,276,DEU,1002,Rye,kg,44717000.0,
M,392,JPN,554,NZL,1002,Rye,kg,23000.0,
M,392,JPN,616,POL,1002,Rye,kg,5548000.0,
M,392,JPN,842,USA,1002,Rye,kg,640000.0,
M,392,JPN,0,W00,1003,Barley,kg,1390862193.0,
M,392,JPN,32,ARG,1003,Barley,kg,8172000.0,
M,392,JPN,36,AUS,1003,Barley,kg,866184976.0,
M,392,JPN,124,CAN,1003,Barley,kg,265618992.0,
M,392,JPN,203,CZE,1003,Barley,kg,18225.0,
M,392,JPN,251,FRA,1003,Barley,kg,4475000.0,
M,392,JPN,276,DEU,1003,Barley,kg,1228000.0,
M,392,JPN,643,RUS,1003,Barley,kg,58197000.0,
M,392,JPN,804,UKR,1003,Barley,kg,159160000.0,
M,392,JPN,842,USA,1003,Barley,kg,27808000.0,
M,392,JPN,0,W00,1004,Oats,kg,50473000.0,
M,392,JPN,36,AUS,1004,Oats,kg,21634000.0,
M,392,JPN,76,BRA,1004,Oats,kg,437000.0,
M,392,JPN,124,CAN,1004,Oats,kg,25628000.0,
M,392,JPN,152,CHL,1004,Oats,kg,1246000.0,
M,392,JPN,600,PRY,1004,Oats,kg,117000.0,
M,392,JPN,710,ZAF,1004,Oats,kg,90000.0,
M,392,JPN,842,USA,1004,Oats,kg,1321000.0,
M,392,JPN,0,W00,1005,Maize (corn),kg,16294345495.0,
M,392,JPN,32,ARG,1005,Maize (corn),kg,190948000.0,
M,392,JPN,36,AUS,1005,Maize (corn),kg,661000.0,
M,392,JPN,40,AUT,1005,Maize (corn),kg,270000.0,
M,392,JPN,56,BEL,1005,Maize (corn),kg,309000.0,
M,392,JPN,76,BRA,1005,Maize (corn),kg,46702000.0,
M,392,JPN,104,MMR,1005,Maize (corn),kg,34000.0,
M,392,JPN,124,CAN,1005,Maize (corn),kg,98000.0,
M,392,JPN,152,CHL,1005,Maize (corn),kg,213060.0,
M,392,JPN,156,CHN,1005,Maize (corn),kg,21523000.0,
M,392,JPN,251,FRA,1005,Maize (corn),kg,937000.0,
M,392,JPN,276,DEU,1005,Maize (corn),kg,62000.0,
M,392,JPN,348,HUN,1005,Maize (corn),kg,104000.0,
M,392,JPN,360,IDN,1005,Maize (corn),kg,5771000.0,
M,392,JPN,490,S19,1005,Maize (corn),kg,38000.0,
M,392,JPN,554,NZL,1005,Maize (corn),kg,1149000.0,
M,392,JPN,600,PRY,1005,Maize (corn),kg,144000.0,
M,392,JPN,604,PER,1005,Maize (corn),kg,969000.0,
M,392,JPN,608,PHL,1005,Maize (corn),kg,10179.0,
M,392,JPN,642,ROU,1005,Maize (corn),kg,43202000.0,
M,392,JPN,699,IND,1005,Maize (corn),kg,1858000.0,
M,392,JPN,703,SVK,1005,Maize (corn),kg,2000.0,
M,392,JPN,764,THA,1005,Maize (corn),kg,1509000.0,
M,392,JPN,792,TUR,1005,Maize (corn),kg,45000.0,
M,392,JPN,804,UKR,1005,Maize (corn),kg,256264000.0,
M,392,JPN,842,USA,1005,Maize (corn),kg,15721523256.0,
M,392,JPN,0,W00,1006,Rice,kg,670987000.0,
M,392,JPN,156,CHN,1006,Rice,kg,77436000.0,
M,392,JPN,380,ITA,1006,Rice,kg,79000.0,
M,392,JPN,490,S19,1006,Rice,kg,108000.0,
M,392,JPN,586,PAK,1006,Rice,kg,292000.0,
M,392,JPN,699,IND,1006,Rice,kg,106000.0,
M,392,JPN,724,ESP,1006,Rice,kg,2000.0,
M,392,JPN,764,THA,1006,Rice,kg,219407000.0,
M,392,JPN,842,USA,1006,Rice,kg,373557000.0,
M,392,JPN,0,W00,1007,Grain sorghum,kg,1751174992.0,
M,392,JPN,32,ARG,1007,Grain sorghum,kg,221484000.0,
M,392,JPN,36,AUS,1007,Grain sorghum,kg,1125532992.0,
M,392,JPN,156,CHN,1007,Grain sorghum,kg,190000.0,
M,392,JPN,410,KOR,1007,Grain sorghum,kg,3000.0,
M,392,JPN,699,IND,1007,Grain sorghum,kg,3575000.0,
M,392,JPN,764,THA,1007,Grain sorghum,kg,65000.0,
M,392,JPN,842,USA,1007,Grain sorghum,kg,400325000.0,
M,392,JPN,0,W00,1008,"Buckwheat, millet and canary seed; other cereals",kg,71949000.0,
M,392,JPN,36,AUS,1008,"Buckwheat, millet and canary seed; other cereals",kg,3053000.0,
M,392,JPN,56,BEL,1008,"Buckwheat, millet and canary seed; other cereals",kg,135000.0,
M,392,JPN,68,BOL,1008,"Buckwheat, millet and canary seed; other cereals",kg,126000.0,
M,392,JPN,76,BRA,1008,"Buckwheat, millet and canary seed; other cereals",kg,25000.0,
M,392,JPN,104,MMR,1008,"Buckwheat, millet and canary seed; other cereals",kg,72000.0,
M,392,JPN,124,CAN,1008,"Buckwheat, millet and canary seed; other cereals",kg,1446000.0,
M,392,JPN,156,CHN,1008,"Buckwheat, millet and canary seed; other cereals",kg,49844000.0,
M,392,JPN,554,NZL,1008,"Buckwheat, millet and canary seed; other cereals",kg,101000.0,
M,392,JPN,604,PER,1008,"Buckwheat, millet and canary seed; other cereals",kg,153000.0,
M,392,JPN,608,PHL,1008,"Buckwheat, millet and canary seed; other cereals",kg,42000.0,
M,392,JPN,643,RUS,1008,"Buckwheat, millet and canary seed; other cereals",kg,18000.0,
M,392,JPN,699,IND,1008,"Buckwheat, millet and canary seed; other cereals",kg,707000.0,
M,392,JPN,704,VNM,1008,"Buckwheat, millet and canary seed; other cereals",kg,107000.0,
M,392,JPN,764,THA,1008,"Buckwheat, millet and canary seed; other cereals",kg,55000.0,
M,392,JPN,842,USA,1008,"Buckwheat, millet and canary seed; other cereals",kg,16065000.0,
M,392,JPN,0,W00,1401,"Vegetable materials of a kind used primarily for plaiting; (egg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,11199246.0,
M,392,JPN,156,CHN,1401,"Vegetable materials of a kind used primarily for plaiting; (egg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,10840999.0,
M,392,JPN,251,FRA,1401,"Vegetable materials of a kind used primarily for plaiting; (egg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,65.0,
M,392,JPN,276,DEU,1401,"Vegetable materials of a kind used primarily for plaiting; (egg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,1.0,
M,392,JPN,360,IDN,1401,"Vegetable materials of a kind used primarily for plaiting; (egg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,42621.0,
M,392,JPN,410,KOR,1401,"Vegetable materials of a kind used primarily for plaiting; (egg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,40.0,
M,392,JPN,450,MDG,1401,"Vegetable materials of a kind used primarily for plaiting; (egg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,7750.0,
M,392,JPN,458,MYS,1401,"Vegetable materials of a kind used primarily for plaiting; (egg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,13410.0,
M,392,JPN,490,S19,1401,"Vegetable materials of a kind used primarily for plaiting; (egg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,116300.0,
M,392,JPN,608,PHL,1401,"Vegetable materials of a kind used primarily for plaiting; (egg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,5381.0,
M,392,JPN,702,SGP,1401,"Vegetable materials of a kind used primarily for plaiting; (egg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,1727.0,
M,392,JPN,704,VNM,1401,"Vegetable materials of a kind used primarily for plaiting; (egg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,170922.0,
M,392,JPN,842,USA,1401,"Vegetable materials of a kind used primarily for plaiting; (egg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,30.0,
M,392,JPN,0,W00,1404,Vegetable products not elsewhere specified or included,kg,84659305.0,
M,392,JPN,36,AUS,1404,Vegetable products not elsewhere specified or included,kg,77220.0,
M,392,JPN,76,BRA,1404,Vegetable products not elsewhere specified or included,kg,4074746.0,
M,392,JPN,144,LKA,1404,Vegetable products not elsewhere specified or included,kg,30040558.0,
M,392,JPN,152,CHL,1404,Vegetable products not elsewhere specified or included,kg,324024.0,
M,392,JPN,156,CHN,1404,Vegetable products not elsewhere specified or included,kg,14736537.0,
M,392,JPN,170,COL,1404,Vegetable products not elsewhere specified or included,kg,90210.0,
M,392,JPN,332,HTI,1404,Vegetable products not elsewhere specified or included,kg,800.0,
M,392,JPN,348,HUN,1404,Vegetable products not elsewhere specified or included,kg,1000.0,
M,392,JPN,360,IDN,1404,Vegetable products not elsewhere specified or included,kg,15748797.0,
M,392,JPN,404,KEN,1404,Vegetable products not elsewhere specified or included,kg,109915.0,
M,392,JPN,410,KOR,1404,Vegetable products not elsewhere specified or included,kg,72011.0,
M,392,JPN,428,LVA,1404,Vegetable products not elsewhere specified or included,kg,13125.0,
M,392,JPN,458,MYS,1404,Vegetable products not elsewhere specified or included,kg,909795.0,
M,392,JPN,484,MEX,1404,Vegetable products not elsewhere specified or included,kg,25245.0,
M,392,JPN,490,S19,1404,Vegetable products not elsewhere specified or included,kg,325262.0,
M,392,JPN,524,NPL,1404,Vegetable products not elsewhere specified or included,kg,1786.0,
M,392,JPN,528,NLD,1404,Vegetable products not elsewhere specified or included,kg,7686.0,
M,392,JPN,554,NZL,1404,Vegetable products not elsewhere specified or included,kg,227157.0,
M,392,JPN,566,NGA,1404,Vegetable products not elsewhere specified or included,kg,395.0,
M,392,JPN,600,PRY,1404,Vegetable products not elsewhere specified or included,kg,44914.0,
M,392,JPN,604,PER,1404,Vegetable products not elsewhere specified or included,kg,72446.0,
M,392,JPN,608,PHL,1404,Vegetable products not elsewhere specified or included,kg,351655.0,
M,392,JPN,699,IND,1404,Vegetable products not elsewhere specified or included,kg,1891635.0,
M,392,JPN,704,VNM,1404,Vegetable products not elsewhere specified or included,kg,4758315.0,
M,392,JPN,710,ZAF,1404,Vegetable products not elsewhere specified or included,kg,470005.0,
M,392,JPN,724,ESP,1404,Vegetable products not elsewhere specified or included,kg,2250.0,
M,392,JPN,736,SDN,1404,Vegetable products not elsewhere specified or included,kg,5363.0,
M,392,JPN,760,SYR,1404,Vegetable products not elsewhere specified or included,kg,5650800.0,
M,392,JPN,764,THA,1404,Vegetable products not elsewhere specified or included,kg,2675508.0,
M,392,JPN,788,TUN,1404,Vegetable products not elsewhere specified or included,kg,140.0,
M,392,JPN,834,TZA,1404,Vegetable products not elsewhere specified or included,kg,816200.0,
M,392,JPN,842,USA,1404,Vegetable products not elsewhere specified or included,kg,1133805.0,
M,392,JPN,0,W00,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,30611495.0,
M,392,JPN,32,ARG,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,12852.0,
M,392,JPN,36,AUS,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,572.0,
M,392,JPN,40,AUT,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,297.0,
M,392,JPN,76,BRA,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,2179.0,
M,392,JPN,144,LKA,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,3101979.0,
M,392,JPN,156,CHN,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,24205188.0,
M,392,JPN,170,COL,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,3502.0,
M,392,JPN,203,CZE,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,14016.0,
M,392,JPN,251,FRA,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,54926.0,
M,392,JPN,276,DEU,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,394427.0,
M,392,JPN,300,GRC,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,1236.0,
M,392,JPN,360,IDN,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,489442.0,
M,392,JPN,364,IRN,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,11740.0,
M,392,JPN,380,ITA,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,24520.0,
M,392,JPN,484,MEX,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,393582.0,
M,392,JPN,490,S19,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,78120.0,
M,392,JPN,586,PAK,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,3017.0,
M,392,JPN,616,POL,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,68574.0,
M,392,JPN,699,IND,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,241438.0,
M,392,JPN,704,VNM,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,473276.0,
M,392,JPN,710,ZAF,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,1200.0,
M,392,JPN,724,ESP,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,68091.0,
M,392,JPN,752,SWE,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,2369.0,
M,392,JPN,764,THA,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,273145.0,
M,392,JPN,792,TUR,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,422031.0,
M,392,JPN,842,USA,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,269776.0,
M,392,JPN,0,W00,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,189639895.0,
M,392,JPN,32,ARG,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,106156.0,
