flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,392,JPN,156,CHN,1003,Barley,kg,325.556,3210.354
X,392,JPN,842,USA,1004,Oats,kg,1000.0,13929.369
X,392,JPN,764,THA,1005,Maize (corn),kg,1000.0,12190.428
X,392,JPN,704,VNM,1006,Rice,kg,101000.0,298125.957
X,392,JPN,702,SGP,1008,"Buckwheat, millet and canary seeds; other cereals",kg,7238.831,5163.319
X,392,JPN,842,USA,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,509.0,11958.569
X,392,JPN,757,CHE,1404,Vegetable products not elsewhere specified or included,kg,225.0,4565.837
X,392,JPN,826,GBR,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,35014.0,366863.203
X,392,JPN,0,W00,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,N/A,0.0,134050.115
X,392,JPN,484,MEX,2003,"Mushrooms and truffles, prepared or preserved other than by vinegar or acetic acid",kg,292.0,1961.883
X,392,JPN,620,PRT,2004,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading no. 2006",kg,780.0,16988.123
X,392,JPN,724,ESP,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,741.0,9015.744
X,392,JPN,702,SGP,2006,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glace or crystallised)",kg,2395.0,27038.315
X,392,JPN,344,HKG,2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",kg,89280.0,674700.481
X,392,JPN,764,THA,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.c., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,131606.0,821770.365
X,392,JPN,422,LBN,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,1430.0,28937.774
X,392,JPN,484,MEX,2501,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water,kg,13000.0,46407.451
X,392,JPN,360,IDN,2503,"Sulphur of all kinds; other than sublimed, precipitated and colloidal sulphur",kg,80133000.0,10782865.674
X,392,JPN,702,SGP,2504,Graphite; natural,kg,2830.005,32620.764
X,392,JPN,634,QAT,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",kg,8000.0,7044.943
X,392,JPN,826,GBR,2506,"Quartz; (other than natural sands), quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",kg,3921.587,13349.722
X,392,JPN,842,USA,2507,Kaolin and other kaolinic clays; whether or not calcined,kg,25321.169,9675.65
X,392,JPN,554,NZL,2508,"Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth",kg,20000.0,12538.216
X,392,JPN,608,PHL,2509,Chalk,kg,250000.0,43928.344
X,392,JPN,458,MYS,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",kg,3000.0,4316.143
X,392,JPN,764,THA,2512,"Siliceous fossil meals (e.g. kieselguhr, tripolite and diatomite) and similar siliceous earths; whether or not calcined, of an apparent specific gravity of 1 or less",kg,1026000.0,1041447.755
X,392,JPN,410,KOR,2513,"Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat treated",kg,17009207.0,5614124.393
X,392,JPN,410,KOR,2514,"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",kg,119000.0,97443.162
X,392,JPN,156,CHN,2515,"Marble, travertine, ecaussine and other calcareous stone; of an apparent specific gravity of less than 2.5, alabaster, whether cut by sawing etc, into blocks, slabs of a rectangular (square) shape",kg,480000.0,7704.85
X,392,JPN,608,PHL,2516,"Granite, porphyry, basalt, sandstone, other monumental and building stone, whether or not roughly trimmed, cut, by sawing etc, into blocks or slabs of a rectangular (including square) shape",kg,8251.941,2541.53
X,392,JPN,686,SEN,2517,"Pebbles, gravel, crushed stone for concrete aggregates for road or railway ballast, shingle or flint; macadam of slag, dross etc tarred granules, chippings, powder of stones of heading no. 2515 and 2516",kg,66000.0,14018.546
X,392,JPN,276,DEU,2518,"Dolomite, whether or not calcined or sintered; including dolomite roughly trimmed, or merely cut by sawing or otherwise into blocks or slabs of rectangular (including square) shape; dolomite ramming mix",kg,3000.0,35768.694
X,392,JPN,826,GBR,2519,"Natural magnesium carbonate (magnesite); fused magnesia; dead-burned (sintered) magnesia, whether or not containing small quantities of other oxides added before sintering; magnesium oxide, pure or not",kg,926900.173,2603169.047
X,392,JPN,156,CHN,2520,"Gypsum; anhydrite; plasters (consisting of calcined gypsum or calcium sulphate), coloured or not, with or without small quantities of accelerators or retarders",kg,1505666.09,1860203.955
X,392,JPN,598,PNG,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",kg,2400000.0,24256.008
X,392,JPN,276,DEU,2522,"Quicklime, slaked lime and hydraulic lime; other than calcium oxide and hydroxide of heading no. 2825",kg,100000.0,176266.27
X,392,JPN,842,USA,2523,"Portland cement, aluminous cement (ciment fondu), slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers",kg,1066000.0,747085.046
X,392,JPN,682,SAU,2525,"Mica, including splittings; mica waste",kg,10438.698,4012.942
X,392,JPN,586,PAK,2526,"Natural steatite; whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; talc",kg,119000.0,164566.313
X,392,JPN,344,HKG,2528,"Natural borates and concentrates thereof (whether or not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85 % of H3BO3 calculated on the dry weight",kg,3668.751,5858.896
X,392,JPN,842,USA,2529,Feldspar; leucite; nepheline and nepheline syenite; fluorspar,kg,5000.0,257925.191
X,392,JPN,458,MYS,2530,Mineral substances not elsewhere specified or included,kg,127000.0,101937.657
X,392,JPN,704,VNM,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",kg,9000.0,6955.767
X,392,JPN,0,W00,1003,Barley,kg,6115.03,60301.149
X,392,JPN,764,THA,1003,Barley,kg,5000.0,49305.687
X,392,JPN,446,MAC,1003,Barley,kg,220.655,2175.907
X,392,JPN,344,HKG,1003,Barley,kg,568.819,5609.202
X,392,JPN,410,KOR,1004,Oats,kg,3000.0,30159.492
X,392,JPN,0,W00,1004,Oats,kg,4000.0,44088.862
X,392,JPN,414,KWT,1005,Maize (corn),kg,182.882,2229.412
X,392,JPN,0,W00,1005,Maize (corn),kg,14116.363,16461.982
X,392,JPN,784,ARE,1005,Maize (corn),kg,12933.481,2042.142
X,392,JPN,702,SGP,1006,Rice,kg,2861000.0,5724462.476
X,392,JPN,699,IND,1006,Rice,kg,1000.0,4048.613
X,392,JPN,56,BEL,1006,Rice,kg,2087.136,2059.977
X,392,JPN,48,BHR,1006,Rice,kg,4000.0,16256.876
X,392,JPN,36,AUS,1006,Rice,kg,476000.0,1288912.543
X,392,JPN,0,W00,1006,Rice,kg,35540159.123,38850027.59
X,392,JPN,316,GUM,1006,Rice,kg,5000.0,55646.136
X,392,JPN,276,DEU,1006,Rice,kg,62000.0,233892.124
X,392,JPN,262,DJI,1006,Rice,kg,18000.0,60122.796
X,392,JPN,251,FRA,1006,Rice,kg,61000.0,236808.196
X,392,JPN,246,FIN,1006,Rice,kg,2000.0,8016.967
X,392,JPN,156,CHN,1006,Rice,kg,298000.0,868204.569
X,392,JPN,132,CPV,1006,Rice,kg,1075000.0,445873.582
X,392,JPN,124,CAN,1006,Rice,kg,92000.0,246653.281
X,392,JPN,116,KHM,1006,Rice,kg,1000.0,2095.648
X,392,JPN,104,MMR,1006,Rice,kg,250000.0,132730.303
X,392,JPN,100,BGR,1006,Rice,kg,5000.0,13804.522
X,392,JPN,686,SEN,1006,Rice,kg,1074000.0,426013.976
X,392,JPN,682,SAU,1006,Rice,kg,12000.0,26699.444
X,392,JPN,678,STP,1006,Rice,kg,3102000.0,1262302.275
X,392,JPN,643,RUS,1006,Rice,kg,78000.0,273388.396
X,392,JPN,634,QAT,1006,Rice,kg,16401.084,75363.06
X,392,JPN,620,PRT,1006,Rice,kg,1000.0,3611.648
X,392,JPN,608,PHL,1006,Rice,kg,123000.0,86385.276
X,392,JPN,585,PLW,1006,Rice,kg,2882.236,2844.73
X,392,JPN,562,NER,1006,Rice,kg,1825000.0,742171.421
X,392,JPN,554,NZL,1006,Rice,kg,11000.0,45078.721
X,392,JPN,528,NLD,1006,Rice,kg,105000.0,214041.435
X,392,JPN,496,MNG,1006,Rice,kg,203000.0,285471.812
X,392,JPN,490,S19,1006,Rice,kg,943000.0,3121355.853
X,392,JPN,480,MUS,1006,Rice,kg,3000.0,11592.945
X,392,JPN,478,MRT,1006,Rice,kg,2991000.0,1206950.422
X,392,JPN,466,MLI,1006,Rice,kg,4737000.0,1963077.965
X,392,JPN,462,MDV,1006,Rice,kg,1000.0,5011.719
X,392,JPN,458,MYS,1006,Rice,kg,259000.0,554820.512
X,392,JPN,446,MAC,1006,Rice,kg,38000.0,158529.064
X,392,JPN,384,CIV,1006,Rice,kg,16000.0,10692.262
X,392,JPN,380,ITA,1006,Rice,kg,4000.0,29945.469
X,392,JPN,376,ISR,1006,Rice,kg,3000.0,9104.921
X,392,JPN,360,IDN,1006,Rice,kg,72000.0,227730.028
X,392,JPN,344,HKG,1006,Rice,kg,4128000.0,9063649.766
X,392,JPN,332,HTI,1006,Rice,kg,2308000.0,912953.336
X,392,JPN,854,BFA,1006,Rice,kg,5242000.0,2630688.915
X,392,JPN,842,USA,1006,Rice,kg,986000.0,2853772.847
X,392,JPN,826,GBR,1006,Rice,kg,695000.0,1698856.913
X,392,JPN,784,ARE,1006,Rice,kg,18000.0,79616.779
X,392,JPN,768,TGO,1006,Rice,kg,887000.0,544306.603
X,392,JPN,764,THA,1006,Rice,kg,304000.0,499147.623
X,392,JPN,757,CHE,1006,Rice,kg,25000.0,103917.375
X,392,JPN,752,SWE,1006,Rice,kg,5000.0,53684.253
X,392,JPN,724,ESP,1006,Rice,kg,3000.0,24808.902
X,392,JPN,710,ZAF,1006,Rice,kg,4788.668,4726.354
X,392,JPN,496,MNG,1008,"Buckwheat, millet and canary seeds; other cereals",kg,53000.0,4521.249
X,392,JPN,490,S19,1008,"Buckwheat, millet and canary seeds; other cereals",kg,1000.0,18049.324
X,392,JPN,344,HKG,1008,"Buckwheat, millet and canary seeds; other cereals",kg,2000.0,37900.012
X,392,JPN,251,FRA,1008,"Buckwheat, millet and canary seeds; other cereals",kg,29792.977,21250.76
X,392,JPN,156,CHN,1008,"Buckwheat, millet and canary seeds; other cereals",kg,3000.0,10415.815
X,392,JPN,0,W00,1008,"Buckwheat, millet and canary seeds; other cereals",kg,115270.638,136029.833
X,392,JPN,842,USA,1008,"Buckwheat, millet and canary seeds; other cereals",kg,9000.0,27831.986
X,392,JPN,826,GBR,1008,"Buckwheat, millet and canary seeds; other cereals",kg,7238.831,5163.319
X,392,JPN,704,VNM,1008,"Buckwheat, millet and canary seeds; other cereals",kg,3000.0,5734.049
X,392,JPN,764,THA,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,7622.0,10870.615
X,392,JPN,490,S19,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,92.0,2844.73
X,392,JPN,410,KOR,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,18.0,3745.413
X,392,JPN,360,IDN,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,10596.0,126265.006
