flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,484,MEX,760,SYR,1001,Wheat and meslin,kg,3.0,2.0
M,484,MEX,842,USA,1002,Rye,kg,26762.0,20984.0
M,484,MEX,760,SYR,1003,Barley,kg,1.0,1.0
M,484,MEX,124,CAN,1004,Oats,kg,15119701.0,3490155.0
M,484,MEX,454,MWI,1005,Maize (corn),kg,3.0,1.0
M,484,MEX,0,W00,1006,Rice,kg,821769704.0,345413458.0
M,484,MEX,842,USA,1007,Grain sorghum,kg,2496911104.0,442175164.0
M,484,MEX,842,USA,1008,"Buckwheat, millet and canary seed; other cereals",kg,5853711.0,1992981.0
M,484,MEX,616,POL,1401,"Vegetable materials of a kind used primarily for plaiting; (egg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,12000.0,12680.0
M,484,MEX,818,EGY,1404,Vegetable products not elsewhere specified or included,kg,54552.0,83814.0
M,484,MEX,392,JPN,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,1708.0,13359.0
M,484,MEX,380,ITA,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,647811.0,664819.0
M,484,MEX,392,JPN,2003,"Mushrooms and truffles, prepared or preserved other than by vinegar or acetic acid",kg,711.0,6425.0
M,484,MEX,188,CRI,2004,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading no. 2006",kg,1.0,3.0
M,484,MEX,360,IDN,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,11.0,156.0
M,484,MEX,699,IND,2006,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glace or crystallised)",kg,326.0,540.0
M,484,MEX,300,GRC,2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",kg,3.0,22.0
M,484,MEX,704,VNM,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.c., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,83933.0,168309.0
M,484,MEX,862,VEN,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,2.0,29.0
M,484,MEX,530,ANT,2501,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water,kg,302070.0,92309.0
M,484,MEX,0,W00,2502,Iron pyrites; unroasted,kg,665786.0,411982.0
M,484,MEX,862,VEN,2503,"Sulphur of all kinds; other than sublimed, precipitated and colloidal sulphur",kg,15044846.0,15074.0
M,484,MEX,899,_X ,2504,Graphite; natural,kg,284.0,3737.0
M,484,MEX,380,ITA,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",kg,8593.0,17517.0
M,484,MEX,156,CHN,2506,"Quartz; (other than natural sands), quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",kg,309203.0,99754.0
M,484,MEX,842,USA,2507,Kaolin and other kaolinic clays; whether or not calcined,kg,344974272.0,45678724.0
M,484,MEX,528,NLD,2508,"Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth",kg,374800.0,281100.0
M,484,MEX,899,_X ,2509,Chalk,kg,1.0,5.0
M,484,MEX,152,CHL,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,kg,680.0,1490.0
M,484,MEX,724,ESP,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",kg,325.0,100.0
