flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,484,MEX,586,PAK,1001,Wheat and meslin,kg,230.0,23.0
X,484,MEX,579,NOR,1001,Wheat and meslin,kg,732.0,73.0
X,484,MEX,152,CHL,1001,Wheat and meslin,kg,9920140.0,2486549.0
X,484,MEX,32,ARG,1001,Wheat and meslin,kg,136.0,13.0
X,484,MEX,12,DZA,1001,Wheat and meslin,kg,610668621.0,149050239.0
X,484,MEX,0,W00,1001,Wheat and meslin,kg,1136316467.0,276340858.0
X,484,MEX,508,MOZ,1001,Wheat and meslin,kg,224.0,22.0
X,484,MEX,504,MAR,1001,Wheat and meslin,kg,113.0,11.0
X,484,MEX,434,LBY,1001,Wheat and meslin,kg,26360090.0,5958101.0
X,484,MEX,404,KEN,1001,Wheat and meslin,kg,107.0,11.0
X,484,MEX,398,KAZ,1001,Wheat and meslin,kg,110.0,11.0
X,484,MEX,380,ITA,1001,Wheat and meslin,kg,412111441.0,101279200.0
X,484,MEX,364,IRN,1001,Wheat and meslin,kg,421.0,42.0
X,484,MEX,320,GTM,1001,Wheat and meslin,kg,23616000.0,397905.0
X,484,MEX,231,ETH,1001,Wheat and meslin,kg,690.0,69.0
X,484,MEX,214,DOM,1001,Wheat and meslin,kg,25.0,43.0
X,484,MEX,192,CUB,1001,Wheat and meslin,kg,100.0,44.0
X,484,MEX,887,YEM,1001,Wheat and meslin,kg,68.0,7.0
X,484,MEX,862,VEN,1001,Wheat and meslin,kg,14313200.0,7296982.0
X,484,MEX,842,USA,1001,Wheat and meslin,kg,12922505.0,3082363.0
X,484,MEX,818,EGY,1001,Wheat and meslin,kg,353.0,35.0
X,484,MEX,792,TUR,1001,Wheat and meslin,kg,131.0,13.0
X,484,MEX,788,TUN,1001,Wheat and meslin,kg,16500000.0,4224000.0
X,484,MEX,760,SYR,1001,Wheat and meslin,kg,145.0,14.0
X,484,MEX,710,ZAF,1001,Wheat and meslin,kg,69.0,6.0
X,484,MEX,699,IND,1001,Wheat and meslin,kg,816.0,82.0
X,484,MEX,68,BOL,1003,Barley,kg,25.0,21.0
X,484,MEX,0,W00,1003,Barley,kg,82155.0,31457.0
X,484,MEX,842,USA,1003,Barley,kg,82030.0,31332.0
X,484,MEX,192,CUB,1004,Oats,kg,347.0,1579.0
X,484,MEX,0,W00,1004,Oats,kg,80632.0,9999.0
X,484,MEX,842,USA,1004,Oats,kg,80235.0,7984.0
X,484,MEX,320,GTM,1005,Maize (corn),kg,735947.0,1856302.0
X,484,MEX,276,DEU,1005,Maize (corn),kg,6624.0,22814.0
X,484,MEX,76,BRA,1005,Maize (corn),kg,50.0,11.0
X,484,MEX,40,AUT,1005,Maize (corn),kg,5592.0,12699.0
X,484,MEX,32,ARG,1005,Maize (corn),kg,4394.0,7614.0
X,484,MEX,0,W00,1005,Maize (corn),kg,289295537.0,87914752.0
X,484,MEX,251,FRA,1005,Maize (corn),kg,35760.0,81533.0
X,484,MEX,222,SLV,1005,Maize (corn),kg,718094.0,2340758.0
X,484,MEX,218,ECU,1005,Maize (corn),kg,75553.0,241716.0
X,484,MEX,214,DOM,1005,Maize (corn),kg,32.0,130.0
X,484,MEX,192,CUB,1005,Maize (corn),kg,23772.0,21682.0
X,484,MEX,188,CRI,1005,Maize (corn),kg,538675.0,227972.0
X,484,MEX,170,COL,1005,Maize (corn),kg,106480814.0,25549273.0
X,484,MEX,152,CHL,1005,Maize (corn),kg,24.0,66.0
X,484,MEX,124,CAN,1005,Maize (corn),kg,3901.0,6491.0
X,484,MEX,100,BGR,1005,Maize (corn),kg,1357.0,339.0
X,484,MEX,84,BLZ,1005,Maize (corn),kg,568.0,649.0
X,484,MEX,862,VEN,1005,Maize (corn),kg,172714805.0,50486359.0
X,484,MEX,842,USA,1005,Maize (corn),kg,7557477.0,5681655.0
X,484,MEX,826,GBR,1005,Maize (corn),kg,100.0,227.0
X,484,MEX,764,THA,1005,Maize (corn),kg,10.0,51.0
X,484,MEX,710,ZAF,1005,Maize (corn),kg,149.0,672.0
X,484,MEX,688,SRB,1005,Maize (corn),kg,307.0,77.0
X,484,MEX,604,PER,1005,Maize (corn),kg,294559.0,1189485.0
X,484,MEX,591,PAN,1005,Maize (corn),kg,36552.0,28900.0
X,484,MEX,586,PAK,1005,Maize (corn),kg,256.0,630.0
X,484,MEX,583,FSM,1005,Maize (corn),kg,17500.0,3943.0
X,484,MEX,558,NIC,1005,Maize (corn),kg,17205.0,60560.0
X,484,MEX,528,NLD,1005,Maize (corn),kg,212.0,53.0
X,484,MEX,392,JPN,1005,Maize (corn),kg,266.0,771.0
X,484,MEX,388,JAM,1005,Maize (corn),kg,15875.0,64000.0
X,484,MEX,380,ITA,1005,Maize (corn),kg,7.0,34.0
X,484,MEX,348,HUN,1005,Maize (corn),kg,2316.0,6079.0
X,484,MEX,276,DEU,1006,Rice,kg,10.0,3.0
X,484,MEX,222,SLV,1006,Rice,kg,24750.0,5500.0
X,484,MEX,192,CUB,1006,Rice,kg,67.0,182.0
X,484,MEX,124,CAN,1006,Rice,kg,55.0,36.0
X,484,MEX,84,BLZ,1006,Rice,kg,12080.0,9090.0
X,484,MEX,0,W00,1006,Rice,kg,7315396.0,3925546.0
X,484,MEX,862,VEN,1006,Rice,kg,3269.0,6526.0
X,484,MEX,842,USA,1006,Rice,kg,6091732.0,3248783.0
X,484,MEX,558,NIC,1006,Rice,kg,1068408.0,614988.0
X,484,MEX,528,NLD,1006,Rice,kg,20.0,19.0
X,484,MEX,0,W00,1007,Grain sorghum,kg,45200.0,28373.0
X,484,MEX,842,USA,1007,Grain sorghum,kg,39193.0,11986.0
X,484,MEX,724,ESP,1007,Grain sorghum,kg,4.0,120.0
X,484,MEX,392,JPN,1007,Grain sorghum,kg,3.0,1.0
X,484,MEX,0,W00,1008,"Buckwheat, millet and canary seed; other cereals",kg,14564.0,5995.0
X,484,MEX,842,USA,1008,"Buckwheat, millet and canary seed; other cereals",kg,9250.0,5095.0
X,484,MEX,757,CHE,1008,"Buckwheat, millet and canary seed; other cereals",kg,12.0,123.0
X,484,MEX,192,CUB,1008,"Buckwheat, millet and canary seed; other cereals",kg,5300.0,761.0
X,484,MEX,56,BEL,1401,"Vegetable materials of a kind used primarily for plaiting; (egg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,120.0,167.0
X,484,MEX,0,W00,1401,"Vegetable materials of a kind used primarily for plaiting; (egg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,1770732.0,1247478.0
X,484,MEX,842,USA,1401,"Vegetable materials of a kind used primarily for plaiting; (egg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,1770608.0,1247188.0
X,484,MEX,300,GRC,1404,Vegetable products not elsewhere specified or included,kg,10.0,3.0
X,484,MEX,862,VEN,1404,Vegetable products not elsewhere specified or included,kg,3440.0,18335.0
X,484,MEX,56,BEL,1404,Vegetable products not elsewhere specified or included,kg,61958.0,314595.0
X,484,MEX,40,AUT,1404,Vegetable products not elsewhere specified or included,kg,71.0,256.0
X,484,MEX,32,ARG,1404,Vegetable products not elsewhere specified or included,kg,9300.0,49446.0
X,484,MEX,0,W00,1404,Vegetable products not elsewhere specified or included,kg,13325211.0,22039789.0
X,484,MEX,276,DEU,1404,Vegetable products not elsewhere specified or included,kg,149420.0,622953.0
X,484,MEX,251,FRA,1404,Vegetable products not elsewhere specified or included,kg,1600.0,7680.0
X,484,MEX,208,DNK,1404,Vegetable products not elsewhere specified or included,kg,18000.0,89850.0
X,484,MEX,192,CUB,1404,Vegetable products not elsewhere specified or included,kg,20000.0,8980.0
X,484,MEX,188,CRI,1404,Vegetable products not elsewhere specified or included,kg,61.0,1284.0
X,484,MEX,156,CHN,1404,Vegetable products not elsewhere specified or included,kg,162800.0,712244.0
X,484,MEX,152,CHL,1404,Vegetable products not elsewhere specified or included,kg,3520.0,20532.0
X,484,MEX,144,LKA,1404,Vegetable products not elsewhere specified or included,kg,13100.0,61570.0
X,484,MEX,124,CAN,1404,Vegetable products not elsewhere specified or included,kg,18548.0,24378.0
X,484,MEX,84,BLZ,1404,Vegetable products not elsewhere specified or included,kg,11740.0,19126.0
X,484,MEX,76,BRA,1404,Vegetable products not elsewhere specified or included,kg,6000.0,31290.0
X,484,MEX,842,USA,1404,Vegetable products not elsewhere specified or included,kg,12280195.0,17974554.0
