flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,566,NGA,0,W00,1001,Wheat and meslin,kg,1323170302.0,
M,566,NGA,4,AFG,1001,Wheat and meslin,kg,272.0,
M,566,NGA,8,ALB,1001,Wheat and meslin,kg,223627073.0,
M,566,NGA,12,DZA,1001,Wheat and meslin,kg,41736642.0,
M,566,NGA,20,AND,1001,Wheat and meslin,kg,130.0,
M,566,NGA,28,ATG,1001,Wheat and meslin,kg,38405161.0,
M,566,NGA,32,ARG,1001,Wheat and meslin,kg,51463000.0,
M,566,NGA,36,AUS,1001,Wheat and meslin,kg,144938.0,
M,566,NGA,40,AUT,1001,Wheat and meslin,kg,56797.0,
M,566,NGA,50,BGD,1001,Wheat and meslin,kg,71580.0,
M,566,NGA,52,BRB,1001,Wheat and meslin,kg,2777945.0,
M,566,NGA,56,BEL,1001,Wheat and meslin,kg,90417.0,
M,566,NGA,76,BRA,1001,Wheat and meslin,kg,11725.0,
M,566,NGA,84,BLZ,1001,Wheat and meslin,kg,683453979.0,
M,566,NGA,124,CAN,1001,Wheat and meslin,kg,10176000.0,
M,566,NGA,156,CHN,1001,Wheat and meslin,kg,263043.0,
M,566,NGA,196,CYP,1001,Wheat and meslin,kg,29167408.0,
M,566,NGA,234,FRO,1001,Wheat and meslin,kg,15417.0,
M,566,NGA,251,FRA,1001,Wheat and meslin,kg,15613160.0,
M,566,NGA,276,DEU,1001,Wheat and meslin,kg,7707268.0,
M,566,NGA,300,GRC,1001,Wheat and meslin,kg,17847.0,
M,566,NGA,344,HKG,1001,Wheat and meslin,kg,5715.0,
M,566,NGA,380,ITA,1001,Wheat and meslin,kg,10000.0,
M,566,NGA,428,LVA,1001,Wheat and meslin,kg,10150000.0,
M,566,NGA,490,S19,1001,Wheat and meslin,kg,5136060.0,
M,566,NGA,570,NIU,1001,Wheat and meslin,kg,1000.0,
M,566,NGA,586,PAK,1001,Wheat and meslin,kg,1000.0,
M,566,NGA,616,POL,1001,Wheat and meslin,kg,506543.0,
M,566,NGA,624,GNB,1001,Wheat and meslin,kg,2000.0,
M,566,NGA,642,ROU,1001,Wheat and meslin,kg,747045.0,
M,566,NGA,643,RUS,1001,Wheat and meslin,kg,5565320.0,
M,566,NGA,702,SGP,1001,Wheat and meslin,kg,36794.0,
M,566,NGA,710,ZAF,1001,Wheat and meslin,kg,4626.0,
M,566,NGA,757,CHE,1001,Wheat and meslin,kg,5091.0,
M,566,NGA,792,TUR,1001,Wheat and meslin,kg,8269.0,
M,566,NGA,804,UKR,1001,Wheat and meslin,kg,5995750.0,
M,566,NGA,826,GBR,1001,Wheat and meslin,kg,38110.0,
M,566,NGA,842,USA,1001,Wheat and meslin,kg,182947235.0,
M,566,NGA,858,URY,1001,Wheat and meslin,kg,7209942.0,
M,566,NGA,0,W00,1004,Oats,kg,3214.0,
M,566,NGA,251,FRA,1004,Oats,kg,3214.0,
M,566,NGA,0,W00,1005,Maize (corn),kg,162154.0,
M,566,NGA,8,ALB,1005,Maize (corn),kg,1.0,
M,566,NGA,32,ARG,1005,Maize (corn),kg,5382.0,
M,566,NGA,84,BLZ,1005,Maize (corn),kg,7000.0,
M,566,NGA,528,NLD,1005,Maize (corn),kg,100.0,
M,566,NGA,699,IND,1005,Maize (corn),kg,46500.0,
M,566,NGA,710,ZAF,1005,Maize (corn),kg,96597.0,
M,566,NGA,760,SYR,1005,Maize (corn),kg,3950.0,
M,566,NGA,842,USA,1005,Maize (corn),kg,2624.0,
M,566,NGA,0,W00,1006,Rice,kg,398092872.0,
M,566,NGA,4,AFG,1006,Rice,kg,37505.0,
M,566,NGA,8,ALB,1006,Rice,kg,87799.0,
M,566,NGA,12,DZA,1006,Rice,kg,598350.0,
M,566,NGA,28,ATG,1006,Rice,kg,59234.0,
M,566,NGA,52,BRB,1006,Rice,kg,2000.0,
M,566,NGA,56,BEL,1006,Rice,kg,974087.0,
M,566,NGA,76,BRA,1006,Rice,kg,286341886.0,
M,566,NGA,84,BLZ,1006,Rice,kg,11918053.0,
M,566,NGA,104,MMR,1006,Rice,kg,636341.0,
M,566,NGA,156,CHN,1006,Rice,kg,1421644.0,
M,566,NGA,266,GAB,1006,Rice,kg,15.0,
M,566,NGA,276,DEU,1006,Rice,kg,680.0,
M,566,NGA,344,HKG,1006,Rice,kg,55990.0,
M,566,NGA,380,ITA,1006,Rice,kg,61925.0,
M,566,NGA,392,JPN,1006,Rice,kg,3500.0,
M,566,NGA,490,S19,1006,Rice,kg,382305.0,
M,566,NGA,530,ANT,1006,Rice,kg,1575.0,
M,566,NGA,570,NIU,1006,Rice,kg,20050.0,
M,566,NGA,586,PAK,1006,Rice,kg,1708151.0,
M,566,NGA,616,POL,1006,Rice,kg,291025.0,
M,566,NGA,634,QAT,1006,Rice,kg,6850.0,
M,566,NGA,642,ROU,1006,Rice,kg,17162.0,
M,566,NGA,699,IND,1006,Rice,kg,402879.0,
M,566,NGA,702,SGP,1006,Rice,kg,1032510.0,
M,566,NGA,704,VNM,1006,Rice,kg,2559001.0,
M,566,NGA,710,ZAF,1006,Rice,kg,424310.0,
M,566,NGA,760,SYR,1006,Rice,kg,4873680.0,
M,566,NGA,764,THA,1006,Rice,kg,43171604.0,
M,566,NGA,772,TKL,1006,Rice,kg,3000.0,
M,566,NGA,784,ARE,1006,Rice,kg,5907851.0,
M,566,NGA,788,TUN,1006,Rice,kg,37931.0,
M,566,NGA,792,TUR,1006,Rice,kg,17335573.0,
M,566,NGA,804,UKR,1006,Rice,kg,130361.0,
M,566,NGA,826,GBR,1006,Rice,kg,14649.0,
M,566,NGA,842,USA,1006,Rice,kg,16993203.0,
M,566,NGA,858,URY,1006,Rice,kg,580193.0,
M,566,NGA,0,W00,1008,"Buckwheat, millet and canary seed; other cereals",kg,5000.0,
M,566,NGA,4,AFG,1008,"Buckwheat, millet and canary seed; other cereals",kg,5000.0,
M,566,NGA,0,W00,1404,Vegetable products not elsewhere specified or included,kg,88101.0,
M,566,NGA,8,ALB,1404,Vegetable products not elsewhere specified or included,kg,17792.0,
M,566,NGA,52,BRB,1404,Vegetable products not elsewhere specified or included,kg,25460.0,
M,566,NGA,84,BLZ,1404,Vegetable products not elsewhere specified or included,kg,64.0,
M,566,NGA,344,HKG,1404,Vegetable products not elsewhere specified or included,kg,20000.0,
M,566,NGA,699,IND,1404,Vegetable products not elsewhere specified or included,kg,24785.0,
M,566,NGA,0,W00,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,410526.0,
M,566,NGA,4,AFG,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,68451.0,
M,566,NGA,52,BRB,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,16500.0,
M,566,NGA,380,ITA,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,44505.0,
M,566,NGA,422,LBN,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,20680.0,
M,566,NGA,528,NLD,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,10372.0,
M,566,NGA,699,IND,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,86628.0,
