flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,554,NZL,760,SYR,1001,Wheat and meslin,kg,1949.0,
M,554,NZL,124,CAN,1002,Rye,kg,381550.0,
M,554,NZL,490,S19,1003,Barley,kg,17495.0,
M,554,NZL,124,CAN,1004,Oats,kg,52076.0,
M,554,NZL,899,_X ,1005,Maize (corn),kg,252.0,
M,554,NZL,699,IND,1006,Rice,kg,2448320.0,
M,554,NZL,699,IND,1007,Grain sorghum,kg,174.0,
M,554,NZL,276,DEU,1008,"Buckwheat, millet and canary seed; other cereals",kg,1639.0,
M,554,NZL,608,PHL,1401,"Vegetable materials of a kind used primarily for plaiting; (egg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,2044.0,
M,554,NZL,702,SGP,1404,Vegetable products not elsewhere specified or included,kg,5.0,
M,554,NZL,826,GBR,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,30944.0,
M,554,NZL,643,RUS,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,24.0,
M,554,NZL,251,FRA,2003,"Mushrooms and truffles, prepared or preserved other than by vinegar or acetic acid",kg,222.0,
M,554,NZL,704,VNM,2004,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading no. 2006",kg,2034.0,
M,554,NZL,699,IND,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,110132.0,
M,554,NZL,643,RUS,2006,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glace or crystallised)",kg,2.0,
M,554,NZL,764,THA,2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",kg,5684.0,
M,554,NZL,682,SAU,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.c., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,352.0,
M,554,NZL,699,IND,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,133425.0,
M,554,NZL,56,BEL,2501,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water,kg,1470.0,
M,554,NZL,842,USA,2502,Iron pyrites; unroasted,kg,20658.0,
M,554,NZL,458,MYS,2503,"Sulphur of all kinds; other than sublimed, precipitated and colloidal sulphur",kg,54570.0,
M,554,NZL,699,IND,2504,Graphite; natural,kg,4210.0,
M,554,NZL,842,USA,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",kg,47140.0,
M,554,NZL,0,W00,2506,"Quartz; (other than natural sands), quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",kg,409338.0,
M,554,NZL,699,IND,2507,Kaolin and other kaolinic clays; whether or not calcined,kg,235973.0,
M,554,NZL,360,IDN,2508,"Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth",kg,21210.0,
M,554,NZL,490,S19,2509,Chalk,kg,358.0,
M,554,NZL,504,MAR,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,kg,216203080.0,
M,554,NZL,764,THA,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",kg,376142.0,
M,554,NZL,842,USA,2512,"Siliceous fossil meals (egg kieselguhr, tripolite and diatomite) and similar siliceous earths; whether or not calcined, of an apparent specific gravity of 1 or less",kg,1250876.0,
M,554,NZL,899,_X ,2513,"Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat treated",kg,63.0,
M,554,NZL,56,BEL,2514,"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",kg,698.0,
M,554,NZL,0,W00,2515,"Marble, travertine, ecaussine and other calcareous stone; of an apparent specific gravity of less than 2.5, alabaster, whether cut by sawing etc, into blocks, slabs of a rectangular (square) shape",kg,134215.0,
M,554,NZL,699,IND,2516,"Granite, porphyry, basalt, sandstone, other monumental and building stone, whether or not roughly trimmed, cut, by sawing etc, into blocks or slabs of a rectangular (including square) shape",kg,263590.0,
M,554,NZL,360,IDN,2517,"Pebbles, gravel, crushed stone for concrete aggregates for road or railway ballast, shingle or flint; macadam of slag, dross etc tarred granules, chippings, powder of stones of heading no. 2515 and 2516",kg,26985.0,
M,554,NZL,528,NLD,2518,"Dolomite, whether or not calcined or sintered; including dolomite roughly trimmed, or merely cut by sawing or otherwise into blocks or slabs of rectangular (including square) shape; dolomite ramming mix",kg,5100.0,
M,554,NZL,392,JPN,2519,"Natural magnesium carbonate (magnesite); fused magnesia; dead-burned (sintered) magnesia, whether or not containing small quantities of other oxides added before sintering; magnesium oxide, pure or not",kg,54124.0,
M,554,NZL,344,HKG,2520,"Gypsum; anhydrite; plasters (consisting of calcined gypsum or calcium sulphate), coloured or not, with or without small quantities of accelerators or retarders",kg,546.0,
M,554,NZL,826,GBR,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",kg,38.0,
M,554,NZL,842,USA,2522,"Quicklime, slaked lime and hydraulic lime; other than calcium oxide and hydroxide of heading no. 2825",kg,1954.0,
M,554,NZL,360,IDN,2523,"Portland cement, aluminous cement (ciment fondu), slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers",kg,4262800.0,
M,554,NZL,0,W00,2525,"Mica, including splittings; mica waste",kg,228195.0,
M,554,NZL,276,DEU,2526,"Natural steatite; whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; talc",kg,15.0,
M,554,NZL,591,PAN,2528,"Natural borates and concentrates thereof (whether calcined), but not including borates separated from natural brine; natural boric acid containing not less than 85% of H3Bo3, calculated on the dry weight",kg,133080.0,
M,554,NZL,699,IND,2529,Feldspar; leucite; nepheline and nepheline syenite; fluorspar,kg,66634.0,
M,554,NZL,710,ZAF,2530,Mineral substances not elsewhere specified or included,kg,172309.0,
M,554,NZL,410,KOR,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",kg,22851.0,
M,554,NZL,699,IND,1001,Wheat and meslin,kg,15179.0,
M,554,NZL,682,SAU,1001,Wheat and meslin,kg,21.0,
M,554,NZL,422,LBN,1001,Wheat and meslin,kg,3469.0,
M,554,NZL,124,CAN,1001,Wheat and meslin,kg,1040785.0,
M,554,NZL,36,AUS,1001,Wheat and meslin,kg,259546647.0,
M,554,NZL,0,W00,1001,Wheat and meslin,kg,260617650.0,
M,554,NZL,826,GBR,1001,Wheat and meslin,kg,9600.0,
M,554,NZL,0,W00,1002,Rye,kg,381550.0,
M,554,NZL,458,MYS,1003,Barley,kg,2166.0,
M,554,NZL,410,KOR,1003,Barley,kg,26752.0,
M,554,NZL,276,DEU,1003,Barley,kg,1025.0,
M,554,NZL,156,CHN,1003,Barley,kg,9918.0,
