flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,554,NZL,0,W00,1001,Wheat and meslin,kg,136595.0,150013.164
X,554,NZL,36,AUS,1001,Wheat and meslin,kg,22801.0,57482.801
X,554,NZL,184,COK,1001,Wheat and meslin,kg,12.0,327.998
X,554,NZL,528,NLD,1001,Wheat and meslin,kg,75000.0,55378.499
X,554,NZL,540,NCL,1001,Wheat and meslin,kg,1260.0,1324.063
X,554,NZL,598,PNG,1001,Wheat and meslin,kg,12.0,90.874
X,554,NZL,702,SGP,1001,Wheat and meslin,kg,36600.0,34358.197
X,554,NZL,776,TON,1001,Wheat and meslin,kg,10.0,46.857
X,554,NZL,842,USA,1001,Wheat and meslin,kg,900.0,1003.874
X,554,NZL,0,W00,1002,Rye,kg,100825.0,81193.116
X,554,NZL,392,JPN,1002,Rye,kg,100825.0,81193.116
X,554,NZL,0,W00,1003,Barley,N/A,0.0,85990.982
X,554,NZL,32,ARG,1003,Barley,kg,1227.0,1157.224
X,554,NZL,90,SLB,1003,Barley,kg,24.0,46.857
X,554,NZL,208,DNK,1003,Barley,kg,11196.0,4614.697
X,554,NZL,246,FIN,1003,Barley,kg,2002.0,1422.037
X,554,NZL,251,FRA,1003,Barley,kg,2330.0,937.139
X,554,NZL,276,DEU,1003,Barley,kg,27384.0,13754.638
X,554,NZL,392,JPN,1003,Barley,kg,34000.0,23258.075
X,554,NZL,458,MYS,1003,Barley,kg,300.0,330.838
X,554,NZL,585,PLW,1003,Barley,kg,1.0,2.13
X,554,NZL,826,GBR,1003,Barley,N/A,0.0,40467.347
X,554,NZL,0,W00,1004,Oats,kg,75018.0,111588.353
X,554,NZL,36,AUS,1004,Oats,kg,104.0,1393.639
X,554,NZL,242,FJI,1004,Oats,kg,119.0,333.678
X,554,NZL,344,HKG,1004,Oats,kg,69739.0,103594.988
X,554,NZL,702,SGP,1004,Oats,kg,81.0,259.133
X,554,NZL,842,USA,1004,Oats,kg,10.0,763.91
X,554,NZL,858,URY,1004,Oats,kg,4920.0,4976.064
X,554,NZL,882,WSM,1004,Oats,kg,45.0,266.942
X,554,NZL,0,W00,1005,Maize (corn),kg,2430999.0,13166409.049
X,554,NZL,16,ASM,1005,Maize (corn),kg,8.0,54.666
X,554,NZL,36,AUS,1005,Maize (corn),kg,183927.0,639518.968
X,554,NZL,156,CHN,1005,Maize (corn),kg,4533.0,13560.111
X,554,NZL,184,COK,1005,Maize (corn),kg,438.0,5281.344
X,554,NZL,242,FJI,1005,Maize (corn),kg,4005.0,5817.359
X,554,NZL,251,FRA,1005,Maize (corn),kg,137550.0,1981752.701
X,554,NZL,258,PYF,1005,Maize (corn),kg,402.0,3242.357
X,554,NZL,276,DEU,1005,Maize (corn),kg,14561.0,172986.548
X,554,NZL,344,HKG,1005,Maize (corn),kg,18.0,73.125
X,554,NZL,348,HUN,1005,Maize (corn),kg,756.0,8536.48
X,554,NZL,392,JPN,1005,Maize (corn),kg,456588.0,1093209.041
X,554,NZL,458,MYS,1005,Maize (corn),kg,224.0,1746.485
X,554,NZL,528,NLD,1005,Maize (corn),kg,92589.0,1702670.0
X,554,NZL,540,NCL,1005,Maize (corn),kg,423384.0,173193.144
X,554,NZL,548,VUT,1005,Maize (corn),kg,58.0,230.735
X,554,NZL,570,NIU,1005,Maize (corn),kg,119.0,3567.516
X,554,NZL,574,NFK,1005,Maize (corn),kg,35.0,107.203
X,554,NZL,583,FSM,1005,Maize (corn),kg,4.0,51.827
X,554,NZL,585,PLW,1005,Maize (corn),kg,4.0,12.069
X,554,NZL,598,PNG,1005,Maize (corn),kg,5.0,26.978
X,554,NZL,643,RUS,1005,Maize (corn),kg,179356.0,671308.554
X,554,NZL,702,SGP,1005,Maize (corn),kg,4144.0,9683.765
X,554,NZL,710,ZAF,1005,Maize (corn),kg,898.0,13290.329
X,554,NZL,757,CHE,1005,Maize (corn),kg,897966.0,6117471.512
X,554,NZL,776,TON,1005,Maize (corn),kg,4.0,35.498
X,554,NZL,842,USA,1005,Maize (corn),kg,27128.0,541647.625
X,554,NZL,876,WLF,1005,Maize (corn),kg,758.0,2283.92
X,554,NZL,882,WSM,1005,Maize (corn),kg,1537.0,5049.189
X,554,NZL,0,W00,1006,Rice,kg,86207.0,142553.683
X,554,NZL,36,AUS,1006,Rice,kg,39763.0,38542.663
X,554,NZL,90,SLB,1006,Rice,kg,1730.0,5473.031
X,554,NZL,184,COK,1006,Rice,kg,13993.0,27913.24
X,554,NZL,242,FJI,1006,Rice,kg,7233.0,9036.997
X,554,NZL,258,PYF,1006,Rice,kg,7.0,43.307
X,554,NZL,288,GHA,1006,Rice,kg,175.0,208.726
X,554,NZL,446,MAC,1006,Rice,kg,292.0,1348.202
X,554,NZL,462,MDV,1006,Rice,kg,2.0,6.39
X,554,NZL,540,NCL,1006,Rice,kg,2088.0,10583.986
X,554,NZL,548,VUT,1006,Rice,kg,3452.0,10430.636
X,554,NZL,570,NIU,1006,Rice,kg,6617.0,18893.281
X,554,NZL,574,NFK,1006,Rice,kg,938.0,3952.311
X,554,NZL,583,FSM,1006,Rice,kg,60.0,81.645
X,554,NZL,584,MHL,1006,Rice,kg,24.0,36.208
X,554,NZL,585,PLW,1006,Rice,kg,92.0,561.573
X,554,NZL,598,PNG,1006,Rice,kg,8.0,38.337
X,554,NZL,702,SGP,1006,Rice,kg,24.0,117.142
X,554,NZL,776,TON,1006,Rice,kg,3840.0,4785.796
X,554,NZL,882,WSM,1006,Rice,kg,5869.0,10500.212
X,554,NZL,0,W00,1007,Grain sorghum,kg,1275.0,12520.029
X,554,NZL,156,CHN,1007,Grain sorghum,kg,933.0,7193.958
X,554,NZL,344,HKG,1007,Grain sorghum,kg,342.0,5326.071
X,554,NZL,0,W00,1008,"Buckwheat, millet and canary seeds; other cereals",kg,79951.4,155285.278
X,554,NZL,36,AUS,1008,"Buckwheat, millet and canary seeds; other cereals",kg,14523.0,37392.538
X,554,NZL,90,SLB,1008,"Buckwheat, millet and canary seeds; other cereals",kg,345.0,1092.618
X,554,NZL,156,CHN,1008,"Buckwheat, millet and canary seeds; other cereals",kg,210.0,2716.282
X,554,NZL,184,COK,1008,"Buckwheat, millet and canary seeds; other cereals",kg,969.0,3893.385
X,554,NZL,242,FJI,1008,"Buckwheat, millet and canary seeds; other cereals",kg,567.4,2635.347
X,554,NZL,344,HKG,1008,"Buckwheat, millet and canary seeds; other cereals",kg,2695.0,28065.88
X,554,NZL,392,JPN,1008,"Buckwheat, millet and canary seeds; other cereals",kg,58860.0,60215.412
X,554,NZL,446,MAC,1008,"Buckwheat, millet and canary seeds; other cereals",kg,175.0,867.563
X,554,NZL,458,MYS,1008,"Buckwheat, millet and canary seeds; other cereals",kg,60.0,115.012
