flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,608,PHL,410,KOR,1005,Maize (corn),kg,399240.0,39979.0
X,608,PHL,398,KAZ,1006,Rice,kg,108000.0,127131.0
X,608,PHL,392,JPN,1401,"Vegetable materials of a kind used primarily for plaiting; (eg bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,36358.0,4047.0
X,608,PHL,300,GRC,1404,Vegetable products not elsewhere specified or included,kg,372.0,128.0
X,608,PHL,422,LBN,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,1075.0,1805.0
X,608,PHL,490,S19,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,655.0,807.0
X,608,PHL,842,USA,2003,"Mushrooms and truffles, prepared or preserved other than by vinegar or acetic acid",kg,19473.0,12315.0
X,608,PHL,585,PLW,2004,"Vegetables preparations n.e.s.; prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading no. 2006",kg,249.0,400.0
X,608,PHL,842,USA,2005,"Vegetables preparations n.e.s.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,637868.0,861966.0
X,608,PHL,842,USA,2006,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glace or crystallised)",kg,3241.0,3582.0
X,608,PHL,757,CHE,2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",kg,51.0,61.0
X,608,PHL,887,YEM,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.s., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,296500.0,201110.0
X,608,PHL,36,AUS,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,3711289.0,3203819.0
X,608,PHL,458,MYS,2501,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water,kg,50.0,38.0
X,608,PHL,710,ZAF,2503,"Sulphur of all kinds; other than sublimed, precipitated and colloidal sulphur",kg,40128.0,12400.0
X,608,PHL,764,THA,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",kg,695428.0,16520.0
X,608,PHL,764,THA,2508,"Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth",kg,12700.0,12625.0
X,608,PHL,156,CHN,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,kg,207.0,200.0
X,608,PHL,0,W00,2513,"Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat treated",kg,1799091.0,119361.0
X,608,PHL,392,JPN,2515,"Marble, travertine, ecaussine and other calcareous stone; of an apparent specific gravity of less than 2.5, alabaster, whether cut by sawing etc, into blocks, slabs of a rectangular (square) shape",kg,23486.0,31305.0
X,608,PHL,344,HKG,2516,"Granite, porphyry, basalt, sandstone, other monumental and building stone, whether or not roughly trimmed, cut, by sawing etc, into blocks or slabs of a rectangular (including square) shape",kg,35.0,169.0
X,608,PHL,392,JPN,2517,"Pebbles, gravel, crushed stone for concrete aggregates for road or railway ballast, shingle or flint; macadam of slag, dross etc tarred granules, chippings, powder of stones of heading no. 2515 and 2516",kg,21614447.0,1638814.0
X,608,PHL,458,MYS,2518,"Dolomite, whether or not calcined or sintered; including dolomite roughly trimmed, or merely cut by sawing or otherwise into blocks or slabs of rectangular (including square) shape; dolomite ramming mix",kg,12000000.0,360000.0
X,608,PHL,704,VNM,2520,"Gypsum; anhydrite; plasters (consisting of calcined gypsum or calcium sulphate), coloured or not, with or without small quantities of accelerators or retarders",kg,40000.0,1080.0
X,608,PHL,842,USA,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",kg,600.0,389.0
X,608,PHL,344,HKG,2523,"Portland cement, aluminous cement (ciment fondu), slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers",kg,476000.0,35700.0
X,608,PHL,490,S19,2530,Mineral substances not elsewhere specified or included,kg,2488244.0,266900.0
X,608,PHL,764,THA,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",kg,724033349.0,28246514.0
X,608,PHL,392,JPN,1005,Maize (corn),kg,7600.0,42351.0
