flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,643,RUS,0,W00,1001,Wheat and meslin,kg,271058727.92,
M,643,RUS,40,AUT,1001,Wheat and meslin,kg,29520.0,
M,643,RUS,112,BLR,1001,Wheat and meslin,kg,263700.0,
M,643,RUS,156,CHN,1001,Wheat and meslin,kg,4.0,
M,643,RUS,203,CZE,1001,Wheat and meslin,kg,130546.0,
M,643,RUS,251,FRA,1001,Wheat and meslin,kg,6903.0,
M,643,RUS,276,DEU,1001,Wheat and meslin,kg,170221.0,
M,643,RUS,348,HUN,1001,Wheat and meslin,kg,60006.4,
M,643,RUS,380,ITA,1001,Wheat and meslin,kg,60600.0,
M,643,RUS,398,KAZ,1001,Wheat and meslin,kg,127757960.0,
M,643,RUS,440,LTU,1001,Wheat and meslin,kg,731825.0,
M,643,RUS,616,POL,1001,Wheat and meslin,kg,1008486.0,
M,643,RUS,688,SRB,1001,Wheat and meslin,kg,2000.0,
M,643,RUS,705,SVN,1001,Wheat and meslin,kg,3466.52,
M,643,RUS,792,TUR,1001,Wheat and meslin,kg,18000.0,
M,643,RUS,804,UKR,1001,Wheat and meslin,kg,140806990.0,
M,643,RUS,826,GBR,1001,Wheat and meslin,kg,8500.0,
M,643,RUS,0,W00,1002,Rye,kg,635689.11,
M,643,RUS,112,BLR,1002,Rye,kg,49000.0,
M,643,RUS,276,DEU,1002,Rye,kg,24610.3,
M,643,RUS,398,KAZ,1002,Rye,kg,562024.0,
M,643,RUS,705,SVN,1002,Rye,kg,54.81,
M,643,RUS,0,W00,1003,Barley,kg,168632026.35,
M,643,RUS,40,AUT,1003,Barley,kg,2580.0,
M,643,RUS,56,BEL,1003,Barley,kg,4200.0,
M,643,RUS,112,BLR,1003,Barley,kg,154970.0,
M,643,RUS,203,CZE,1003,Barley,kg,28935.35,
M,643,RUS,208,DNK,1003,Barley,kg,49074380.0,
M,643,RUS,246,FIN,1003,Barley,kg,26831618.0,
M,643,RUS,251,FRA,1003,Barley,kg,172522.0,
M,643,RUS,276,DEU,1003,Barley,kg,131700.0,
M,643,RUS,398,KAZ,1003,Barley,kg,6294440.0,
M,643,RUS,440,LTU,1003,Barley,kg,70381.0,
M,643,RUS,616,POL,1003,Barley,kg,20000.0,
M,643,RUS,724,ESP,1003,Barley,kg,3000.0,
M,643,RUS,752,SWE,1003,Barley,kg,37503490.0,
M,643,RUS,804,UKR,1003,Barley,kg,48339810.0,
M,643,RUS,0,W00,1004,Oats,kg,5596861.87,
M,643,RUS,40,AUT,1004,Oats,kg,10020.0,
M,643,RUS,112,BLR,1004,Oats,kg,4000.0,
M,643,RUS,246,FIN,1004,Oats,kg,524312.0,
M,643,RUS,276,DEU,1004,Oats,kg,19000.0,
M,643,RUS,380,ITA,1004,Oats,kg,494.37,
M,643,RUS,398,KAZ,1004,Oats,kg,5038984.0,
M,643,RUS,705,SVN,1004,Oats,kg,51.5,
M,643,RUS,0,W00,1005,Maize (corn),kg,52639799.67,
M,643,RUS,32,ARG,1005,Maize (corn),kg,973830.55,
M,643,RUS,40,AUT,1005,Maize (corn),kg,804428.2,
M,643,RUS,76,BRA,1005,Maize (corn),kg,375200.0,
M,643,RUS,112,BLR,1005,Maize (corn),kg,33180.0,
M,643,RUS,152,CHL,1005,Maize (corn),kg,41306.8,
M,643,RUS,156,CHN,1005,Maize (corn),kg,103000.0,
M,643,RUS,191,HRV,1005,Maize (corn),kg,23112.0,
M,643,RUS,251,FRA,1005,Maize (corn),kg,12620427.65,
M,643,RUS,268,GEO,1005,Maize (corn),kg,222498.0,
M,643,RUS,276,DEU,1005,Maize (corn),kg,193365.97,
M,643,RUS,348,HUN,1005,Maize (corn),kg,15107414.6,
M,643,RUS,398,KAZ,1005,Maize (corn),kg,87594.0,
M,643,RUS,484,MEX,1005,Maize (corn),kg,1.95,
M,643,RUS,498,MDA,1005,Maize (corn),kg,271923.7,
M,643,RUS,554,NZL,1005,Maize (corn),kg,176045.05,
M,643,RUS,616,POL,1005,Maize (corn),kg,147982.4,
M,643,RUS,642,ROU,1005,Maize (corn),kg,8073340.7,
M,643,RUS,688,SRB,1005,Maize (corn),kg,4375184.9,
M,643,RUS,703,SVK,1005,Maize (corn),kg,580614.5,
M,643,RUS,710,ZAF,1005,Maize (corn),kg,400192.4,
M,643,RUS,724,ESP,1005,Maize (corn),kg,985968.4,
M,643,RUS,792,TUR,1005,Maize (corn),kg,137527.9,
M,643,RUS,804,UKR,1005,Maize (corn),kg,6905660.0,
M,643,RUS,0,W00,1006,Rice,kg,243607005.05,
M,643,RUS,36,AUS,1006,Rice,kg,453600.0,
M,643,RUS,40,AUT,1006,Rice,kg,277.75,
M,643,RUS,104,MMR,1006,Rice,kg,25495000.0,
M,643,RUS,112,BLR,1006,Rice,kg,37080.0,
M,643,RUS,116,KHM,1006,Rice,kg,4408075.3,
M,643,RUS,156,CHN,1006,Rice,kg,4206150.0,
M,643,RUS,246,FIN,1006,Rice,kg,12500.0,
M,643,RUS,251,FRA,1006,Rice,kg,17380.0,
M,643,RUS,276,DEU,1006,Rice,kg,9955.41,
M,643,RUS,300,GRC,1006,Rice,kg,30000.0,
M,643,RUS,376,ISR,1006,Rice,kg,182.7,
M,643,RUS,380,ITA,1006,Rice,kg,816687.44,
M,643,RUS,392,JPN,1006,Rice,kg,83287.89,
M,643,RUS,398,KAZ,1006,Rice,kg,50750194.0,
M,643,RUS,410,KOR,1006,Rice,kg,89150.0,
M,643,RUS,417,KGZ,1006,Rice,kg,108300.0,
M,643,RUS,586,PAK,1006,Rice,kg,24643215.0,
M,643,RUS,616,POL,1006,Rice,kg,16820.16,
M,643,RUS,699,IND,1006,Rice,kg,59186206.32,
M,643,RUS,704,VNM,1006,Rice,kg,23076245.78,
M,643,RUS,705,SVN,1006,Rice,kg,1741.68,
M,643,RUS,724,ESP,1006,Rice,kg,11561.52,
M,643,RUS,764,THA,1006,Rice,kg,48639376.0,
M,643,RUS,792,TUR,1006,Rice,kg,538560.0,
M,643,RUS,826,GBR,1006,Rice,kg,0.1,
M,643,RUS,842,USA,1006,Rice,kg,975358.0,
M,643,RUS,860,UZB,1006,Rice,kg,100.0,
M,643,RUS,0,W00,1007,Grain sorghum,kg,405295.76,
M,643,RUS,112,BLR,1007,Grain sorghum,kg,60.0,
