flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,682,SAU,428,LVA,1001,Wheat and meslin,kg,115785000.0,
M,682,SAU,251,FRA,1003,Barley,kg,52844000.0,
M,682,SAU,36,AUS,1004,Oats,kg,794000.0,
M,682,SAU,528,NLD,1005,Maize (corn),kg,252913.0,
M,682,SAU,76,BRA,1006,Rice,kg,1087000.0,
M,682,SAU,699,IND,1007,Grain sorghum,kg,274000.0,
M,682,SAU,706,SOM,1008,"Buckwheat, millet and canary seed; other cereals",kg,23000.0,
M,682,SAU,842,USA,1404,Vegetable products not elsewhere specified or included,kg,11000.0,
M,682,SAU,764,THA,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,230000.0,
M,682,SAU,620,PRT,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,212000.0,
M,682,SAU,528,NLD,2003,"Mushrooms and truffles, prepared or preserved other than by vinegar or acetic acid",kg,465000.0,
M,682,SAU,818,EGY,2004,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading no. 2006",kg,17483000.0,
M,682,SAU,620,PRT,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,113000.0,
M,682,SAU,818,EGY,2006,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glace or crystallised)",kg,88000.0,
M,682,SAU,724,ESP,2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",kg,53000.0,
M,682,SAU,458,MYS,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.c., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,12000.0,
M,682,SAU,818,EGY,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,3050000.0,
M,682,SAU,372,IRL,2501,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water,N/A,,
M,682,SAU,704,VNM,2502,Iron pyrites; unroasted,kg,4995000.0,
M,682,SAU,818,EGY,2504,Graphite; natural,kg,146812.0,
M,682,SAU,251,FRA,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",kg,495000.0,
M,682,SAU,276,DEU,2506,"Quartz; (other than natural sands), quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",kg,270000.0,
M,682,SAU,276,DEU,2507,Kaolin and other kaolinic clays; whether or not calcined,kg,6078000.0,
M,682,SAU,528,NLD,2508,"Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth",kg,80000.0,
M,682,SAU,512,OMN,2509,Chalk,kg,2682000.0,
M,682,SAU,400,JOR,2510,Natural calcium phosphates; natural aluminium calcium phosphates and phosphatic chalk,kg,1400000.0,
M,682,SAU,699,IND,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",kg,296751000.0,
M,682,SAU,0,W00,2512,"Siliceous fossil meals (egg kieselguhr, tripolite and diatomite) and similar siliceous earths; whether or not calcined, of an apparent specific gravity of 1 or less",kg,1843000.0,
M,682,SAU,643,RUS,2513,"Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat treated",kg,215000.0,
M,682,SAU,251,FRA,2514,"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",kg,6090000.0,
M,682,SAU,703,SVK,2515,"Marble, travertine, ecaussine and other calcareous stone; of an apparent specific gravity of less than 2.5, alabaster, whether cut by sawing etc, into blocks, slabs of a rectangular (square) shape",kg,272000.0,
M,682,SAU,699,IND,2516,"Granite, porphyry, basalt, sandstone, other monumental and building stone, whether or not roughly trimmed, cut, by sawing etc, into blocks or slabs of a rectangular (including square) shape",kg,3163000.0,
M,682,SAU,251,FRA,2517,"Pebbles, gravel, crushed stone for concrete aggregates for road or railway ballast, shingle or flint; macadam of slag, dross etc tarred granules, chippings, powder of stones of heading no. 2515 and 2516",kg,3024000.0,
M,682,SAU,792,TUR,2518,"Dolomite, whether or not calcined or sintered; including dolomite roughly trimmed, or merely cut by sawing or otherwise into blocks or slabs of rectangular (including square) shape; dolomite ramming mix",kg,2281000.0,
M,682,SAU,0,W00,2519,"Natural magnesium carbonate (magnesite); fused magnesia; dead-burned (sintered) magnesia, whether or not containing small quantities of other oxides added before sintering; magnesium oxide, pure or not",kg,5352000.0,
M,682,SAU,634,QAT,2520,"Gypsum; anhydrite; plasters (consisting of calcined gypsum or calcium sulphate), coloured or not, with or without small quantities of accelerators or retarders",kg,28214000.0,
M,682,SAU,699,IND,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",kg,213646000.0,
M,682,SAU,699,IND,2522,"Quicklime, slaked lime and hydraulic lime; other than calcium oxide and hydroxide of heading no. 2825",kg,798000.0,
M,682,SAU,699,IND,2523,"Portland cement, aluminous cement (ciment fondu), slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers",kg,16086000.0,
M,682,SAU,0,W00,2525,"Mica, including splittings; mica waste",kg,4543000.0,
M,682,SAU,56,BEL,2526,"Natural steatite; whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; talc",kg,226000.0,
M,682,SAU,156,CHN,2528,"Natural borates and concentrates thereof (whether calcined), but not including borates separated from natural brine; natural boric acid containing not less than 85% of H3Bo3, calculated on the dry weight",kg,72000.0,
M,682,SAU,699,IND,2529,Feldspar; leucite; nepheline and nepheline syenite; fluorspar,kg,406000.0,
M,682,SAU,414,KWT,2530,Mineral substances not elsewhere specified or included,kg,61000.0,
M,682,SAU,699,IND,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",kg,99000.0,
M,682,SAU,699,IND,2702,"Lignite; whether or not agglomerated, excluding jet",kg,776000.0,
M,682,SAU,276,DEU,1001,Wheat and meslin,kg,184966000.0,
M,682,SAU,203,CZE,1001,Wheat and meslin,kg,25890000.0,
M,682,SAU,196,CYP,1001,Wheat and meslin,kg,323000.0,
M,682,SAU,124,CAN,1001,Wheat and meslin,kg,1027080000.0,
M,682,SAU,36,AUS,1001,Wheat and meslin,kg,14637000.0,
M,682,SAU,0,W00,1001,Wheat and meslin,kg,1501820000.0,
M,682,SAU,887,YEM,1001,Wheat and meslin,kg,447000.0,
M,682,SAU,792,TUR,1001,Wheat and meslin,kg,255000.0,
M,682,SAU,760,SYR,1001,Wheat and meslin,kg,270000.0,
M,682,SAU,616,POL,1001,Wheat and meslin,kg,10000000.0,
M,682,SAU,528,NLD,1001,Wheat and meslin,kg,55667000.0,
M,682,SAU,440,LTU,1001,Wheat and meslin,kg,66500000.0,
M,682,SAU,191,HRV,1003,Barley,kg,153000.0,
M,682,SAU,124,CAN,1003,Barley,kg,99180000.0,
M,682,SAU,56,BEL,1003,Barley,kg,26851000.0,
M,682,SAU,36,AUS,1003,Barley,kg,1024594000.0,
M,682,SAU,32,ARG,1003,Barley,kg,45737000.0,
M,682,SAU,0,W00,1003,Barley,kg,6100582000.0,
M,682,SAU,804,UKR,1003,Barley,kg,2713346000.0,
M,682,SAU,792,TUR,1003,Barley,kg,140672000.0,
M,682,SAU,643,RUS,1003,Barley,kg,1767294000.0,
M,682,SAU,642,ROU,1003,Barley,kg,166833000.0,
M,682,SAU,498,MDA,1003,Barley,kg,2579000.0,
M,682,SAU,276,DEU,1003,Barley,kg,60499000.0,
M,682,SAU,0,W00,1004,Oats,kg,2342000.0,
M,682,SAU,826,GBR,1004,Oats,kg,1160000.0,
M,682,SAU,784,ARE,1004,Oats,kg,355000.0,
M,682,SAU,458,MYS,1004,Oats,kg,33000.0,
M,682,SAU,276,DEU,1005,Maize (corn),kg,19195.0,
M,682,SAU,251,FRA,1005,Maize (corn),kg,20000.0,
M,682,SAU,76,BRA,1005,Maize (corn),kg,709345000.0,
M,682,SAU,36,AUS,1005,Maize (corn),kg,296000.0,
M,682,SAU,32,ARG,1005,Maize (corn),kg,316881000.0,
M,682,SAU,0,W00,1005,Maize (corn),kg,1550173121.0,
M,682,SAU,887,YEM,1005,Maize (corn),kg,7586000.0,
M,682,SAU,842,USA,1005,Maize (corn),kg,513279013.0,
M,682,SAU,818,EGY,1005,Maize (corn),kg,206000.0,
M,682,SAU,792,TUR,1005,Maize (corn),kg,20000.0,
M,682,SAU,764,THA,1005,Maize (corn),kg,633000.0,
M,682,SAU,699,IND,1005,Maize (corn),kg,1635000.0,
M,682,SAU,887,YEM,1006,Rice,kg,75000.0,
M,682,SAU,842,USA,1006,Rice,kg,111717000.0,
M,682,SAU,50,BGD,1006,Rice,kg,471000.0,
M,682,SAU,36,AUS,1006,Rice,kg,714000.0,
M,682,SAU,32,ARG,1006,Rice,kg,344000.0,
M,682,SAU,0,W00,1006,Rice,kg,1345608000.0,
M,682,SAU,818,EGY,1006,Rice,kg,34123000.0,
M,682,SAU,764,THA,1006,Rice,kg,203091000.0,
M,682,SAU,724,ESP,1006,Rice,kg,111000.0,
