flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,682,SAU,887,YEM,1001,Wheat and meslin,kg,256590.0,184928.044
X,682,SAU,887,YEM,1005,Maize (corn),kg,379192.0,155965.37
X,682,SAU,818,EGY,1006,Rice,kg,75939.0,37500.009
X,682,SAU,729,SDN,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,204000.0,237840.056
X,682,SAU,0,W00,1404,Vegetable products not elsewhere specified or included,kg,234561.0,650613.488
X,682,SAU,634,QAT,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,10730.0,50240.012
X,682,SAU,414,KWT,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,298851.0,862158.071
X,682,SAU,512,OMN,2004,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading no. 2006",kg,30506.0,68595.75
X,682,SAU,400,JOR,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,882835.0,795699.656
X,682,SAU,887,YEM,2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",kg,42098.0,30831.207
X,682,SAU,792,TUR,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.c., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,49920.0,61440.015
X,682,SAU,792,TUR,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,5006051.0,2074346.626
X,682,SAU,512,OMN,2501,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water,kg,70636900.0,2815603.335
X,682,SAU,792,TUR,2503,"Sulphur of all kinds; other than sublimed, precipitated and colloidal sulphur",kg,200000.0,50000.012
X,682,SAU,512,OMN,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",kg,55132900.0,2821181.737
X,682,SAU,784,ARE,2507,Kaolin and other kaolinic clays; whether or not calcined,kg,55000.0,116655.228
X,682,SAU,784,ARE,2508,"Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth",kg,496185.0,324493.144
X,682,SAU,414,KWT,2509,Chalk,kg,59009200.0,4517006.673
X,682,SAU,48,BHR,2511,"Natural barium sulphate (barytes); natural barium carbonate, (witherite) whether or not calcined, other than barium oxide of heading no. 2816",kg,571500.0,154335.503
X,682,SAU,634,QAT,2513,"Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat treated",kg,144000.0,51456.012
X,682,SAU,818,EGY,2519,"Natural magnesium carbonate (magnesite); fused magnesia; dead-burned (sintered) magnesia, whether or not containing small quantities of other oxides added before sintering; magnesium oxide, pure or not",kg,2070020.0,454912.108
X,682,SAU,634,QAT,2520,"Gypsum; anhydrite; plasters (consisting of calcined gypsum or calcium sulphate), coloured or not, with or without small quantities of accelerators or retarders",kg,26063300.0,1026687.977
X,682,SAU,784,ARE,2522,"Quicklime, slaked lime and hydraulic lime; other than calcium oxide and hydroxide of heading no. 2825",kg,280000.0,30000.007
X,682,SAU,400,JOR,2523,"Portland cement, aluminous cement (ciment fondu), slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers",kg,42139300.0,2248906.934
X,682,SAU,414,KWT,2526,"Natural steatite; whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; talc",kg,683900.0,229310.721
X,682,SAU,784,ARE,2529,Feldspar; leucite; nepheline and nepheline syenite; fluorspar,kg,36490000.0,1718996.408
X,682,SAU,784,ARE,2530,Mineral substances not elsewhere specified or included,kg,21321000.0,230989.388
X,682,SAU,414,KWT,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",kg,7934.0,36172.542
X,682,SAU,0,W00,1001,Wheat and meslin,kg,256590.0,184928.044
X,682,SAU,0,W00,1005,Maize (corn),kg,379192.0,155965.37
X,682,SAU,792,TUR,1006,Rice,kg,192000.0,116300.028
X,682,SAU,784,ARE,1006,Rice,kg,812801.0,934967.689
X,682,SAU,262,DJI,1006,Rice,kg,172000.0,146887.768
X,682,SAU,204,BEN,1006,Rice,kg,215500.0,57474.68
X,682,SAU,124,CAN,1006,Rice,kg,15500.0,34230.675
X,682,SAU,48,BHR,1006,Rice,kg,1631478.0,1337099.784
