flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,702,SGP,0,W00,1001,Wheat and meslin,kg,204234272.11,
M,702,SGP,36,AUS,1001,Wheat and meslin,kg,122967730.0,
M,702,SGP,50,BGD,1001,Wheat and meslin,kg,360.0,
M,702,SGP,68,BOL,1001,Wheat and meslin,kg,300.0,
M,702,SGP,124,CAN,1001,Wheat and meslin,kg,7542560.0,
M,702,SGP,156,CHN,1001,Wheat and meslin,kg,1140.0,
M,702,SGP,251,FRA,1001,Wheat and meslin,kg,384306.424,
M,702,SGP,276,DEU,1001,Wheat and meslin,kg,60.0,
M,702,SGP,380,ITA,1001,Wheat and meslin,kg,90.0,
M,702,SGP,392,JPN,1001,Wheat and meslin,kg,928445.686,
M,702,SGP,410,KOR,1001,Wheat and meslin,kg,10.0,
M,702,SGP,458,MYS,1001,Wheat and meslin,kg,2846340.0,
M,702,SGP,490,S19,1001,Wheat and meslin,kg,20.0,
M,702,SGP,528,NLD,1001,Wheat and meslin,kg,10.0,
M,702,SGP,608,PHL,1001,Wheat and meslin,kg,1000.0,
M,702,SGP,699,IND,1001,Wheat and meslin,kg,54680.0,
M,702,SGP,724,ESP,1001,Wheat and meslin,kg,42000.0,
M,702,SGP,792,TUR,1001,Wheat and meslin,kg,150.0,
M,702,SGP,826,GBR,1001,Wheat and meslin,kg,10.0,
M,702,SGP,842,USA,1001,Wheat and meslin,kg,69465060.0,
M,702,SGP,0,W00,1002,Rye,kg,230.0,
M,702,SGP,36,AUS,1002,Rye,kg,200.0,
M,702,SGP,208,DNK,1002,Rye,kg,30.0,
M,702,SGP,0,W00,1003,Barley,kg,586674.225,
M,702,SGP,36,AUS,1003,Barley,kg,3640.0,
M,702,SGP,124,CAN,1003,Barley,kg,10.161,
M,702,SGP,156,CHN,1003,Barley,kg,100240.0,
M,702,SGP,360,IDN,1003,Barley,kg,299990.0,
M,702,SGP,380,ITA,1003,Barley,kg,30.0,
M,702,SGP,392,JPN,1003,Barley,kg,3190.0,
M,702,SGP,410,KOR,1003,Barley,kg,74.064,
M,702,SGP,458,MYS,1003,Barley,kg,480.0,
M,702,SGP,490,S19,1003,Barley,kg,100.0,
M,702,SGP,528,NLD,1003,Barley,kg,164600.0,
M,702,SGP,704,VNM,1003,Barley,kg,10.0,
M,702,SGP,764,THA,1003,Barley,kg,5220.0,
M,702,SGP,826,GBR,1003,Barley,kg,30.0,
