flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,702,SGP,251,FRA,1003,Barley,kg,175.0,159.0
X,702,SGP,242,FJI,1003,Barley,kg,2000.0,1776.0
X,702,SGP,104,MMR,1003,Barley,kg,18.0,43.0
X,702,SGP,96,BRN,1003,Barley,kg,2335.0,2013.0
X,702,SGP,36,AUS,1003,Barley,kg,1320.0,2008.0
X,702,SGP,0,W00,1003,Barley,kg,74071.0,51719.0
X,702,SGP,764,THA,1003,Barley,kg,37000.0,24369.0
X,702,SGP,690,SYC,1003,Barley,kg,88.0,139.0
X,702,SGP,480,MUS,1003,Barley,kg,7000.0,6014.0
X,702,SGP,462,MDV,1003,Barley,kg,10.0,14.0
X,702,SGP,458,MYS,1003,Barley,kg,4125.0,1434.0
X,702,SGP,360,IDN,1003,Barley,kg,5000.0,3863.0
X,702,SGP,0,W00,1004,Oats,kg,72331.0,27953.0
X,702,SGP,704,VNM,1004,Oats,kg,2128.0,9346.0
X,702,SGP,690,SYC,1004,Oats,kg,1215.0,3808.0
X,702,SGP,458,MYS,1004,Oats,kg,68625.0,13606.0
X,702,SGP,144,LKA,1005,Maize (corn),kg,600.0,580.0
X,702,SGP,116,KHM,1005,Maize (corn),kg,1845.0,2211.0
X,702,SGP,104,MMR,1005,Maize (corn),kg,68.0,99.0
X,702,SGP,96,BRN,1005,Maize (corn),kg,10350.0,5127.0
X,702,SGP,36,AUS,1005,Maize (corn),kg,5000.0,1823.0
X,702,SGP,0,W00,1005,Maize (corn),kg,22813.0,18463.0
X,702,SGP,704,VNM,1005,Maize (corn),kg,48.0,127.0
X,702,SGP,690,SYC,1005,Maize (corn),kg,2547.0,6667.0
X,702,SGP,586,PAK,1005,Maize (corn),kg,71.0,331.0
X,702,SGP,458,MYS,1005,Maize (corn),kg,18.0,154.0
X,702,SGP,360,IDN,1005,Maize (corn),kg,1244.0,707.0
X,702,SGP,344,HKG,1005,Maize (corn),kg,914.0,99.0
X,702,SGP,414,KWT,1006,Rice,kg,25000.0,10093.0
X,702,SGP,410,KOR,1006,Rice,kg,12500.0,9659.0
X,702,SGP,96,BRN,1006,Rice,kg,300607.0,408694.0
X,702,SGP,56,BEL,1006,Rice,kg,24000.0,24218.0
