flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,222,SLV,0,W00,1001,Wheat and meslin,kg,288072444.28,0.0
M,222,SLV,124,CAN,1001,Wheat and meslin,kg,146625800.0,0.0
M,222,SLV,320,GTM,1001,Wheat and meslin,kg,543.0,0.0
M,222,SLV,842,USA,1001,Wheat and meslin,kg,141446101.28,0.0
M,222,SLV,0,W00,1002,Rye,kg,0.3,0.0
M,222,SLV,842,USA,1002,Rye,kg,0.3,0.0
M,222,SLV,0,W00,1003,Barley,kg,15540.53,0.0
M,222,SLV,320,GTM,1003,Barley,kg,15539.88,0.0
M,222,SLV,586,PAK,1003,Barley,kg,0.65,0.0
M,222,SLV,0,W00,1004,Oats,kg,24165.06,0.0
M,222,SLV,124,CAN,1004,Oats,kg,24160.0,0.0
M,222,SLV,842,USA,1004,Oats,kg,5.06,0.0
M,222,SLV,0,W00,1005,Maize (corn),kg,543289467.957,0.0
M,222,SLV,32,ARG,1005,Maize (corn),kg,616519.94,0.0
M,222,SLV,76,BRA,1005,Maize (corn),kg,29542345.1,0.0
M,222,SLV,320,GTM,1005,Maize (corn),kg,1104568.66,0.0
M,222,SLV,340,HND,1005,Maize (corn),kg,295.41,0.0
M,222,SLV,484,MEX,1005,Maize (corn),kg,9841151.1,0.0
M,222,SLV,558,NIC,1005,Maize (corn),kg,91491.88,0.0
M,222,SLV,604,PER,1005,Maize (corn),kg,128.84,0.0
M,222,SLV,724,ESP,1005,Maize (corn),kg,33.0,0.0
M,222,SLV,764,THA,1005,Maize (corn),kg,275.2,0.0
M,222,SLV,842,USA,1005,Maize (corn),kg,502092658.827,0.0
M,222,SLV,0,W00,1006,Rice,kg,94383464.59,0.0
M,222,SLV,48,BHR,1006,Rice,kg,10400.0,0.0
M,222,SLV,124,CAN,1006,Rice,kg,26555.0,0.0
M,222,SLV,188,CRI,1006,Rice,kg,5671442.8,0.0
M,222,SLV,320,GTM,1006,Rice,kg,29212.8,0.0
M,222,SLV,328,GUY,1006,Rice,kg,188100.0,0.0
M,222,SLV,340,HND,1006,Rice,kg,1139903.6,0.0
M,222,SLV,380,ITA,1006,Rice,kg,5896.66,0.0
M,222,SLV,410,KOR,1006,Rice,kg,4371.7,0.0
M,222,SLV,484,MEX,1006,Rice,kg,78210.5,0.0
M,222,SLV,558,NIC,1006,Rice,kg,3945754.8,0.0
M,222,SLV,764,THA,1006,Rice,kg,6743.66,0.0
M,222,SLV,842,USA,1006,Rice,kg,83176633.07,0.0
M,222,SLV,858,URY,1006,Rice,kg,100240.0,0.0
M,222,SLV,0,W00,1007,Grain sorghum,kg,196922.32,0.0
M,222,SLV,340,HND,1007,Grain sorghum,kg,195048.0,0.0
M,222,SLV,484,MEX,1007,Grain sorghum,kg,22.65,0.0
M,222,SLV,558,NIC,1007,Grain sorghum,kg,1723.67,0.0
M,222,SLV,842,USA,1007,Grain sorghum,kg,128.0,0.0
M,222,SLV,0,W00,1008,"Buckwheat, millet and canary seeds; other cereals",kg,417563.96,0.0
M,222,SLV,68,BOL,1008,"Buckwheat, millet and canary seeds; other cereals",kg,6417.15,0.0
M,222,SLV,124,CAN,1008,"Buckwheat, millet and canary seeds; other cereals",kg,98180.0,0.0
M,222,SLV,156,CHN,1008,"Buckwheat, millet and canary seeds; other cereals",kg,1.52,0.0
M,222,SLV,218,ECU,1008,"Buckwheat, millet and canary seeds; other cereals",kg,2.5,0.0
M,222,SLV,320,GTM,1008,"Buckwheat, millet and canary seeds; other cereals",kg,453.6,0.0
M,222,SLV,604,PER,1008,"Buckwheat, millet and canary seeds; other cereals",kg,28472.41,0.0
M,222,SLV,643,RUS,1008,"Buckwheat, millet and canary seeds; other cereals",kg,28031.0,0.0
M,222,SLV,792,TUR,1008,"Buckwheat, millet and canary seeds; other cereals",kg,43.47,0.0
M,222,SLV,804,UKR,1008,"Buckwheat, millet and canary seeds; other cereals",kg,235970.0,0.0
M,222,SLV,842,USA,1008,"Buckwheat, millet and canary seeds; other cereals",kg,19992.31,0.0
M,222,SLV,0,W00,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,3390.74,0.0
M,222,SLV,320,GTM,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,868.58,0.0
