flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,222,SLV,558,NIC,1001,Wheat and meslin,kg,591008.0,193769.57
X,222,SLV,558,NIC,1005,Maize (corn),kg,22730.0,45006.29
X,222,SLV,842,USA,1006,Rice,kg,10160.93,8811.75
X,222,SLV,842,USA,1404,Vegetable products not elsewhere specified or included,kg,53841.87,226987.84
X,222,SLV,0,W00,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,218999.46,426950.58
X,222,SLV,862,VEN,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,18.0,560.38
X,222,SLV,862,VEN,2003,"Mushrooms and truffles, prepared or preserved other than by vinegar or acetic acid",kg,13.0,284.18
X,222,SLV,842,USA,2004,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading no. 2006",kg,10754.41,17121.76
X,222,SLV,558,NIC,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,161964.67,177348.75
X,222,SLV,842,USA,2006,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glace or crystallised)",kg,64889.61,107272.55
X,222,SLV,591,PAN,2007,"Jams, fruit jellies, marmalades, fruit or nut puree and fruit or nut pastes, being cooked preparations; whether or not containing added sugar or other sweetening matter",kg,13590.0,24152.64
X,222,SLV,724,ESP,2008,"Fruit, nuts and other edible parts of plants; prepared or preserved in ways n.e.c., whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included",kg,2244.36,6839.45
X,222,SLV,340,HND,2009,"Fruit juices (including grape must) and vegetable juices, unfermented, not containing added spirit; whether or not containing added sugar or other sweetening matter",kg,18377451.17,10147268.11
X,222,SLV,724,ESP,2501,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water,kg,255045.0,32642.2
X,222,SLV,340,HND,2503,"Sulphur of all kinds; other than sublimed, precipitated and colloidal sulphur",kg,12000.0,2340.0
X,222,SLV,320,GTM,2504,Graphite; natural,kg,20.0,43.56
X,222,SLV,340,HND,2505,"Sands of all kinds; natural, whether or not coloured, other than metal-bearing sands of chapter 26",kg,3586.06,929.75
X,222,SLV,340,HND,2506,"Quartz; (other than natural sands), quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",kg,2927.53,1104.45
X,222,SLV,340,HND,2507,Kaolin and other kaolinic clays; whether or not calcined,kg,9525.31,1362.4
X,222,SLV,320,GTM,2508,"Clays; (not including expanded clays of heading no. 6806), andalusite kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earth",kg,728129.9,124752.36
X,222,SLV,340,HND,2512,"Siliceous fossil meals (e.g. kieselguhr, tripolite and diatomite) and similar siliceous earths; whether or not calcined, of an apparent specific gravity of 1 or less",kg,1000.0,1270.0
X,222,SLV,842,USA,2513,"Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat treated",kg,3.0,20.0
X,222,SLV,842,USA,2515,"Marble, travertine, ecaussine and other calcareous stone; of an apparent specific gravity of less than 2.5, alabaster, whether cut by sawing etc, into blocks, slabs of a rectangular (square) shape",kg,31.0,8.1
X,222,SLV,340,HND,2516,"Granite, porphyry, basalt, sandstone, other monumental and building stone, whether or not roughly trimmed, cut, by sawing etc, into blocks or slabs of a rectangular (including square) shape",kg,642.17,509.0
X,222,SLV,842,USA,2517,"Pebbles, gravel, crushed stone for concrete aggregates for road or railway ballast, shingle or flint; macadam of slag, dross etc tarred granules, chippings, powder of stones of heading no. 2515 and 2516",kg,1687.19,120.0
X,222,SLV,558,NIC,2518,"Dolomite, whether or not calcined or sintered; including dolomite roughly trimmed, or merely cut by sawing or otherwise into blocks or slabs of rectangular (including square) shape; dolomite ramming mix",kg,200000.0,22400.0
X,222,SLV,340,HND,2522,"Quicklime, slaked lime and hydraulic lime; other than calcium oxide and hydroxide of heading no. 2825",kg,18409.1,1620.0
X,222,SLV,84,BLZ,2523,"Portland cement, aluminous cement (ciment fondu), slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers",kg,47600.0,4706.36
X,222,SLV,340,HND,2526,"Natural steatite; whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; talc",kg,45286.2,18918.14
X,222,SLV,320,GTM,2530,Mineral substances not elsewhere specified or included,kg,1170.0,450.0
X,222,SLV,320,GTM,1001,Wheat and meslin,kg,941130.0,271154.84
X,222,SLV,0,W00,1001,Wheat and meslin,kg,1532138.0,464924.41
X,222,SLV,320,GTM,1005,Maize (corn),kg,303247.0,276513.65
X,222,SLV,0,W00,1005,Maize (corn),kg,326022.13,321663.56
X,222,SLV,862,VEN,1005,Maize (corn),kg,5.0,134.82
X,222,SLV,842,USA,1005,Maize (corn),kg,40.13,8.8
X,222,SLV,558,NIC,1006,Rice,kg,428198.0,277410.0
X,222,SLV,340,HND,1006,Rice,kg,449235.0,253870.65
X,222,SLV,320,GTM,1006,Rice,kg,277656.0,174600.0
X,222,SLV,218,ECU,1006,Rice,kg,7.0,555.1
X,222,SLV,192,CUB,1006,Rice,kg,42351.7,32184.32
X,222,SLV,188,CRI,1006,Rice,kg,497781.0,352070.62
X,222,SLV,0,W00,1006,Rice,kg,1705773.63,1102091.38
X,222,SLV,862,VEN,1006,Rice,kg,384.0,2588.94
X,222,SLV,320,GTM,1404,Vegetable products not elsewhere specified or included,kg,170.13,558.0
X,222,SLV,0,W00,1404,Vegetable products not elsewhere specified or included,kg,54012.0,227545.84
X,222,SLV,862,VEN,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,12.0,174.52
X,222,SLV,842,USA,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,208594.37,408396.16
X,222,SLV,558,NIC,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,528.2,2287.6
X,222,SLV,340,HND,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,8956.68,15549.9
X,222,SLV,320,GTM,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,817.95,428.8
X,222,SLV,276,DEU,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,90.26,113.6
