flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,740,SUR,0,W00,1001,Wheat and meslin,kg,19416060.0,
M,740,SUR,251,FRA,1001,Wheat and meslin,kg,5971900.0,
M,740,SUR,276,DEU,1001,Wheat and meslin,kg,11714000.0,
M,740,SUR,780,TTO,1001,Wheat and meslin,kg,1730160.0,
M,740,SUR,0,W00,1005,Maize (corn),kg,9703161.0,
M,740,SUR,32,ARG,1005,Maize (corn),kg,19897.0,
M,740,SUR,84,BLZ,1005,Maize (corn),kg,68538.0,
M,740,SUR,484,MEX,1005,Maize (corn),kg,68811.0,
M,740,SUR,528,NLD,1005,Maize (corn),kg,44535.0,
M,740,SUR,780,TTO,1005,Maize (corn),kg,297500.0,
M,740,SUR,842,USA,1005,Maize (corn),kg,9203880.0,
M,740,SUR,0,W00,1006,Rice,kg,374034.72,
M,740,SUR,156,CHN,1006,Rice,kg,2967.0,
M,740,SUR,328,GUY,1006,Rice,kg,257000.0,
M,740,SUR,344,HKG,1006,Rice,kg,1204.0,
M,740,SUR,528,NLD,1006,Rice,kg,17368.72,
M,740,SUR,699,IND,1006,Rice,kg,1000.0,
M,740,SUR,764,THA,1006,Rice,kg,62976.0,
M,740,SUR,842,USA,1006,Rice,kg,31519.0,
M,740,SUR,0,W00,1008,"Buckwheat, millet and canary seed; other cereals",kg,135825.0,
M,740,SUR,56,BEL,1008,"Buckwheat, millet and canary seed; other cereals",kg,16525.0,
M,740,SUR,124,CAN,1008,"Buckwheat, millet and canary seed; other cereals",kg,74385.0,
M,740,SUR,251,FRA,1008,"Buckwheat, millet and canary seed; other cereals",kg,11000.0,
M,740,SUR,528,NLD,1008,"Buckwheat, millet and canary seed; other cereals",kg,33915.0,
M,740,SUR,0,W00,1404,Vegetable products not elsewhere specified or included,kg,2742.0,
M,740,SUR,76,BRA,1404,Vegetable products not elsewhere specified or included,kg,42.0,
M,740,SUR,780,TTO,1404,Vegetable products not elsewhere specified or included,kg,2700.0,
M,740,SUR,0,W00,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,124139.0,
M,740,SUR,156,CHN,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,4600.0,
M,740,SUR,344,HKG,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,40187.0,
