flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,740,SUR,0,W00,1005,Maize (corn),kg,1334.0,500.0
X,740,SUR,251,FRA,1005,Maize (corn),kg,1334.0,500.0
X,740,SUR,0,W00,1006,Rice,kg,50776237.0,21204953.0
X,740,SUR,56,BEL,1006,Rice,kg,175000.0,65000.0
X,740,SUR,251,FRA,1006,Rice,kg,3442685.0,1559201.0
X,740,SUR,328,GUY,1006,Rice,kg,11725735.0,4967952.0
X,740,SUR,332,HTI,1006,Rice,kg,2037960.0,950423.0
X,740,SUR,380,ITA,1006,Rice,kg,53000.0,28800.0
X,740,SUR,388,JAM,1006,Rice,kg,10937049.0,6175809.0
X,740,SUR,528,NLD,1006,Rice,kg,21174250.0,6574464.0
X,740,SUR,530,ANT,1006,Rice,kg,50000.0,29000.0
X,740,SUR,533,ABW,1006,Rice,kg,140711.0,126879.0
X,740,SUR,620,PRT,1006,Rice,kg,46092.0,39100.0
X,740,SUR,670,VCT,1006,Rice,kg,24430.0,103828.0
X,740,SUR,752,SWE,1006,Rice,kg,250700.0,252500.0
X,740,SUR,780,TTO,1006,Rice,kg,718625.0,331998.0
X,740,SUR,0,W00,1008,"Buckwheat, millet and canary seed; other cereals",kg,34269.0,28762.0
X,740,SUR,328,GUY,1008,"Buckwheat, millet and canary seed; other cereals",kg,34269.0,28762.0
X,740,SUR,0,W00,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,7478.0,7672.0
X,740,SUR,328,GUY,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,4236.0,3045.0
X,740,SUR,528,NLD,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,3242.0,4627.0
X,740,SUR,0,W00,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,546726.0,689325.0
X,740,SUR,76,BRA,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,675.0,850.0
X,740,SUR,156,CHN,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,20900.0,26734.0
