flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,792,TUR,0,W00,1001,Wheat and meslin,N/A,0.0,0.0
M,792,TUR,36,AUS,1001,Wheat and meslin,N/A,0.0,0.0
M,792,TUR,40,AUT,1001,Wheat and meslin,kg,322.0,0.0
M,792,TUR,70,BIH,1001,Wheat and meslin,kg,3809990.0,0.0
M,792,TUR,100,BGR,1001,Wheat and meslin,kg,43930540.0,0.0
M,792,TUR,124,CAN,1001,Wheat and meslin,kg,20733109.0,0.0
M,792,TUR,191,HRV,1001,Wheat and meslin,kg,235.0,0.0
M,792,TUR,251,FRA,1001,Wheat and meslin,kg,6558724.0,0.0
M,792,TUR,276,DEU,1001,Wheat and meslin,kg,355500920.0,0.0
M,792,TUR,300,GRC,1001,Wheat and meslin,kg,71435160.0,0.0
M,792,TUR,348,HUN,1001,Wheat and meslin,kg,74274321.0,0.0
M,792,TUR,376,ISR,1001,Wheat and meslin,kg,9258.0,0.0
M,792,TUR,380,ITA,1001,Wheat and meslin,kg,6717089.0,0.0
M,792,TUR,398,KAZ,1001,Wheat and meslin,kg,261028464.0,0.0
M,792,TUR,428,LVA,1001,Wheat and meslin,kg,18994900.0,0.0
M,792,TUR,440,LTU,1001,Wheat and meslin,kg,111030050.0,0.0
M,792,TUR,484,MEX,1001,Wheat and meslin,kg,496.0,0.0
M,792,TUR,498,MDA,1001,Wheat and meslin,kg,76400430.0,0.0
M,792,TUR,616,POL,1001,Wheat and meslin,kg,3105.0,0.0
M,792,TUR,642,ROU,1001,Wheat and meslin,kg,15363416.0,0.0
M,792,TUR,643,RUS,1001,Wheat and meslin,kg,2092346142.0,0.0
M,792,TUR,703,SVK,1001,Wheat and meslin,kg,4500730.0,0.0
M,792,TUR,710,ZAF,1001,Wheat and meslin,kg,6.0,0.0
M,792,TUR,724,ESP,1001,Wheat and meslin,kg,9831840.0,0.0
M,792,TUR,760,SYR,1001,Wheat and meslin,kg,396122.0,0.0
M,792,TUR,804,UKR,1001,Wheat and meslin,kg,191727940.0,0.0
M,792,TUR,838,X2 ,1001,Wheat and meslin,kg,16000.0,0.0
M,792,TUR,842,USA,1001,Wheat and meslin,kg,28091608.524,0.0
M,792,TUR,0,W00,1002,Rye,kg,2392808.0,0.0
M,792,TUR,804,UKR,1002,Rye,kg,2392808.0,0.0
M,792,TUR,0,W00,1003,Barley,kg,91649761.367,0.0
M,792,TUR,191,HRV,1003,Barley,kg,190.0,0.0
M,792,TUR,251,FRA,1003,Barley,kg,77514831.367,0.0
M,792,TUR,643,RUS,1003,Barley,kg,10476810.0,0.0
M,792,TUR,804,UKR,1003,Barley,kg,957460.0,0.0
M,792,TUR,826,GBR,1003,Barley,kg,2700470.0,0.0
M,792,TUR,0,W00,1004,Oats,kg,6165810.0,0.0
M,792,TUR,804,UKR,1004,Oats,kg,6165810.0,0.0
M,792,TUR,0,W00,1005,Maize (corn),kg,485130692.0,0.0
