flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
M,716,ZWE,0,W00,1001,Wheat and meslin,kg,180725555.0,
M,716,ZWE,32,ARG,1001,Wheat and meslin,kg,16000000.0,
M,716,ZWE,36,AUS,1001,Wheat and meslin,kg,45470800.0,
M,716,ZWE,92,VGB,1001,Wheat and meslin,kg,270000.0,
M,716,ZWE,124,CAN,1001,Wheat and meslin,kg,20307320.0,
M,716,ZWE,428,LVA,1001,Wheat and meslin,kg,3000005.0,
M,716,ZWE,440,LTU,1001,Wheat and meslin,kg,30845820.0,
M,716,ZWE,616,POL,1001,Wheat and meslin,kg,9500000.0,
M,716,ZWE,643,RUS,1001,Wheat and meslin,kg,29686620.0,
M,716,ZWE,690,SYC,1001,Wheat and meslin,kg,1000000.0,
M,716,ZWE,710,ZAF,1001,Wheat and meslin,kg,10448000.0,
M,716,ZWE,784,ARE,1001,Wheat and meslin,kg,2000000.0,
M,716,ZWE,804,UKR,1001,Wheat and meslin,kg,6000000.0,
M,716,ZWE,826,GBR,1001,Wheat and meslin,kg,6196990.0,
M,716,ZWE,0,W00,1003,Barley,kg,20025.0,
M,716,ZWE,156,CHN,1003,Barley,kg,25.0,
M,716,ZWE,710,ZAF,1003,Barley,kg,20000.0,
M,716,ZWE,0,W00,1004,Oats,kg,110950.0,
M,716,ZWE,710,ZAF,1004,Oats,kg,110950.0,
M,716,ZWE,0,W00,1005,Maize (corn),kg,352486917.1,
M,716,ZWE,60,BMU,1005,Maize (corn),kg,200000.0,
M,716,ZWE,72,BWA,1005,Maize (corn),kg,136000.0,
M,716,ZWE,156,CHN,1005,Maize (corn),kg,752.0,
M,716,ZWE,404,KEN,1005,Maize (corn),kg,300.0,
M,716,ZWE,454,MWI,1005,Maize (corn),kg,21430000.0,
M,716,ZWE,480,MUS,1005,Maize (corn),kg,1892000.0,
M,716,ZWE,508,MOZ,1005,Maize (corn),kg,3000000.0,
M,716,ZWE,566,NGA,1005,Maize (corn),kg,139.0,
M,716,ZWE,699,IND,1005,Maize (corn),kg,60.0,
M,716,ZWE,710,ZAF,1005,Maize (corn),kg,257775710.0,
M,716,ZWE,764,THA,1005,Maize (corn),kg,15.0,
M,716,ZWE,842,USA,1005,Maize (corn),kg,3596.1,
M,716,ZWE,894,ZMB,1005,Maize (corn),kg,68048345.0,
M,716,ZWE,0,W00,1006,Rice,kg,202101031.3,
M,716,ZWE,92,VGB,1006,Rice,kg,1200179.0,
M,716,ZWE,156,CHN,1006,Rice,kg,8474.5,
M,716,ZWE,300,GRC,1006,Rice,kg,1350.0,
M,716,ZWE,344,HKG,1006,Rice,kg,600000.0,
M,716,ZWE,454,MWI,1006,Rice,kg,115610.0,
M,716,ZWE,478,MRT,1006,Rice,kg,99900.0,
M,716,ZWE,480,MUS,1006,Rice,kg,41038400.0,
M,716,ZWE,490,S19,1006,Rice,kg,600000.0,
M,716,ZWE,508,MOZ,1006,Rice,kg,7544905.0,
M,716,ZWE,586,PAK,1006,Rice,kg,58095920.0,
M,716,ZWE,699,IND,1006,Rice,kg,3592307.8,
M,716,ZWE,710,ZAF,1006,Rice,kg,33116822.0,
M,716,ZWE,764,THA,1006,Rice,kg,24311000.0,
M,716,ZWE,784,ARE,1006,Rice,kg,31541975.0,
M,716,ZWE,826,GBR,1006,Rice,kg,37010.0,
M,716,ZWE,834,TZA,1006,Rice,kg,98850.0,
M,716,ZWE,842,USA,1006,Rice,kg,19938.0,
M,716,ZWE,894,ZMB,1006,Rice,kg,78390.0,
M,716,ZWE,0,W00,1007,Grain sorghum,kg,19211633.0,
M,716,ZWE,76,BRA,1007,Grain sorghum,kg,25.0,
M,716,ZWE,251,FRA,1007,Grain sorghum,kg,2000.0,
M,716,ZWE,276,DEU,1007,Grain sorghum,kg,30.0,
M,716,ZWE,699,IND,1007,Grain sorghum,kg,20.0,
M,716,ZWE,710,ZAF,1007,Grain sorghum,kg,728155.0,
M,716,ZWE,842,USA,1007,Grain sorghum,kg,18450000.0,
M,716,ZWE,894,ZMB,1007,Grain sorghum,kg,31403.0,
M,716,ZWE,0,W00,1008,"Buckwheat, millet and canary seeds; other cereals",kg,30750.0,
M,716,ZWE,156,CHN,1008,"Buckwheat, millet and canary seeds; other cereals",kg,740.0,
M,716,ZWE,454,MWI,1008,"Buckwheat, millet and canary seeds; other cereals",kg,30000.0,
M,716,ZWE,699,IND,1008,"Buckwheat, millet and canary seeds; other cereals",kg,10.0,
