flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,716,ZWE,0,W00,1001,Wheat and meslin,kg,16500050.0,5280019.5
X,716,ZWE,710,ZAF,1001,Wheat and meslin,kg,50.0,19.5
X,716,ZWE,899,_X ,1001,Wheat and meslin,kg,16500000.0,5280000.0
X,716,ZWE,0,W00,1005,Maize (corn),kg,2323832.88,4304763.42
X,716,ZWE,72,BWA,1005,Maize (corn),kg,85000.0,110500.0
X,716,ZWE,152,CHL,1005,Maize (corn),kg,3.0,9.98
X,716,ZWE,178,COG,1005,Maize (corn),kg,18000.0,78800.0
X,716,ZWE,231,ETH,1005,Maize (corn),kg,590.0,15900.1
X,716,ZWE,404,KEN,1005,Maize (corn),kg,94.0,36.66
X,716,ZWE,454,MWI,1005,Maize (corn),kg,30000.0,33000.0
X,716,ZWE,508,MOZ,1005,Maize (corn),kg,981830.0,2144764.11
X,716,ZWE,566,NGA,1005,Maize (corn),kg,1100.0,5625.59
X,716,ZWE,699,IND,1005,Maize (corn),kg,15.38,35.48
X,716,ZWE,710,ZAF,1005,Maize (corn),kg,461884.5,810422.74
X,716,ZWE,729,SDN,1005,Maize (corn),kg,30.0,150.0
X,716,ZWE,800,UGA,1005,Maize (corn),kg,30000.0,64815.0
X,716,ZWE,894,ZMB,1005,Maize (corn),kg,631005.0,902137.2
X,716,ZWE,899,_X ,1005,Maize (corn),kg,84281.0,138566.56
X,716,ZWE,0,W00,1006,Rice,kg,720450.0,529780.0
X,716,ZWE,710,ZAF,1006,Rice,kg,450.0,580.0
X,716,ZWE,894,ZMB,1006,Rice,kg,720000.0,529200.0
X,716,ZWE,0,W00,1007,Grain sorghum,kg,63500.0,47168.0
X,716,ZWE,508,MOZ,1007,Grain sorghum,kg,63500.0,47168.0
X,716,ZWE,0,W00,1008,"Buckwheat, millet and canary seeds; other cereals",kg,10062.0,5794.18
X,716,ZWE,508,MOZ,1008,"Buckwheat, millet and canary seeds; other cereals",kg,10000.0,5770.0
